Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
8,Washington State,Pac-12,2,0,252.174,160.680,31,1.000,0.997,0.003,0.078,386.957,134.783,89,31,23,23,12.196,72
12,LSU,SEC,2,0,220.615,129.167,13,1.000,0.796,0.204,0.682,384.615,164.000,100,41,26,25,6.731,62
2,Wisconsin,Big Ten,2,0,423.077,228.065,1,1.000,0.958,0.042,0.198,423.077,0.000,110,0,26,27,11.399,55
33,Illinois,Big Ten,2,1,103.659,-130.934,94,0.667,0.242,0.425,1.064,253.659,150.000,104,60,41,40,-212.607,112
4,Alabama,SEC,3,0,302.632,189.557,22,1.000,1.000,0.000,0.072,397.368,94.737,151,36,38,38,-22.578,78
14,Texas,Big 12,2,1,179.691,238.418,16,0.667,0.875,-0.208,-0.415,374.286,194.595,131,72,35,37,82.629,44
35,Texas A&M,SEC,1,1,83.333,89.050,28,0.500,0.776,-0.276,-0.753,212.500,129.167,51,31,24,24,44.994,35
41,Colorado,Pac-12,2,1,66.880,422.415,3,0.667,0.999,-0.332,-0.705,302.778,235.897,109,92,36,39,353.475,8
48,Tulane,American Athletic,1,1,45.846,98.870,26,0.500,0.869,-0.369,-1.029,192.000,146.154,48,38,25,26,44.841,36
13,Clemson,ACC,3,0,200.664,142.886,36,1.000,0.789,0.211,0.564,272.093,71.429,117,30,43,42,-12.773,77
53,NC State,ACC,1,1,40.741,-467.391,128,0.500,0.033,0.467,1.162,225.926,185.185,61,50,27,27,-514.369,128
19,Utah,Pac-12,2,0,171.429,151.322,10,1.000,0.805,0.195,0.656,309.524,138.095,65,29,21,21,-23.906,89
61,Rutgers,Big Ten,1,1,-4.274,3.287,62,0.500,0.513,-0.013,0.033,184.615,188.889,48,51,26,27,-0.559,69
21,Iowa,Big Ten,3,0,142.014,33.474,62,1.000,0.668,0.332,0.846,238.889,96.875,86,31,36,32,-93.260,89
3,Georgia,SEC,2,0,315.000,229.878,20,1.000,1.000,0.000,0.071,340.000,25.000,85,6,25,24,24.459,67
100,Syracuse,ACC,1,2,-120.000,-51.567,84,0.333,0.021,0.312,0.801,111.111,231.111,50,104,45,45,17.025,70
32,Arizona State,Pac-12,2,0,105.797,344.496,9,1.000,1.000,0.000,0.071,166.667,60.870,40,14,24,23,249.277,15
7,Ohio State,Big Ten,3,0,272.267,180.497,25,1.000,0.860,0.140,0.398,353.846,81.579,138,31,39,38,-27.195,79
11,Oklahoma,Big 12,2,0,226.087,232.321,19,1.000,0.979,0.021,0.120,421.739,195.652,97,45,23,23,30.048,64
