Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Ohio State,Big Ten,6,0,283.909,203.578,2,1.000,0.910,0.090,0.543,412.676,128.767,293,94,71,73,-8.748,73
2,Michigan,Big Ten,6,0,268.936,113.669,20,1.000,0.803,0.197,1.144,363.380,94.444,258,68,71,72,-61.319,119
3,Alabama,SEC,6,0,255.093,159.575,5,1.000,0.933,0.067,0.411,345.455,90.361,266,75,77,83,7.816,55
4,Georgia,SEC,5,0,250.000,218.890,1,1.000,0.940,0.060,0.375,364.286,114.286,204,64,56,56,24.425,40
5,Minnesota,Big Ten,3,1,242.500,136.125,12,0.750,0.859,-0.109,-0.575,327.500,85.000,131,34,40,40,-76.304,125
6,Tennessee,SEC,5,0,240.058,141.582,11,1.000,0.828,0.172,1.002,383.607,143.548,234,89,61,62,-22.438,97
7,USC,Pac-12,6,0,213.710,157.290,7,1.000,0.830,0.170,0.989,388.710,175.000,241,112,62,64,-22.499,98
8,Texas,Big 12,4,2,190.408,173.660,3,0.667,0.898,-0.232,-1.266,347.761,157.353,233,107,67,68,32.200,32
9,James Madison,Sun Belt,4,0,171.164,93.849,28,1.000,0.806,0.194,1.125,292.593,121.429,158,68,54,56,-60.482,118
10,Ole Miss,SEC,5,0,166.248,120.958,17,1.000,0.784,0.216,1.251,308.621,142.373,179,84,58,59,-22.375,95
11,San José State,Mountain West,3,1,164.328,121.685,16,0.750,0.844,-0.094,-0.491,279.545,115.217,123,53,44,46,-31.462,102
12,Western Kentucky,Conference USA,2,3,162.229,-38.716,85,0.400,0.387,0.013,0.108,333.871,171.642,207,115,62,67,-111.436,131
13,Clemson,ACC,5,0,157.971,142.641,10,1.000,0.821,0.179,1.044,300.000,142.029,201,98,67,69,-6.303,70
14,Syracuse,ACC,4,0,146.619,145.509,9,1.000,0.826,0.174,1.013,295.556,148.936,133,70,45,47,0.947,64
15,Mississippi State,SEC,5,1,144.364,157.915,6,0.833,0.867,-0.034,-0.154,308.000,163.636,231,126,75,77,13.644,48
16,Penn State,Big Ten,5,0,142.870,123.102,15,1.000,0.850,0.150,0.877,256.716,113.846,172,74,67,65,-11.437,79
17,TCU,Big 12,4,0,139.216,167.284,4,1.000,0.838,0.162,0.949,339.216,200.000,173,102,51,51,27.751,37
18,Utah,Pac-12,3,2,128.480,107.197,22,0.600,0.750,-0.150,-0.809,312.963,184.483,169,107,54,58,-17.944,90
19,UCF,American Athletic,3,1,127.826,150.885,8,0.750,0.863,-0.113,-0.601,248.980,121.154,122,63,49,52,20.061,44
20,Maryland,Big Ten,4,2,110.095,114.651,19,0.667,0.785,-0.119,-0.631,291.429,181.333,204,136,70,75,7.168,56
21,Illinois,Big Ten,4,1,109.977,101.516,24,0.800,0.858,-0.058,-0.293,183.824,73.846,125,48,68,65,-1.266,66
22,UCLA,Pac-12,5,0,109.643,87.465,31,1.000,0.696,0.304,1.742,340.000,230.357,204,129,60,56,-11.614,80
23,Oklahoma State,Big 12,4,0,98.186,114.994,18,1.000,0.776,0.224,1.293,296.491,198.305,169,117,57,59,17.245,45
24,Tulane,American Athletic,4,1,97.157,82.821,32,0.800,0.751,0.049,0.311,235.088,137.931,134,80,57,58,-12.766,82
25,Wake Forest,ACC,4,1,95.641,94.007,27,0.800,0.736,0.064,0.394,312.308,216.667,203,143,65,66,1.202,63
26,Air Force,Mountain West,3,2,94.678,15.211,60,0.600,0.539,0.061,0.379,280.392,185.714,143,91,51,49,-66.829,121
27,South Alabama,Sun Belt,3,1,88.963,68.287,39,0.750,0.683,0.067,0.413,270.213,181.250,127,87,47,48,-21.636,94
28,Duke,ACC,3,2,77.959,59.794,42,0.600,0.639,-0.039,-0.182,256.140,178.182,146,98,57,55,-12.454,81
29,Washington,Pac-12,3,2,75.942,52.536,44,0.600,0.602,-0.002,0.023,352.727,276.786,194,155,55,56,-15.555,86
30,Coastal Carolina,Sun Belt,5,0,75.920,4.436,66,1.000,0.511,0.489,2.781,298.333,222.414,179,129,60,58,-73.627,124
31,Wisconsin,Big Ten,2,3,70.116,28.849,55,0.400,0.578,-0.178,-0.962,268.421,198.305,153,117,57,59,26.061,38
32,Cincinnati,American Athletic,4,1,64.949,0.280,67,0.800,0.501,0.299,1.717,247.761,182.812,166,117,67,64,-57.779,116
33,UAB,Conference USA,2,2,63.830,14.528,61,0.500,0.552,-0.052,-0.257,242.553,178.723,114,84,47,47,-46.605,112
