Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Michigan,Big Ten,10,0,264.912,179.551,3,1.000,0.896,0.104,0.599,363.158,98.246,414,112,114,114,-20.064,78
2,Ohio State,Big Ten,10,0,248.504,197.615,2,1.000,0.911,0.089,0.511,368.504,120.000,468,156,127,130,11.771,61
3,Georgia,SEC,9,0,240.348,233.107,1,1.000,0.972,0.028,0.148,351.887,111.538,373,116,106,104,46.590,27
4,Tennessee,SEC,8,1,191.071,175.957,5,0.889,0.859,0.030,0.158,365.179,174.107,409,195,112,112,55.511,23
5,Alabama,SEC,8,2,183.755,174.412,6,0.800,0.919,-0.119,-0.723,324.800,141.045,406,189,125,134,52.172,24
6,USC,Pac-12,9,1,167.173,137.440,11,0.900,0.769,0.131,0.760,388.991,221.818,424,244,109,110,-0.056,67
7,Western Kentucky,Conference USA,6,4,155.971,0.899,64,0.600,0.503,0.097,0.560,313.223,157.252,379,206,121,131,-87.153,129
8,Utah,Pac-12,7,2,135.442,168.017,8,0.778,0.860,-0.083,-0.509,326.531,191.089,320,193,98,101,39.763,34
9,Minnesota,Big Ten,6,3,125.505,96.418,20,0.667,0.781,-0.114,-0.696,251.546,126.042,244,121,97,96,-23.155,82
10,Air Force,Mountain West,6,3,120.804,25.236,54,0.667,0.576,0.090,0.519,268.478,147.674,247,127,92,86,-80.047,126
11,Penn State,Big Ten,8,2,113.101,137.083,12,0.800,0.851,-0.051,-0.319,261.538,148.438,340,190,130,128,40.181,32
12,Florida State,ACC,6,3,112.799,129.402,13,0.667,0.805,-0.139,-0.842,281.731,168.932,293,174,104,103,37.811,35
13,UCF,American Athletic,7,2,108.279,88.357,24,0.778,0.728,0.050,0.280,285.849,177.570,303,190,106,107,15.832,57
14,Texas,Big 12,6,4,104.577,162.453,9,0.600,0.879,-0.279,-1.676,279.167,174.590,335,213,120,122,77.171,9
15,TCU,Big 12,9,0,104.356,179.246,4,1.000,0.877,0.123,0.715,303.509,199.153,346,235,114,118,70.129,12
16,Boise State,Mountain West,6,3,97.527,15.872,57,0.667,0.546,0.121,0.701,257.143,159.615,270,166,105,104,-58.589,116
17,Clemson,ACC,8,1,93.966,100.858,18,0.889,0.755,0.134,0.778,264.655,170.690,307,198,116,116,20.547,52
18,Kansas State,Big 12,6,3,90.450,172.654,7,0.667,0.902,-0.235,-1.418,249.541,159.091,272,175,109,110,95.902,1
19,UCLA,Pac-12,7,2,90.404,86.292,25,0.778,0.676,0.102,0.587,350.000,259.596,350,257,100,99,8.656,63
20,South Alabama,Sun Belt,7,2,87.156,23.893,55,0.778,0.574,0.204,1.195,257.798,170.642,281,186,109,109,-59.679,117
21,Tulane,American Athletic,7,2,83.471,73.824,34,0.778,0.707,0.071,0.403,264.423,180.952,275,190,104,105,-8.136,73
22,Oregon,Pac-12,7,2,83.209,110.403,14,0.778,0.727,0.051,0.285,348.515,265.306,352,260,101,98,34.599,41
23,Duke,ACC,6,3,78.506,40.727,46,0.667,0.606,0.060,0.341,264.220,185.714,288,195,109,105,-34.134,93
24,Illinois,Big Ten,6,3,75.587,81.482,28,0.667,0.778,-0.111,-0.679,186.207,110.619,216,125,116,113,9.908,62
25,San José State,Mountain West,5,3,74.522,-2.113,65,0.625,0.494,0.131,0.761,239.785,165.263,223,157,93,95,-74.463,125
26,James Madison,Sun Belt,5,3,71.960,17.555,56,0.625,0.558,0.067,0.382,223.684,151.724,255,176,114,116,-48.121,100
27,Ole Miss,SEC,7,2,71.139,78.022,31,0.778,0.678,0.100,0.575,279.630,208.491,302,221,108,106,23.205,50
28,LSU,SEC,7,2,71.037,144.396,10,0.778,0.847,-0.069,-0.428,258.416,187.379,261,193,101,103,71.695,11
29,Louisville,ACC,6,4,68.310,88.672,23,0.600,0.765,-0.165,-1.000,226.772,158.462,288,206,127,130,31.141,45
30,Notre Dame,FBS Independents,7,3,68.279,89.442,22,0.700,0.742,-0.042,-0.267,249.580,181.301,297,223,119,123,25.533,48
31,Washington,Pac-12,7,2,66.758,77.076,32,0.778,0.658,0.120,0.696,342.268,275.510,332,270,97,98,13.804,59
32,Washington State,Pac-12,5,4,60.952,82.118,26,0.556,0.747,-0.192,-1.158,233.333,172.381,245,181,105,105,36.791,36
33,Oregon State,Pac-12,6,3,55.212,81.631,27,0.667,0.739,-0.073,-0.450,237.736,182.524,252,188,106,103,33.483,42
34,Liberty,FBS Independents,7,2,51.650,10.375,61,0.778,0.532,0.246,1.444,225.600,173.950,282,207,125,119,-46.438,99
35,Cincinnati,American Athletic,7,2,48.165,40.406,47,0.778,0.629,0.149,0.868,228.696,180.531,263,204,115,113,-6.884,72
36,UAB,Conference USA,4,5,46.602,-14.255,70,0.444,0.459,-0.014,-0.104,253.398,206.796,261,213,103,103,-63.400,121
37,UTSA,Conference USA,7,2,46.300,-24.986,74,0.778,0.448,0.330,1.944,321.569,275.269,328,256,102,93,-42.972,96
38,Mississippi State,SEC,6,4,45.694,103.163,17,0.600,0.754,-0.154,-0.932,249.600,203.906,312,261,125,128,61.177,15
39,North Carolina,ACC,8,1,45.308,42.917,45,0.889,0.592,0.297,1.746,308.036,262.727,345,289,112,110,-1.508,69
40,Wisconsin,Big Ten,4,5,45.107,49.419,41,0.444,0.642,-0.198,-1.194,228.440,183.333,249,209,109,114,36.217,37
41,SMU,American Athletic,5,4,44.063,53.505,40,0.556,0.620,-0.064,-0.400,311.304,267.241,358,310,115,116,17.875,55
42,Fresno State,Mountain West,5,4,43.167,-4.437,68,0.556,0.489,0.067,0.377,267.677,224.510,265,229,99,102,-31.624,90
43,Wake Forest,ACC,5,4,43.103,71.423,35,0.556,0.670,-0.115,-0.701,277.586,234.483,322,272,116,116,27.730,47
44,Toledo,Mid-American,6,3,40.658,2.275,63,0.667,0.506,0.161,0.937,261.667,221.008,314,263,120,119,-54.956,112
45,Maryland,Big Ten,6,4,40.595,58.480,39,0.600,0.670,-0.070,-0.433,235.833,195.238,283,246,120,126,14.605,58
46,Buffalo,Mid-American,5,4,40.163,-27.967,77,0.556,0.422,0.134,0.778,242.727,202.564,267,237,110,117,-66.571,123
47,Florida Atlantic,Conference USA,4,5,37.613,-41.209,86,0.444,0.375,0.069,0.393,245.794,208.182,263,229,107,110,-64.016,122
48,Coastal Carolina,Sun Belt,8,1,36.477,-28.814,79,0.889,0.430,0.459,2.711,271.429,234.951,285,242,105,103,-54.115,111
49,Iowa,Big Ten,5,4,36.010,104.405,15,0.556,0.845,-0.290,-1.740,156.364,120.354,172,136,110,113,42.208,29
50,Pittsburgh,ACC,5,4,35.119,43.318,44,0.556,0.631,-0.076,-0.469,214.286,179.167,255,215,119,120,4.854,64
51,Baylor,Big 12,5,4,32.731,75.735,33,0.556,0.688,-0.132,-0.805,263.208,230.476,279,242,106,105,60.731,16
52,Memphis,American Athletic,5,5,30.687,31.964,50,0.500,0.583,-0.083,-0.514,258.594,227.907,331,294,128,129,2.787,66
53,East Carolina,American Athletic,5,4,30.011,46.006,43,0.556,0.618,-0.062,-0.388,253.774,223.762,269,226,106,101,11.791,60
54,Louisiana,Sun Belt,4,5,25.585,-33.085,81,0.444,0.395,0.049,0.276,208.621,183.036,242,205,116,112,-62.559,120
55,Troy,Sun Belt,7,2,24.272,-2.314,66,0.778,0.491,0.286,1.685,169.903,145.631,175,150,103,103,-23.273,83
56,Iowa State,Big 12,3,6,23.749,104.118,16,0.333,0.874,-0.540,-3.232,161.468,137.719,176,157,109,114,87.189,5
57,NC State,ACC,6,3,23.473,46.874,42,0.667,0.654,0.013,0.058,188.288,164.815,209,178,111,108,31.486,44
58,Oklahoma,Big 12,5,5,19.665,91.088,21,0.500,0.748,-0.248,-1.493,243.511,223.846,319,291,131,130,57.217,21
59,Kansas,Big 12,5,4,15.403,96.921,19,0.556,0.705,-0.150,-0.908,298.095,282.692,313,294,105,104,75.544,10
60,Syracuse,ACC,5,4,14.921,80.560,29,0.556,0.731,-0.176,-1.063,203.810,188.889,214,204,105,108,46.956,26
61,Houston,American Athletic,6,4,7.465,11.923,58,0.600,0.526,0.074,0.422,311.667,304.202,374,362,120,119,-1.286,68
62,North Texas,Conference USA,5,5,5.292,-40.155,85,0.500,0.396,0.104,0.601,260.938,255.645,334,317,128,124,-52.690,109
63,Kentucky,SEC,5,4,4.040,39.467,48,0.556,0.629,-0.073,-0.453,204.040,200.000,202,200,99,100,23.659,49
64,Arkansas,SEC,4,5,3.147,64.747,38,0.444,0.663,-0.218,-1.316,230.973,227.826,261,262,113,115,57.337,20
65,Marshall,Sun Belt,4,4,0.806,-25.359,75,0.500,0.395,0.105,0.607,136.842,136.036,156,151,114,111,-21.017,80
66,Florida,SEC,5,4,-2.857,69.288,36,0.556,0.657,-0.101,-0.621,254.286,257.143,267,252,105,98,79.184,8
67,Ohio,Mid-American,6,3,-3.723,-27.588,76,0.667,0.435,0.232,1.360,249.107,252.830,279,268,112,106,-48.496,102
68,South Carolina,SEC,5,4,-6.495,10.940,60,0.556,0.532,0.024,0.122,216.514,223.009,236,252,109,113,17.918,54
69,Oklahoma State,Big 12,6,3,-8.449,79.606,30,0.667,0.724,-0.057,-0.358,211.852,220.301,286,293,135,133,83.462,6
70,App State,Sun Belt,3,5,-8.501,-28.712,78,0.375,0.437,-0.062,-0.386,263.542,272.043,253,253,96,93,-18.088,75
71,Michigan State,Big Ten,5,5,-9.670,-10.483,69,0.500,0.470,0.030,0.162,212.069,221.739,246,255,116,115,36.180,38
72,BYU,FBS Independents,5,5,-10.909,-3.477,67,0.500,0.492,0.008,0.031,269.091,280.000,296,308,110,110,16.757,56
73,Georgia Southern,Sun Belt,4,5,-11.365,-43.758,88,0.444,0.405,0.039,0.215,265.421,276.786,284,310,107,112,-31.493,89
74,Wyoming,Mountain West,6,3,-14.928,-65.374,97,0.667,0.307,0.359,2.119,185.981,200.909,199,221,107,110,-57.862,115
75,Georgia State,Sun Belt,4,6,-18.200,-66.958,99,0.400,0.307,0.093,0.537,225.000,243.200,297,304,132,125,-52.532,108
76,Texas Tech,Big 12,4,5,-20.599,68.030,37,0.444,0.693,-0.248,-1.494,221.774,242.373,275,286,124,118,94.982,2
77,Navy,American Athletic,3,6,-21.782,-14.465,71,0.333,0.458,-0.125,-0.761,219.802,241.584,222,244,101,101,18.628,53
78,San Diego State,Mountain West,5,4,-22.258,-43.089,87,0.556,0.349,0.207,1.213,174.038,196.296,181,212,104,108,-21.339,81
79,Purdue,Big Ten,5,4,-23.319,32.308,49,0.556,0.584,-0.028,-0.185,201.681,225.000,240,252,119,112,57.897,19
80,Eastern Michigan,Mid-American,5,4,-23.570,-99.515,111,0.556,0.275,0.281,1.650,239.796,263.366,235,266,98,101,-86.737,128
81,Miami,ACC,4,5,-34.493,-34.680,83,0.444,0.390,0.054,0.304,174.766,209.259,187,226,107,108,-19.501,77
82,Southern Miss,Sun Belt,4,5,-36.004,-71.000,100,0.444,0.279,0.165,0.965,159.829,195.833,187,235,117,120,-31.488,88
83,Old Dominion,Sun Belt,3,7,-36.823,-59.059,91,0.300,0.318,-0.018,-0.127,163.934,200.758,200,265,122,132,-32.903,91
84,Missouri,SEC,3,6,-40.475,29.019,52,0.333,0.597,-0.264,-1.588,173.684,214.159,198,242,114,113,58.853,17
