Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Alabama,SEC,7,0,312.158,217.748,2,1.000,0.948,0.052,0.287,426.136,113.978,375,106,88,93,-4.560,68
2,Ohio State,Big Ten,7,0,217.900,161.329,11,1.000,0.874,0.126,0.693,356.044,138.144,324,134,91,97,-11.988,74
3,Michigan,Big Ten,6,1,202.043,183.372,6,0.857,0.920,-0.063,-0.341,333.750,131.707,267,108,80,82,23.156,47
4,App State,Sun Belt,3,1,186.284,96.878,24,0.750,0.777,-0.027,-0.142,309.091,122.807,170,70,55,57,-52.425,105
5,Clemson,ACC,5,0,185.990,171.292,10,1.000,0.949,0.051,0.282,297.101,111.111,205,80,69,72,32.360,34
6,UCF,American Athletic,5,0,179.603,88.111,28,1.000,0.699,0.301,1.650,374.603,195.000,236,117,63,60,-78.071,123
7,Georgia,SEC,5,1,179.130,243.023,1,0.833,0.950,-0.117,-0.635,335.294,156.164,228,114,68,73,74.843,13
8,Oklahoma,Big 12,5,1,177.856,192.891,5,0.833,0.847,-0.014,-0.073,405.634,227.778,288,164,71,72,58.486,21
9,Utah State,Mountain West,4,1,166.451,70.903,39,0.800,0.669,0.131,0.721,343.478,177.027,237,131,69,74,-57.494,112
10,Penn State,Big Ten,4,2,164.180,120.955,16,0.667,0.814,-0.147,-0.800,301.136,136.957,265,126,88,92,11.399,56
11,NC State,ACC,4,0,148.217,105.975,22,1.000,0.740,0.260,1.425,313.333,165.116,141,71,45,43,-28.284,89
12,North Texas,Conference USA,5,1,143.924,31.025,54,0.833,0.598,0.235,1.291,272.840,128.916,221,107,81,83,-94.106,128
13,Army,FBS Independents,4,2,142.175,108.455,20,0.667,0.759,-0.093,-0.504,330.508,188.333,195,113,59,60,13.866,55
14,Cincinnati,American Athletic,5,0,138.960,45.909,46,1.000,0.683,0.317,1.736,249.254,110.294,167,75,67,68,-74.477,121
15,Washington State,Pac-12,4,1,133.488,84.546,31,0.800,0.677,0.123,0.677,325.424,191.935,192,119,59,62,-51.919,103
16,Fresno State,Mountain West,4,1,128.571,90.138,27,0.800,0.789,0.011,0.063,236.508,107.937,149,68,63,63,-38.315,96
17,West Virginia,Big 12,4,1,120.412,174.971,8,0.800,0.871,-0.071,-0.383,291.379,170.968,169,106,58,62,53.524,24
18,Iowa,Big Ten,4,1,120.079,179.309,7,0.800,0.904,-0.104,-0.566,255.000,134.921,153,85,60,63,44.581,28
19,Boise State,Mountain West,4,2,119.203,10.766,61,0.667,0.528,0.139,0.763,289.333,170.130,217,131,75,77,-59.398,114
20,Notre Dame,FBS Independents,7,0,112.224,136.862,13,1.000,0.858,0.142,0.779,256.180,143.956,228,131,89,91,28.453,40
21,Oregon,Pac-12,4,1,110.598,46.680,45,0.800,0.604,0.196,1.075,306.250,195.652,196,135,64,69,-48.048,101
22,UAB,Conference USA,4,1,108.293,-39.936,81,0.800,0.362,0.438,2.395,239.062,130.769,153,85,64,65,-111.954,130
23,Temple,American Athletic,4,2,107.658,71.491,37,0.667,0.697,-0.030,-0.160,274.324,166.667,203,135,74,81,-18.200,82
24,Florida,SEC,5,1,102.018,172.499,9,0.833,0.899,-0.066,-0.357,250.667,148.649,188,110,75,74,94.960,6
25,Memphis,American Athletic,3,3,97.198,-25.638,72,0.500,0.434,0.066,0.364,312.987,215.789,241,164,77,76,-94.880,129
26,Wisconsin,Big Ten,4,2,96.653,92.786,26,0.667,0.734,-0.068,-0.366,275.758,179.104,182,120,66,67,9.099,57
27,Kentucky,SEC,4,1,93.661,201.388,3,0.800,0.957,-0.157,-0.855,213.333,119.672,128,73,60,61,103.713,3
28,LSU,SEC,5,1,93.022,196.358,4,0.833,0.929,-0.096,-0.522,244.304,151.282,193,118,79,78,98.073,5
29,Mississippi State,SEC,3,2,91.561,150.575,12,0.600,0.925,-0.325,-1.774,223.636,132.075,123,70,55,53,86.332,10
30,Houston,American Athletic,4,1,85.000,24.227,55,0.800,0.560,0.240,1.314,277.500,192.500,222,154,80,80,-60.688,115
31,Colorado,Pac-12,4,1,81.995,69.569,40,0.800,0.697,0.103,0.568,252.308,170.312,164,109,65,64,-13.702,77
32,Purdue,Big Ten,3,3,81.738,75.810,33,0.500,0.721,-0.221,-1.202,251.250,169.512,201,139,80,82,6.723,59
33,Miami,ACC,4,2,79.500,71.028,38,0.667,0.719,-0.052,-0.282,240.260,160.759,185,127,77,79,-1.615,66
34,Arizona State,Pac-12,3,3,78.788,42.054,48,0.500,0.611,-0.111,-0.603,271.212,192.424,179,127,66,66,-7.962,71
35,Utah,Pac-12,3,2,75.683,100.573,23,0.600,0.806,-0.206,-1.125,216.667,140.984,130,86,60,61,30.503,38
36,Washington,Pac-12,4,2,71.226,107.638,21,0.667,0.789,-0.122,-0.665,241.538,170.312,157,109,65,64,31.380,36
37,Duke,ACC,4,1,67.460,112.800,19,0.800,0.860,-0.060,-0.326,217.460,150.000,137,93,63,62,41.443,30
38,Syracuse,ACC,3,2,64.005,36.080,53,0.600,0.593,0.007,0.044,254.545,190.541,196,141,77,74,-24.072,86
39,Oklahoma State,Big 12,3,3,61.166,55.708,42,0.500,0.637,-0.137,-0.745,283.117,221.951,218,182,77,82,20.427,51
40,South Florida,American Athletic,5,0,60.407,-9.960,66,1.000,0.468,0.532,2.913,249.296,188.889,177,136,71,72,-68.454,117
