Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
45,Nevada,Western Athletic,7,6,42.139,43.880,33,0.538,0.620,-0.082,-0.431,236.782,194.6428571,412,327,174,168,26.801,1.041
46,Tulsa,Conference USA,8,5,40.152,69.599,23,0.615,0.607,0.008,0.406,251.462,211.3095238,430,355,171,168,44.613,1.733
47,San Diego State,Mountain West,7,5,34.383,39.996,37,0.583,0.600,-0.017,0.170,228.994,194.6107784,387,325,169,167,29.939,1.163
48,NC State,ACC,6,5,32.366,21.000,53,0.545,0.603,-0.058,-0.209,209.714,177.3480663,367,321,175,181,16.699,0.649
49,Texas,Big 12,8,5,31.887,34.462,42,0.615,0.605,0.011,0.428,203.911,172.0238095,365,289,179,168,27.816,1.081
50,Ohio State,Big Ten,6,7,30.850,43.487,34,0.462,0.602,-0.140,-0.976,202.548,171.6981132,318,273,157,159,36.281,1.410
51,Iowa,Big Ten,6,6,30.573,27.578,51,0.500,0.589,-0.089,-0.500,228.025,197.4522293,358,310,157,157,23.216,0.902
52,Utah,Pac-12,7,5,30.093,10.542,57,0.583,0.609,-0.025,0.092,185.714,155.6213018,325,263,175,169,9.016,0.350
53,Vanderbilt,SEC,5,7,29.583,46.237,31,0.417,0.597,-0.180,-1.345,204.118,174.5341615,347,281,170,161,40.226,1.563
54,California,Pac-12,6,6,29.248,29.536,49,0.500,0.591,-0.091,-0.517,213.953,184.7058824,368,314,172,170,25.991,1.010
55,Illinois,Big Ten,6,6,27.986,30.554,47,0.500,0.606,-0.106,-0.656,177.108,149.122807,294,255,166,171,28.099,1.092
56,Clemson,ACC,9,4,26.479,29.726,48,0.692,0.572,0.120,1.449,242.268,215.7894737,470,410,194,190,28.894,1.123
57,Arizona State,Pac-12,5,7,25.550,33.096,43,0.417,0.570,-0.154,-1.102,238.122,212.5714286,431,372,181,175,33.339,1.295
58,Kansas State,Big 12,9,3,25.199,35.368,40,0.750,0.569,0.181,2.009,238.728,213.5294118,413,363,173,170,36.124,1.404
59,SMU,Conference USA,7,5,24.335,37.060,38,0.583,0.566,0.017,0.490,241.727,217.3913043,336,300,139,138,39.195,1.523
60,Penn State,Big Ten,8,4,21.305,51.322,29,0.667,0.594,0.072,1.001,150.299,128.9940828,251,218,167,169,61.998,2.409
61,North Carolina,ACC,6,6,18.581,11.568,55,0.500,0.555,-0.055,-0.188,217.964,199.382716,364,323,167,162,16.024,0.623
62,Louisiana,Sun Belt,8,4,18.320,8.427,61,0.667,0.553,0.114,1.388,225.806,207.486631,420,388,186,187,11.840,0.460
63,Louisville,Big East,6,6,15.908,8.700,60,0.500,0.559,-0.059,-0.217,177.019,161.1111111,285,261,161,162,14.077,0.547
64,Navy,FBS Independents,4,7,14.550,11.548,56,0.364,0.535,-0.171,-1.262,269.697,255.1470588,356,347,132,136,20.428,0.794
65,Hawai'i,Western Athletic,5,7,13.406,-1.097,68,0.417,0.533,-0.117,-0.755,258.861,245.4545455,409,378,158,154,-2.106,-0.082
66,Pittsburgh,Big East,5,7,9.216,7.690,62,0.417,0.533,-0.117,-0.755,177.966,168.75,315,297,177,176,21.475,0.834
67,Northwestern,Big Ten,5,7,7.786,5.993,63,0.417,0.518,-0.101,-0.614,274.453,266.6666667,376,360,137,135,19.811,0.770
68,Purdue,Big Ten,6,6,5.549,5.651,64,0.500,0.517,-0.017,0.173,210.843,205.2941176,350,349,166,170,26.208,1.018
69,UConn,Big East,4,7,5.141,3.367,66,0.364,0.519,-0.156,-1.119,169.186,164.0449438,291,292,172,178,16.858,0.655
70,UL Monroe,Sun Belt,3,8,-8.459,-7.620,70,0.273,0.471,-0.199,-1.520,180.982,189.4409938,295,305,163,161,23.183,0.901
71,Miami (OH),Mid-American,4,8,-10.150,-8.135,71,0.333,0.463,-0.130,-0.882,168.421,178.5714286,256,275,152,154,20.627,0.801
72,Bowling Green,Mid-American,4,7,-12.359,-11.733,74,0.364,0.463,-0.099,-0.596,202.548,214.9068323,318,346,157,161,24.434,0.949
73,Wake Forest,ACC,5,7,-12.724,-9.449,72,0.417,0.460,-0.044,-0.079,194.253,206.9767442,338,356,174,172,19.113,0.743
74,Virginia,ACC,7,5,-12.933,-12.691,75,0.583,0.455,0.129,1.525,171.591,184.5238095,302,310,176,168,25.257,0.981
75,Wyoming,Mountain West,6,5,-13.253,-20.871,81,0.545,0.461,0.085,1.116,204.217,217.4698795,339,361,166,166,40.531,1.575
76,Western Kentucky,Sun Belt,7,4,-14.744,-10.567,73,0.636,0.450,0.186,2.062,176.282,191.025641,275,298,156,156,18.447,0.717
77,Washington State,Pac-12,3,8,-16.435,-12.990,76,0.273,0.457,-0.184,-1.387,230.968,247.4025974,358,381,155,154,20.343,0.790
78,UTEP,Conference USA,4,7,-19.532,-18.397,79,0.364,0.447,-0.084,-0.451,221.528,241.0596026,319,364,144,151,24.242,0.942
79,Army,FBS Independents,2,9,-21.592,-14.937,78,0.182,0.443,-0.261,-2.099,224.060,245.6521739,298,339,133,138,17.805,0.692
80,Auburn,SEC,7,5,-23.221,-52.522,96,0.583,0.434,0.149,1.717,207.453,230.6748466,334,376,161,163,58.212,2.262
81,Eastern Michigan,Mid-American,4,6,-23.377,-13.489,77,0.400,0.420,-0.020,0.141,170.000,193.3774834,255,292,150,151,14.851,0.577
82,Arizona,Pac-12,3,8,-26.757,-43.529,92,0.273,0.437,-0.164,-1.200,251.020,277.7777778,369,425,147,153,41.870,1.627
83,Washington,Pac-12,6,6,-27.668,-38.010,89,0.500,0.439,0.061,0.897,267.901,295.5696203,434,467,162,158,35.357,1.374
84,Tennessee,SEC,4,7,-28.008,-68.234,100,0.364,0.419,-0.056,-0.191,201.653,229.6610169,244,271,121,118,62.702,2.436
85,Syracuse,Big East,4,7,-31.288,-33.427,86,0.364,0.406,-0.043,-0.068,190.789,222.0779221,290,342,152,154,27.496,1.068
86,Fresno State,Western Athletic,3,9,-35.527,-30.110,83,0.250,0.406,-0.156,-1.126,216.959,252.4861878,371,457,171,181,21.813,0.848
87,Boston College,ACC,3,8,-40.446,-36.657,88,0.273,0.352,-0.079,-0.409,146.309,186.7549669,218,282,149,151,23.326,0.906
88,Texas Tech,Big 12,4,7,-43.467,-57.256,97,0.364,0.401,-0.037,-0.017,249.080,292.5465839,406,471,163,161,33.902,1.317
89,North Texas,Sun Belt,5,7,-44.587,-67.116,99,0.417,0.364,0.053,0.817,178.443,223.030303,298,368,167,165,38.742,1.505
90,Iowa State,Big 12,5,7,-51.020,-71.450,101,0.417,0.335,0.082,1.092,161.202,212.2222222,295,382,183,180,36.044,1.400
91,San Jos̩ State,Western Athletic,5,7,-51.822,-35.511,87,0.417,0.345,0.072,0.996,177.108,228.9308176,294,364,166,159,17.636,0.685
92,Kent State,Mid-American,4,7,-52.626,-75.418,102,0.364,0.288,0.076,1.032,120.588,173.2142857,205,291,170,168,36.884,1.433
93,Buffalo,Mid-American,2,9,-57.928,-26.320,82,0.182,0.323,-0.141,-0.986,168.354,226.2820513,266,353,158,156,11.694,0.454
94,East Carolina,Conference USA,5,7,-62.628,-76.733,103,0.417,0.336,0.080,1.074,200.637,263.2653061,315,387,157,147,31.534,1.225
95,Marshall,Conference USA,7,6,-63.153,-82.290,105,0.538,0.317,0.222,2.391,175.309,238.4615385,284,372,162,156,33.536,1.303
96,UCLA,Pac-12,6,8,-63.312,-95.737,108,0.429,0.330,0.099,1.245,193.413,256.7251462,323,439,167,171,38.919,1.512
97,Kentucky,SEC,4,7,-66.367,-82.624,106,0.364,0.254,0.109,1.346,123.377,189.7435897,190,296,154,156,32.042,1.245
98,Colorado State,Mountain West,2,9,-67.143,-60.505,98,0.182,0.303,-0.122,-0.802,170.199,237.3417722,257,375,151,158,23.193,0.901
99,Ball State,Mid-American,6,6,-73.515,-78.329,104,0.500,0.310,0.190,2.096,194.872,268.3870968,304,416,156,155,27.422,1.065
100,Maryland,ACC,1,10,-74.234,-98.713,109,0.091,0.298,-0.207,-1.594,181.046,255.2795031,277,411,153,161,34.225,1.330
101,Duke,ACC,3,8,-76.049,-100.099,110,0.273,0.296,-0.023,0.111,183.673,259.7222222,270,374,147,144,33.877,1.316
102,Oregon State,Pac-12,3,8,-76.398,-137.126,113,0.273,0.290,-0.017,0.171,177.027,253.4246575,262,370,148,146,46.196,1.795
103,Rice,Conference USA,4,8,-78.221,-84.338,107,0.333,0.281,0.052,0.812,171.779,250,280,400,163,160,27.750,1.078
104,Troy,Sun Belt,3,9,-81.508,-31.042,84,0.250,0.278,-0.028,0.064,175.817,257.3248408,269,404,153,157,9.802,0.381
105,Central Michigan,Mid-American,2,9,-85.453,-49.565,94,0.182,0.268,-0.086,-0.472,172.611,258.0645161,271,400,157,155,14.928,0.580
106,Idaho,Western Athletic,1,10,-94.243,-40.021,90,0.091,0.217,-0.126,-0.844,140.462,234.7058824,243,399,173,170,10.930,0.425
107,New Mexico State,Western Athletic,4,9,-98.739,-40.302,91,0.308,0.264,0.044,0.737,194.512,293.2515337,319,478,164,163,10.505,0.408
108,Middle Tennessee,Sun Belt,2,10,-109.434,-19.323,80,0.167,0.222,-0.055,-0.186,167.925,277.3584906,267,441,159,159,4.545,0.177
109,Minnesota,Big Ten,3,8,-123.256,-201.108,116,0.273,0.205,0.068,0.958,171.318,294.5736434,221,380,129,129,41.994,1.632
110,Tulane,Conference USA,1,11,-124.032,-32.661,85,0.083,0.190,-0.106,-0.661,157.471,281.5028902,274,487,174,173,6.777,0.263
111,Ole Miss,SEC,1,10,-126.309,-285.935,118,0.091,0.149,-0.058,-0.212,125.325,251.6339869,193,385,154,153,58.263,2.264
112,Indiana,Big Ten,0,11,-136.896,-118.957,111,0.000,0.182,-0.182,-1.362,165.806,302.7027027,257,448,155,148,22.365,0.869
113,UAB,Conference USA,3,9,-140.306,-119.894,112,0.250,0.191,0.059,0.880,179.259,319.5652174,242,441,135,138,21.993,0.855
114,Colorado,Pac-12,3,10,-141.991,-156.893,115,0.231,0.168,0.063,0.910,158.642,300.6329114,257,475,162,158,28.439,1.105
115,Kansas,Big 12,1,10,-159.828,-255.659,117,0.091,0.171,-0.080,-0.412,181.081,340.9090909,268,525,148,154,41.169,1.600
116,Florida Atlantic,Sun Belt,1,11,-171.895,-49.349,93,0.083,0.076,0.008,0.398,100.000,271.8954248,155,416,155,153,7.389,0.287
117,Memphis,Conference USA,1,10,-177.743,-51.637,95,0.091,0.125,-0.034,0.009,151.163,328.90625,195,421,129,128,7.477,0.291
118,Akron,Mid-American,0,11,-193.135,-149.771,114,0.000,0.078,-0.078,-0.400,114.865,308,170,462,148,150,19.959,0.775
119,UNLV,Mountain West,2,9,-204.166,-362.683,120,0.182,0.100,0.082,1.091,144.755,348.9208633,207,485,143,139,45.720,1.776
120,New Mexico,Mountain West,1,10,-234.162,-305.326,119,0.091,0.048,0.043,0.729,101.408,335.5704698,144,500,142,149,33.559,1.304
