Season,Week,GameId,Team,Conference,Opponent,OpponentConference,Location,StartDate,Completed,Live,TeamPoints,OpponentPoints,Result,OpponentRk,OpponentAdjRk,OpponentAdjRtg
2018,2,401014983,Air Force,Mountain West,Florida Atlantic,Conference USA,Away,2018-09-08T18:00:00.000Z,True,False,26,33,L,74,72,-13.459
2018,4,401022522,Air Force,Mountain West,Utah State,Mountain West,Away,2018-09-23T02:30:00.000Z,True,False,32,42,L,3,32,69.025
2018,5,401022525,Air Force,Mountain West,Nevada,Mountain West,Home,2018-09-29T20:00:00.000Z,True,False,25,28,L,65,86,-33.528
2018,6,401019504,Air Force,Mountain West,Navy,American Athletic,Home,2018-10-06T19:30:00.000Z,True,False,35,7,W,112,103,-92.606
2018,7,401022533,Air Force,Mountain West,San Diego State,Mountain West,Away,2018-10-13T01:00:00.000Z,True,False,17,21,L,76,90,-46.968
2018,8,401022539,Air Force,Mountain West,UNLV,Mountain West,Away,2018-10-20T02:00:00.000Z,True,False,41,35,W,109,109,-120.450
2018,9,401022544,Air Force,Mountain West,Boise State,Mountain West,Home,2018-10-27T23:00:00.000Z,True,False,38,48,L,13,28,80.702
2018,10,401013373,Air Force,Mountain West,Army,FBS Independents,Away,2018-11-03T12:00:00.000Z,True,False,14,17,L,4,27,81.714
2018,11,401022554,Air Force,Mountain West,New Mexico,Mountain West,Home,2018-11-10T20:30:00.000Z,True,False,42,24,W,108,111,-125.203
2018,12,401022559,Air Force,Mountain West,Wyoming,Mountain West,Away,2018-11-17T21:00:00.000Z,True,False,27,35,L,73,83,-26.992
2018,13,401022565,Air Force,Mountain West,Colorado State,Mountain West,Home,2018-11-22T20:30:00.000Z,True,False,27,19,W,117,114,-129.253
2018,3,401013343,Akron,Mid-American,Northwestern,Big Ten,Away,2018-09-15T23:30:00.000Z,True,False,39,34,W,62,37,62.327
2018,4,401013040,Akron,Mid-American,Iowa State,Big 12,Away,2018-09-22T16:00:00.000Z,True,False,13,26,L,49,22,99.642
2018,6,401020812,Akron,Mid-American,Miami (OH),Mid-American,Home,2018-10-06T19:30:00.000Z,True,False,17,41,L,53,75,-17.863
2018,7,401020756,Akron,Mid-American,Buffalo,Mid-American,Away,2018-10-13T16:00:00.000Z,True,False,6,24,L,36,62,0.361
2018,8,401020761,Akron,Mid-American,Kent State,Mid-American,Away,2018-10-20T19:30:00.000Z,True,False,24,23,W,121,120,-145.593
2018,9,401020768,Akron,Mid-American,Central Michigan,Mid-American,Home,2018-10-27T16:00:00.000Z,True,False,17,10,W,110,116,-131.207
2018,10,401020772,Akron,Mid-American,Northern Illinois,Mid-American,Home,2018-11-01T23:00:00.000Z,True,False,26,36,L,77,88,-40.536
2018,11,401020778,Akron,Mid-American,Eastern Michigan,Mid-American,Away,2018-11-10T17:00:00.000Z,True,False,7,27,L,59,87,-39.526
2018,12,401020784,Akron,Mid-American,Bowling Green,Mid-American,Home,2018-11-17T20:30:00.000Z,True,False,6,21,L,125,124,-161.701
2018,13,401020787,Akron,Mid-American,Ohio,Mid-American,Away,2018-11-23T17:00:00.000Z,True,False,28,49,L,7,36,62.643
2018,14,401098253,Akron,Mid-American,South Carolina,SEC,Away,2018-12-01T17:00:00.000Z,True,False,3,28,L,64,34,66.567
2018,1,401012246,Alabama,SEC,Louisville,ACC,Home,2018-09-02T00:00:00.000Z,True,False,51,14,W,129,108,-110.724
2018,1,401032078,Alabama,SEC,Oklahoma,Big 12,Home,2018-12-30T01:00:00.000Z,True,False,45,34,W,12,4,174.364
2018,1,401032087,Alabama,SEC,Clemson,ACC,Home,2019-01-08T01:00:00.000Z,True,False,16,44,L,1,2,233.788
2018,2,401012260,Alabama,SEC,Arkansas State,Sun Belt,Home,2018-09-08T19:30:00.000Z,True,False,57,7,W,50,67,-9.946
2018,3,401012277,Alabama,SEC,Ole Miss,SEC,Away,2018-09-15T23:00:00.000Z,True,False,62,7,W,89,55,28.367
2018,4,401012284,Alabama,SEC,Texas A&M,SEC,Home,2018-09-22T19:30:00.000Z,True,False,45,23,W,39,15,123.816
2018,5,401012292,Alabama,SEC,Louisiana,Sun Belt,Home,2018-09-29T16:00:00.000Z,True,False,56,14,W,91,94,-60.151
2018,6,401012300,Alabama,SEC,Arkansas,SEC,Away,2018-10-06T16:00:00.000Z,True,False,65,31,W,124,89,-42.984
2018,7,401012307,Alabama,SEC,Missouri,SEC,Home,2018-10-13T23:00:00.000Z,True,False,39,10,W,22,8,145.255
2018,8,401012318,Alabama,SEC,Tennessee,SEC,Away,2018-10-20T19:30:00.000Z,True,False,58,21,W,106,61,7.621
2018,10,401012327,Alabama,SEC,LSU,SEC,Away,2018-11-04T00:00:00.000Z,True,False,29,0,W,25,7,146.658
2018,11,401012331,Alabama,SEC,Mississippi State,SEC,Home,2018-11-10T20:30:00.000Z,True,False,24,0,W,18,9,145.105
2018,13,401012350,Alabama,SEC,Auburn,SEC,Home,2018-11-24T20:30:00.000Z,True,False,52,21,W,29,21,100.333
2018,14,401056705,Alabama,SEC,Georgia,SEC,Away,2018-12-01T21:00:00.000Z,True,False,35,28,W,5,3,221.520
2018,1,401013349,App State,Sun Belt,Penn State,Big Ten,Away,2018-09-01T19:30:00.000Z,True,False,38,45,L,19,16,117.492
2018,1,401032057,App State,Sun Belt,Middle Tennessee,Conference USA,Home,2018-12-16T02:00:00.000Z,True,False,45,13,W,68,84,-27.398
2018,2,401014981,App State,Sun Belt,Charlotte,Conference USA,Away,2018-09-08T22:00:00.000Z,True,False,45,9,W,101,113,-125.729
2018,5,401021665,App State,Sun Belt,South Alabama,Sun Belt,Home,2018-09-29T19:30:00.000Z,True,False,52,7,W,127,125,-162.728
2018,7,401021672,App State,Sun Belt,Arkansas State,Sun Belt,Away,2018-10-10T00:00:00.000Z,True,False,35,9,W,50,67,-9.946
2018,8,401021677,App State,Sun Belt,Louisiana,Sun Belt,Home,2018-10-20T19:30:00.000Z,True,False,27,17,W,91,94,-60.151
2018,9,401021680,App State,Sun Belt,Georgia Southern,Sun Belt,Away,2018-10-25T23:30:00.000Z,True,False,14,34,L,37,63,-0.847
2018,10,401021683,App State,Sun Belt,Coastal Carolina,Sun Belt,Away,2018-11-03T21:00:00.000Z,True,False,23,7,W,104,112,-125.257
2018,11,401021702,App State,Sun Belt,Texas State,Sun Belt,Away,2018-11-10T21:00:00.000Z,True,False,38,7,W,103,122,-156.904
2018,12,401021692,App State,Sun Belt,Georgia State,Sun Belt,Home,2018-11-17T19:30:00.000Z,True,False,45,17,W,120,126,-164.412
2018,13,401021697,App State,Sun Belt,Troy,Sun Belt,Home,2018-11-24T19:30:00.000Z,True,False,21,10,W,44,70,-12.899
2018,14,401056701,App State,Sun Belt,Louisiana,Sun Belt,Home,2018-12-01T17:00:00.000Z,True,False,30,19,W,91,94,-60.151
2018,1,401012676,Arizona,Pac-12,BYU,FBS Independents,Home,2018-09-02T02:45:00.000Z,True,False,23,28,L,51,65,-5.413
2018,2,401012726,Arizona,Pac-12,Houston,American Athletic,Away,2018-09-08T16:00:00.000Z,True,False,18,45,L,56,80,-22.819
2018,4,401012750,Arizona,Pac-12,Oregon State,Pac-12,Away,2018-09-22T20:00:00.000Z,True,False,35,14,W,128,118,-134.872
2018,5,401012753,Arizona,Pac-12,USC,Pac-12,Home,2018-09-30T02:30:00.000Z,True,False,20,24,L,67,60,9.603
2018,6,401012759,Arizona,Pac-12,California,Pac-12,Home,2018-10-07T02:00:00.000Z,True,False,24,17,W,69,66,-7.994
2018,7,401012764,Arizona,Pac-12,Utah,Pac-12,Away,2018-10-13T02:00:00.000Z,True,False,10,42,L,35,25,85.664
2018,8,401012769,Arizona,Pac-12,UCLA,Pac-12,Away,2018-10-21T02:30:00.000Z,True,False,30,31,L,99,78,-19.332
2018,9,401012775,Arizona,Pac-12,Oregon,Pac-12,Home,2018-10-28T02:30:00.000Z,True,False,44,15,W,32,48,47.856
2018,10,401012780,Arizona,Pac-12,Colorado,Pac-12,Home,2018-11-03T02:30:00.000Z,True,False,42,34,W,79,73,-14.651
2018,12,401012795,Arizona,Pac-12,Washington State,Pac-12,Away,2018-11-18T03:30:00.000Z,True,False,28,69,L,16,20,103.438
2018,13,401012799,Arizona,Pac-12,Arizona State,Pac-12,Home,2018-11-24T20:30:00.000Z,True,False,40,41,L,47,56,28.252
2018,1,401012677,Arizona State,Pac-12,UTSA,Conference USA,Home,2018-09-02T02:30:00.000Z,True,False,49,7,W,123,127,-164.871
2018,1,401032055,Arizona State,Pac-12,Fresno State,Mountain West,Away,2018-12-15T20:30:00.000Z,True,False,20,31,L,9,23,96.413
2018,2,401012727,Arizona State,Pac-12,Michigan State,Big Ten,Home,2018-09-09T02:45:00.000Z,True,False,16,13,W,57,41,60.158
2018,3,401012738,Arizona State,Pac-12,San Diego State,Mountain West,Away,2018-09-16T02:30:00.000Z,True,False,21,28,L,76,90,-46.968
2018,4,401012751,Arizona State,Pac-12,Washington,Pac-12,Away,2018-09-23T02:30:00.000Z,True,False,20,27,L,28,19,106.321
2018,5,401012754,Arizona State,Pac-12,Oregon State,Pac-12,Home,2018-09-30T02:00:00.000Z,True,False,52,24,W,128,118,-134.872
2018,6,401012761,Arizona State,Pac-12,Colorado,Pac-12,Away,2018-10-06T20:00:00.000Z,True,False,21,28,L,79,73,-14.651
2018,8,401012768,Arizona State,Pac-12,Stanford,Pac-12,Home,2018-10-19T01:00:00.000Z,True,False,13,20,L,45,40,60.358
2018,9,401012776,Arizona State,Pac-12,USC,Pac-12,Away,2018-10-27T19:30:00.000Z,True,False,38,35,W,67,60,9.603
2018,10,401012781,Arizona State,Pac-12,Utah,Pac-12,Home,2018-11-03T20:00:00.000Z,True,False,38,20,W,35,25,85.664
2018,11,401012786,Arizona State,Pac-12,UCLA,Pac-12,Home,2018-11-10T19:00:00.000Z,True,False,31,28,W,99,78,-19.332
2018,12,401012793,Arizona State,Pac-12,Oregon,Pac-12,Away,2018-11-18T03:30:00.000Z,True,False,29,31,L,32,48,47.856
2018,13,401012799,Arizona State,Pac-12,Arizona,Pac-12,Away,2018-11-24T20:30:00.000Z,True,False,41,40,W,80,68,-9.965
2018,2,401012261,Arkansas,SEC,Colorado State,Mountain West,Away,2018-09-08T23:30:00.000Z,True,False,27,34,L,117,114,-129.253
2018,3,401012272,Arkansas,SEC,North Texas,Conference USA,Home,2018-09-15T20:00:00.000Z,True,False,17,44,L,30,79,-22.388
2018,4,401012285,Arkansas,SEC,Auburn,SEC,Away,2018-09-22T23:30:00.000Z,True,False,3,34,L,29,21,100.333
2018,5,401012293,Arkansas,SEC,Texas A&M,SEC,Away,2018-09-29T16:00:00.000Z,True,False,17,24,L,39,15,123.816
2018,6,401012300,Arkansas,SEC,Alabama,SEC,Home,2018-10-06T16:00:00.000Z,True,False,31,65,L,2,1,243.792
2018,7,401012308,Arkansas,SEC,Ole Miss,SEC,Home,2018-10-13T23:30:00.000Z,True,False,33,37,L,89,55,28.367
2018,8,401012313,Arkansas,SEC,Tulsa,American Athletic,Home,2018-10-20T16:00:00.000Z,True,False,23,0,W,95,105,-98.714
2018,9,401012319,Arkansas,SEC,Vanderbilt,SEC,Home,2018-10-27T16:00:00.000Z,True,False,31,45,L,55,24,86.550
2018,11,401012332,Arkansas,SEC,LSU,SEC,Home,2018-11-11T00:30:00.000Z,True,False,17,24,L,25,7,146.658
2018,12,401012344,Arkansas,SEC,Mississippi State,SEC,Away,2018-11-17T17:00:00.000Z,True,False,6,52,L,18,9,145.105
2018,13,401012354,Arkansas,SEC,Missouri,SEC,Away,2018-11-23T19:30:00.000Z,True,False,0,38,L,22,8,145.255
2018,1,401035252,Arkansas State,Sun Belt,Nevada,Mountain West,Away,2018-12-29T18:15:00.000Z,True,False,13,16,L,65,86,-33.528
2018,2,401012260,Arkansas State,Sun Belt,Alabama,SEC,Away,2018-09-08T19:30:00.000Z,True,False,7,57,L,2,1,243.792
2018,3,401019488,Arkansas State,Sun Belt,Tulsa,American Athletic,Away,2018-09-15T23:00:00.000Z,True,False,29,20,W,95,105,-98.714
2018,4,401021662,Arkansas State,Sun Belt,UNLV,Mountain West,Home,2018-09-22T23:00:00.000Z,True,False,27,20,W,109,109,-120.450
2018,5,401021666,Arkansas State,Sun Belt,Georgia Southern,Sun Belt,Away,2018-09-29T22:00:00.000Z,True,False,21,28,L,37,63,-0.847
2018,7,401021672,Arkansas State,Sun Belt,App State,Sun Belt,Home,2018-10-10T00:00:00.000Z,True,False,9,35,L,6,29,75.510
2018,8,401021676,Arkansas State,Sun Belt,Georgia State,Sun Belt,Home,2018-10-18T23:30:00.000Z,True,False,51,35,W,120,126,-164.412
2018,9,401021681,Arkansas State,Sun Belt,Louisiana,Sun Belt,Away,2018-10-27T23:00:00.000Z,True,False,43,47,L,91,94,-60.151
2018,10,401021684,Arkansas State,Sun Belt,South Alabama,Sun Belt,Home,2018-11-03T19:00:00.000Z,True,False,38,14,W,127,125,-162.728
2018,11,401021688,Arkansas State,Sun Belt,Coastal Carolina,Sun Belt,Away,2018-11-10T22:00:00.000Z,True,False,44,16,W,104,112,-125.257
2018,12,401021693,Arkansas State,Sun Belt,UL Monroe,Sun Belt,Home,2018-11-17T20:00:00.000Z,True,False,31,17,W,92,101,-79.365
2018,13,401021698,Arkansas State,Sun Belt,Texas State,Sun Belt,Away,2018-11-24T21:00:00.000Z,True,False,33,7,W,103,122,-156.904
2018,1,401013089,Army,FBS Independents,Duke,ACC,Away,2018-08-31T23:00:00.000Z,True,False,14,34,L,71,44,56.628
2018,1,401032064,Army,FBS Independents,Houston,American Athletic,Home,2018-12-22T20:30:00.000Z,True,False,70,14,W,56,80,-22.819
2018,2,401013367,Army,FBS Independents,Liberty,FBS Independents,Home,2018-09-08T16:00:00.000Z,True,False,38,14,W,96,107,-107.391
2018,3,401013368,Army,FBS Independents,Hawai'i,Mountain West,Home,2018-09-15T16:00:00.000Z,True,False,28,21,W,88,100,-78.652
2018,4,401013066,Army,FBS Independents,Oklahoma,Big 12,Away,2018-09-22T23:00:00.000Z,True,False,21,28,L,12,4,174.364
2018,5,401013369,Army,FBS Independents,Buffalo,Mid-American,Away,2018-09-29T16:00:00.000Z,True,False,42,13,W,36,62,0.361
2018,7,401013370,Army,FBS Independents,San José State,Mountain West,Away,2018-10-13T19:30:00.000Z,True,False,52,3,W,116,106,-103.298
2018,8,401013371,Army,FBS Independents,Miami (OH),Mid-American,Home,2018-10-20T16:00:00.000Z,True,False,31,30,W,53,75,-17.863
2018,9,401013372,Army,FBS Independents,Eastern Michigan,Mid-American,Away,2018-10-27T16:00:00.000Z,True,False,37,22,W,59,87,-39.526
2018,10,401013373,Army,FBS Independents,Air Force,Mountain West,Home,2018-11-03T12:00:00.000Z,True,False,17,14,W,58,77,-18.944
2018,15,401013376,Army,FBS Independents,Navy,American Athletic,Home,2018-12-08T20:00:00.000Z,True,False,17,10,W,112,103,-92.606
2018,1,401012248,Auburn,SEC,Washington,Pac-12,Home,2018-09-01T19:30:00.000Z,True,False,21,16,W,28,19,106.321
2018,1,401032073,Auburn,SEC,Purdue,Big Ten,Home,2018-12-28T18:30:00.000Z,True,False,63,14,W,63,33,68.030
2018,3,401012273,Auburn,SEC,LSU,SEC,Home,2018-09-15T19:30:00.000Z,True,False,21,22,L,25,7,146.658
2018,4,401012285,Auburn,SEC,Arkansas,SEC,Home,2018-09-22T23:30:00.000Z,True,False,34,3,W,124,89,-42.984
2018,5,401012294,Auburn,SEC,Southern Miss,Conference USA,Home,2018-09-29T20:00:00.000Z,True,False,24,13,W,60,97,-69.221
2018,6,401012304,Auburn,SEC,Mississippi State,SEC,Away,2018-10-06T23:30:00.000Z,True,False,9,23,L,18,9,145.105
2018,7,401012309,Auburn,SEC,Tennessee,SEC,Home,2018-10-13T16:00:00.000Z,True,False,24,30,L,106,61,7.621
2018,8,401012316,Auburn,SEC,Ole Miss,SEC,Away,2018-10-20T16:00:00.000Z,True,False,31,16,W,89,55,28.367
2018,10,401012324,Auburn,SEC,Texas A&M,SEC,Home,2018-11-03T16:00:00.000Z,True,False,28,24,W,39,15,123.816
2018,11,401012334,Auburn,SEC,Georgia,SEC,Away,2018-11-11T00:00:00.000Z,True,False,10,27,L,5,3,221.520
2018,12,401012339,Auburn,SEC,Liberty,FBS Independents,Home,2018-11-17T21:00:00.000Z,True,False,53,0,W,96,107,-107.391
2018,13,401012350,Auburn,SEC,Alabama,SEC,Away,2018-11-24T20:30:00.000Z,True,False,21,52,L,2,1,243.792
2018,1,401012676,BYU,FBS Independents,Arizona,Pac-12,Away,2018-09-02T02:45:00.000Z,True,False,28,23,W,80,68,-9.965
2018,1,401032062,BYU,FBS Independents,Western Michigan,Mid-American,Home,2018-12-21T21:00:00.000Z,True,False,49,18,W,97,99,-71.278
2018,2,401012735,BYU,FBS Independents,California,Pac-12,Home,2018-09-09T02:15:00.000Z,True,False,18,21,L,69,66,-7.994
2018,3,401013356,BYU,FBS Independents,Wisconsin,Big Ten,Away,2018-09-15T19:30:00.000Z,True,False,24,21,W,31,30,74.492
2018,5,401012755,BYU,FBS Independents,Washington,Pac-12,Away,2018-09-30T00:30:00.000Z,True,False,7,35,L,28,19,106.321
2018,6,401016407,BYU,FBS Independents,Utah State,Mountain West,Home,2018-10-06T01:00:00.000Z,True,False,20,45,L,3,32,69.025
2018,7,401016408,BYU,FBS Independents,Hawai'i,Mountain West,Home,2018-10-14T02:15:00.000Z,True,False,49,23,W,88,100,-78.652
