Season,Week,Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
2011,1,1,Florida,SEC,1,0,382.727,141.364,2,1.000,0.879,0.121,0.359,410.000,27.273,41,3,10,11,-141.364,65
2011,1,2,Michigan,Big Ten,1,0,360.714,180.357,1,1.000,0.863,0.137,0.406,485.714,125.000,34,10,7,8,-180.357,66
2011,1,3,Ohio State,Big Ten,1,0,323.077,107.692,6,1.000,0.857,0.143,0.425,323.077,0.000,42,0,13,12,-107.692,61
2011,1,4,Mississippi State,SEC,1,0,315.556,101.111,8,1.000,0.794,0.206,0.615,393.333,77.778,59,14,15,18,-101.111,59
2011,1,5,Florida State,ACC,1,0,309.091,127.273,3,1.000,0.882,0.118,0.350,309.091,0.000,34,0,11,11,-127.273,63
2011,1,6,Wisconsin,Big Ten,1,0,293.636,119.545,5,1.000,0.774,0.226,0.673,463.636,170.000,51,17,11,10,-119.545,62
2011,1,7,Texas A&M,Big 12,1,0,290.909,127.273,4,1.000,0.805,0.195,0.579,418.182,127.273,46,14,11,11,-127.273,64
2011,1,8,Alabama,SEC,1,0,243.464,83.497,14,1.000,0.786,0.214,0.637,282.353,38.889,48,7,17,18,-83.497,53
2011,1,9,Oklahoma,Big 12,1,0,235.714,100.000,9,1.000,0.779,0.221,0.658,335.714,100.000,47,14,14,14,-100.000,58
2011,1,10,West Virginia,Big East,1,0,215.278,107.639,7,1.000,0.760,0.240,0.715,377.778,162.500,34,13,9,8,-107.639,60
2011,1,11,Maryland,ACC,1,0,181.818,90.909,10,1.000,0.709,0.291,0.865,400.000,218.182,32,24,8,11,-90.909,57
2011,1,12,Texas,Big 12,1,0,179.720,89.860,11,1.000,0.771,0.229,0.682,261.538,81.818,34,9,13,11,-89.860,56
2011,1,13,Florida International,Sun Belt,1,0,173.333,86.667,12,1.000,0.755,0.245,0.731,273.333,100.000,41,16,15,16,-86.667,55
2011,1,14,South Carolina,SEC,1,0,168.750,84.375,13,1.000,0.694,0.306,0.912,400.000,231.250,56,37,14,16,-84.375,54
2011,1,15,Illinois,Big Ten,1,0,159.615,79.808,15,1.000,0.733,0.267,0.795,275.000,115.385,33,15,12,13,-79.808,52
2011,1,16,Northern Illinois,Mid-American,1,0,150.000,75.000,16,1.000,0.687,0.313,0.932,350.000,200.000,49,26,14,13,-75.000,51
2011,1,17,Pittsburgh,Big East,1,0,146.154,73.077,17,1.000,0.715,0.285,0.849,269.231,123.077,35,16,13,13,-73.077,50
2011,1,18,Clemson,ACC,1,0,134.191,67.096,18,1.000,0.704,0.296,0.882,252.941,118.750,43,19,17,16,-67.096,49
2011,1,19,Oklahoma State,Big 12,1,0,112.222,56.111,19,1.000,0.640,0.360,1.071,338.889,226.667,61,34,18,15,-56.111,48
2011,1,20,Boise State,Mountain West,1,0,100.000,50.000,20,1.000,0.650,0.350,1.042,250.000,150.000,35,21,14,14,-50.000,47
2011,1,21,Missouri,Big 12,1,0,91.667,45.833,21,1.000,0.683,0.317,0.945,141.667,50.000,17,6,12,12,-45.833,46
2011,1,22,Kentucky,SEC,1,0,78.571,39.286,22,1.000,0.678,0.322,0.960,100.000,21.429,14,3,14,14,-39.286,45
2011,1,23,LSU,SEC,1,0,78.022,39.011,23,1.000,0.606,0.394,1.172,285.714,207.692,40,27,14,13,-39.011,44
2011,1,24,Northwestern,Big Ten,1,0,69.231,34.615,24,1.000,0.615,0.385,1.147,200.000,130.769,24,17,12,13,-34.615,43
2011,1,25,Ball State,Mid-American,1,0,47.778,23.889,25,1.000,0.566,0.434,1.293,270.000,222.222,27,20,10,9,-23.889,42
2011,1,26,Houston,Conference USA,1,0,36.364,18.182,26,1.000,0.543,0.457,1.362,345.455,309.091,38,34,11,11,-18.182,41
2011,1,27,Colorado State,Mountain West,1,0,33.333,16.667,27,1.000,0.568,0.432,1.287,116.667,83.333,14,10,12,12,-16.667,40
2011,1,28,Purdue,Big Ten,1,0,32.857,16.429,29,1.000,0.554,0.446,1.329,192.857,160.000,27,24,14,15,-16.429,38
2011,1,28,Syracuse,Big East,1,0,32.857,16.429,28,1.000,0.548,0.452,1.347,240.000,207.143,36,29,15,14,-16.429,39
2011,1,30,South Florida,Big East,1,0,10.440,5.220,30,1.000,0.518,0.482,1.436,164.286,153.846,23,20,14,13,-5.220,37
2011,1,31,TCU,Mountain West,0,1,9.524,4.762,31,0.000,0.511,-0.511,-1.521,342.857,333.333,48,50,14,15,-4.762,36
2011,1,32,Ole Miss,SEC,0,1,2.727,1.364,32,0.000,0.505,-0.505,-1.504,130.000,127.273,13,14,10,11,-1.364,35
2011,1,33,USC,Pac-12,1,0,2.727,1.364,33,1.000,0.505,0.495,1.475,172.727,170.000,19,17,11,10,-1.364,34
2011,1,34,Minnesota,Big Ten,0,1,-2.727,-1.364,34,0.000,0.495,-0.495,-1.475,170.000,172.727,17,19,10,11,1.364,33
2011,1,35,BYU,FBS Independents,1,0,-2.727,-1.364,35,1.000,0.495,0.505,1.504,127.273,130.000,14,13,11,10,1.364,32
2011,1,36,Baylor,Big 12,1,0,-9.524,-4.762,36,1.000,0.489,0.511,1.521,333.333,342.857,50,48,15,14,4.762,31
2011,1,37,Notre Dame,FBS Independents,0,1,-10.440,-5.220,37,0.000,0.482,-0.482,-1.436,153.846,164.286,20,23,13,14,5.220,30
2011,1,38,Middle Tennessee,Sun Belt,0,1,-32.857,-16.429,38,0.000,0.446,-0.446,-1.329,160.000,192.857,24,27,15,14,16.429,29
2011,1,38,Wake Forest,ACC,0,1,-32.857,-16.429,39,0.000,0.452,-0.452,-1.347,207.143,240.000,29,36,14,15,16.429,28
2011,1,40,New Mexico,Mountain West,0,1,-33.333,-16.667,40,0.000,0.432,-0.432,-1.287,83.333,116.667,10,14,12,12,16.667,27
2011,1,41,UCLA,Pac-12,0,1,-36.364,-18.182,41,0.000,0.457,-0.457,-1.362,309.091,345.455,34,38,11,11,18.182,26
2011,1,42,Indiana,Big Ten,0,1,-47.778,-23.889,42,0.000,0.434,-0.434,-1.293,222.222,270.000,20,27,9,10,23.889,25
2011,1,43,Boston College,ACC,0,1,-69.231,-34.615,43,0.000,0.385,-0.385,-1.147,130.769,200.000,17,24,13,12,34.615,24
2011,1,44,Oregon,Pac-12,0,1,-78.022,-39.011,44,0.000,0.394,-0.394,-1.172,207.692,285.714,27,40,13,14,39.011,23
2011,1,45,Western Kentucky,Sun Belt,0,1,-78.571,-39.286,45,0.000,0.322,-0.322,-0.960,21.429,100.000,3,14,14,14,39.286,22
2011,1,46,Miami (OH),Mid-American,0,1,-91.667,-45.833,46,0.000,0.317,-0.317,-0.945,50.000,141.667,6,17,12,12,45.833,21
2011,1,47,Georgia,SEC,0,1,-100.000,-50.000,47,0.000,0.350,-0.350,-1.042,150.000,250.000,21,35,14,14,50.000,20
2011,1,48,Louisiana,Sun Belt,0,1,-112.222,-56.111,48,0.000,0.360,-0.360,-1.071,226.667,338.889,34,61,15,18,56.111,19
2011,1,49,Troy,Sun Belt,0,1,-134.191,-67.096,49,0.000,0.296,-0.296,-0.882,118.750,252.941,19,43,16,17,67.096,18
2011,1,50,Buffalo,Mid-American,0,1,-146.154,-73.077,50,0.000,0.285,-0.285,-0.849,123.077,269.231,16,35,13,13,73.077,17
2011,1,51,Army,FBS Independents,0,1,-150.000,-75.000,51,0.000,0.313,-0.313,-0.932,200.000,350.000,26,49,13,14,75.000,16
2011,1,52,Arkansas State,Sun Belt,0,1,-159.615,-79.808,52,0.000,0.267,-0.267,-0.795,115.385,275.000,15,33,13,12,79.808,15
2011,1,53,East Carolina,Conference USA,0,1,-168.750,-84.375,54,0.000,0.306,-0.306,-0.912,231.250,400.000,37,56,16,14,84.375,13
2011,1,54,North Texas,Sun Belt,0,1,-173.333,-86.667,55,0.000,0.245,-0.245,-0.731,100.000,273.333,16,41,16,15,86.667,12
2011,1,55,Rice,Conference USA,0,1,-179.720,-89.860,56,0.000,0.229,-0.229,-0.682,81.818,261.538,9,34,11,13,89.860,11
2011,1,56,Miami,ACC,0,1,-181.818,-90.909,57,0.000,0.291,-0.291,-0.865,218.182,400.000,24,32,11,8,90.909,10
2011,1,57,Marshall,Conference USA,0,1,-215.278,-107.639,60,0.000,0.240,-0.240,-0.715,162.500,377.778,13,34,8,9,107.639,7
2011,1,58,Tulsa,Conference USA,0,1,-235.714,-100.000,58,0.000,0.221,-0.221,-0.658,100.000,335.714,14,47,14,14,100.000,9
2011,1,59,Kent State,Mid-American,0,1,-243.464,-83.497,53,0.000,0.214,-0.214,-0.637,38.889,282.353,7,48,18,17,83.497,14
2011,1,60,SMU,Conference USA,0,1,-290.909,-127.273,64,0.000,0.195,-0.195,-0.579,127.273,418.182,14,46,11,11,127.273,4
2011,1,61,UNLV,Mountain West,0,1,-293.636,-119.545,62,0.000,0.226,-0.226,-0.673,170.000,463.636,17,51,10,11,119.545,5
2011,1,62,UL Monroe,Sun Belt,0,1,-309.091,-127.273,63,0.000,0.118,-0.118,-0.350,0.000,309.091,0,34,11,11,127.273,3
2011,1,63,Memphis,Conference USA,0,1,-315.556,-101.111,59,0.000,0.206,-0.206,-0.615,77.778,393.333,14,59,18,15,101.111,8
2011,1,64,Akron,Mid-American,0,1,-323.077,-107.692,61,0.000,0.143,-0.143,-0.425,0.000,323.077,0,42,12,13,107.692,6
2011,1,65,Western Michigan,Mid-American,0,1,-360.714,-180.357,66,0.000,0.137,-0.137,-0.406,125.000,485.714,10,34,8,7,180.357,1
2011,1,66,Florida Atlantic,Sun Belt,0,1,-382.727,-141.364,65,0.000,0.121,-0.121,-0.359,27.273,410.000,3,41,11,10,141.364,2
2011,2,1,Michigan State,Big Ten,1,0,440.000,132.273,11,1.000,0.896,0.104,0.256,440.000,0.000,44,0,10,11,-147.727,103
2011,2,2,Washington State,Pac-12,1,0,400.000,111.993,16,1.000,0.923,0.077,0.177,453.846,53.846,59,7,13,13,-103.392,95
2011,2,3,Florida,SEC,2,0,367.316,135.000,9,1.000,0.863,0.137,0.353,380.952,13.636,80,3,21,22,-133.636,101
2011,2,4,Wisconsin,Big Ten,2,0,332.251,135.699,7,1.000,0.801,0.199,0.534,409.524,77.273,86,17,21,22,-123.846,98
2011,2,5,Arkansas,SEC,1,0,321.667,110.000,17,1.000,0.922,0.078,0.180,346.667,25.000,52,3,15,12,-71.667,84
2011,2,5,Florida State,ACC,1,0,309.091,127.273,3,1.000,0.882,0.118,0.350,309.091,0.000,34,0,11,11,-127.273,63
2011,2,7,Texas A&M,Big 12,1,0,290.909,127.273,4,1.000,0.805,0.195,0.579,418.182,127.273,46,14,11,11,-127.273,64
2011,2,8,Stanford,Pac-12,1,0,283.333,132.576,10,1.000,0.810,0.190,0.508,400.000,116.667,44,14,11,12,-132.576,100
2011,2,9,Oklahoma,Big 12,1,0,235.714,100.000,9,1.000,0.779,0.221,0.658,335.714,100.000,47,14,14,14,-100.000,58
2011,2,10,UCF,Conference USA,1,0,222.727,125.408,14,1.000,0.957,0.043,0.077,250.000,27.273,30,3,12,11,-97.319,92
2011,2,10,West Virginia,Big East,1,0,215.278,107.639,7,1.000,0.760,0.240,0.715,377.778,162.500,34,13,9,8,-107.639,60
2011,2,11,Georgia Tech,ACC,1,0,217.424,82.002,25,1.000,0.680,0.320,0.887,408.333,190.909,49,21,12,11,-135.422,102
2011,2,11,Maryland,ACC,1,0,181.818,90.909,10,1.000,0.709,0.291,0.865,400.000,218.182,32,24,8,11,-90.909,57
2011,2,13,Alabama,SEC,2,0,198.621,105.554,18,1.000,0.767,0.233,0.634,258.621,60.000,75,18,29,30,-44.609,74
2011,2,15,Illinois,Big Ten,1,0,159.615,79.808,15,1.000,0.733,0.267,0.795,275.000,115.385,33,15,12,13,-79.808,52
2011,2,15,Ohio State,Big Ten,2,0,174.074,87.192,23,1.000,0.717,0.283,0.779,255.556,81.481,69,22,27,27,-43.596,73
2011,2,16,Navy,FBS Independents,1,0,173.333,127.078,13,1.000,0.778,0.222,0.600,266.667,93.333,40,14,15,15,-46.255,75
