Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Alabama,SEC,13,1,204.938,248.809,1,0.929,0.988,-0.060,-0.344,304.420,99.482,551,192,181,193,76.656,2
2,Michigan,Big Ten,10,3,203.621,180.110,3,0.769,0.930,-0.161,-1.054,311.905,108.284,524,183,168,169,48.241,29
3,Ohio State,Big Ten,11,2,186.319,169.717,5,0.846,0.932,-0.086,-0.527,301.176,114.857,512,201,170,175,62.601,14
4,Western Michigan,Mid-American,12,1,183.892,114.780,14,0.923,0.758,0.165,1.240,358.042,174.150,512,256,143,147,-39.483,96
5,Washington,Pac-12,11,2,177.103,194.221,2,0.846,0.921,-0.075,-0.449,323.810,146.707,544,245,168,167,57.302,18
6,Western Kentucky,Conference USA,10,3,143.860,54.685,39,0.769,0.637,0.132,1.006,343.275,199.415,587,341,171,171,-47.834,103
7,Louisville,ACC,9,4,135.776,94.852,19,0.692,0.755,-0.063,-0.364,291.053,155.276,553,309,190,199,9.323,65
8,Clemson,ACC,13,1,133.534,169.730,4,0.929,0.906,0.022,0.231,269.898,136.364,529,270,196,198,68.171,8
9,Oklahoma,Big 12,11,2,123.118,125.775,11,0.846,0.768,0.078,0.629,339.881,216.763,571,375,168,173,28.475,54
10,San Diego State,Mountain West,10,3,111.225,40.867,43,0.769,0.625,0.144,1.090,281.707,170.482,462,283,164,166,-51.743,110
11,Washington State,Pac-12,8,4,108.404,117.278,13,0.667,0.797,-0.130,-0.842,300.662,192.258,454,298,151,155,48.906,28
12,Wisconsin,Big Ten,11,3,107.426,147.019,8,0.786,0.891,-0.105,-0.662,234.911,127.485,397,218,169,171,53.984,23
13,LSU,SEC,7,4,101.740,156.007,6,0.636,0.918,-0.281,-1.903,228.358,126.619,306,176,134,139,68.669,7
14,Boise State,Mountain West,10,3,97.553,72.571,30,0.769,0.694,0.076,0.609,286.928,189.375,439,303,153,160,-16.657,76
15,Temple,American Athletic,9,4,97.516,64.551,35,0.692,0.685,0.008,0.130,257.764,160.248,415,258,161,161,-32.745,89
16,App State,Sun Belt,10,3,95.333,53.873,40,0.769,0.682,0.088,0.693,250.000,154.667,380,232,152,150,-51.027,108
17,Penn State,Big Ten,11,3,88.024,135.121,9,0.786,0.823,-0.037,-0.183,275.393,187.368,526,356,191,190,55.113,20
18,Auburn,SEC,7,5,88.008,108.178,15,0.583,0.815,-0.232,-1.555,245.455,157.447,351,222,143,141,61.944,15
19,Miami,ACC,8,4,85.411,121.271,12,0.667,0.843,-0.176,-1.165,237.975,152.564,376,238,158,156,41.111,34
20,South Florida,American Athletic,10,2,83.604,45.492,41,0.833,0.604,0.229,1.691,337.500,253.896,513,391,152,154,-22.814,82
21,USC,Pac-12,10,3,80.654,148.352,7,0.769,0.859,-0.090,-0.555,269.277,188.623,447,315,166,167,67.455,9
22,Virginia Tech,ACC,9,4,78.681,85.014,22,0.692,0.762,-0.070,-0.415,244.086,165.405,454,306,186,185,36.423,38
23,Louisiana Tech,Conference USA,8,5,78.358,7.457,63,0.615,0.516,0.099,0.774,358.861,280.503,567,446,158,159,-58.787,117
24,Tulsa,American Athletic,9,3,75.835,38.867,45,0.750,0.596,0.154,1.163,285.549,209.714,494,367,173,175,-40.631,97
25,Troy,Sun Belt,9,3,75.772,-19.307,75,0.750,0.439,0.311,2.268,264.583,188.811,381,270,144,143,-67.217,123
26,Kansas State,Big 12,8,4,72.775,73.317,29,0.667,0.700,-0.034,-0.162,264.828,192.053,384,290,145,151,25.959,59
27,Toledo,Mid-American,8,4,72.380,40.410,44,0.667,0.598,0.068,0.557,313.986,241.606,449,331,143,137,-28.457,87
28,Air Force,Mountain West,9,3,67.763,12.865,59,0.750,0.536,0.214,1.585,306.569,238.806,420,320,137,134,-55.678,115
29,BYU,FBS Independents,8,4,65.735,63.807,36,0.667,0.691,-0.024,-0.094,251.449,185.714,347,247,138,133,3.074,67
30,Memphis,American Athletic,7,5,65.391,4.544,66,0.583,0.512,0.071,0.575,279.762,214.371,470,358,168,167,-11.678,73
31,Oklahoma State,Big 12,9,3,64.455,94.926,18,0.750,0.739,0.011,0.152,270.552,206.098,441,338,163,164,28.665,53
32,Houston,American Athletic,8,4,60.536,19.093,54,0.667,0.556,0.111,0.858,246.512,185.976,424,305,172,164,-19.507,78
33,Florida,SEC,9,4,58.971,90.155,21,0.692,0.802,-0.110,-0.699,194.375,135.404,311,218,160,161,34.792,42
34,Colorado,Pac-12,9,4,56.776,106.775,16,0.692,0.834,-0.142,-0.921,232.515,175.740,379,297,163,169,82.923,1
35,Florida State,ACC,9,3,54.037,126.240,10,0.750,0.805,-0.055,-0.313,250.932,196.894,404,317,161,161,70.794,6
36,Iowa,Big Ten,8,4,54.000,90.382,20,0.667,0.772,-0.106,-0.667,202.000,148.000,303,222,150,150,41.513,33
37,Arkansas State,Sun Belt,8,4,51.155,-20.539,77,0.667,0.427,0.240,1.765,198.802,147.647,332,251,167,170,-60.559,119
38,Old Dominion,Conference USA,9,3,49.624,-40.141,83,0.750,0.398,0.352,2.551,300.000,250.376,402,333,134,133,-69.352,125
39,Navy,American Athletic,8,5,45.689,11.098,61,0.615,0.523,0.093,0.729,342.143,296.454,479,418,140,141,-13.546,74
40,West Virginia,Big 12,9,3,44.931,80.233,26,0.750,0.732,0.018,0.203,227.950,183.019,367,291,161,159,34.819,41
41,Stanford,Pac-12,10,3,43.492,98.376,17,0.769,0.799,-0.030,-0.133,217.834,174.342,342,265,157,152,54.732,21
42,Pittsburgh,ACC,7,5,41.981,83.363,24,0.583,0.669,-0.086,-0.530,316.981,275.000,504,451,159,164,44.046,32
43,Minnesota,Big Ten,8,4,40.233,76.900,27,0.667,0.738,-0.072,-0.429,198.160,157.927,323,259,163,164,40.825,35
44,Texas A&M,SEC,7,5,34.713,76.343,28,0.583,0.712,-0.128,-0.828,225.731,191.018,386,319,171,167,49.151,27
45,Tennessee,SEC,8,4,31.597,84.957,23,0.667,0.701,-0.034,-0.165,245.882,214.286,418,375,170,175,46.737,31
46,Utah,Pac-12,8,4,31.524,66.488,32,0.667,0.693,-0.026,-0.108,224.691,193.168,364,311,162,161,39.793,36
47,North Carolina,ACC,6,5,27.853,81.306,25,0.545,0.710,-0.164,-1.080,235.766,207.914,323,289,137,139,49.730,26
48,New Mexico,Mountain West,8,4,26.761,-42.484,85,0.667,0.408,0.259,1.899,300.000,273.239,429,388,143,142,-53.099,111
49,Georgia Tech,ACC,8,4,26.436,59.774,37,0.667,0.646,0.020,0.220,249.624,223.188,332,308,133,138,36.087,40
50,Notre Dame,FBS Independents,4,8,25.959,55.720,38,0.333,0.644,-0.311,-2.112,245.695,219.737,371,334,151,152,27.327,56
51,Northwestern,Big Ten,7,5,23.297,68.537,31,0.583,0.714,-0.130,-0.841,199.398,176.101,331,280,166,159,52.326,25
52,Ohio,Mid-American,7,6,20.231,-33.714,80,0.538,0.380,0.158,1.188,191.329,171.098,331,296,173,173,-55.488,114
53,Baylor,Big 12,6,6,19.855,32.580,46,0.500,0.592,-0.092,-0.575,233.728,213.873,395,370,169,173,15.087,63
54,Colorado State,Mountain West,6,6,19.126,18.455,55,0.500,0.548,-0.048,-0.262,290.141,271.014,412,374,142,138,-13.926,75
55,Nebraska,Big Ten,9,4,18.688,65.104,33,0.692,0.694,-0.002,0.062,214.286,195.597,345,311,161,159,31.685,46
56,UCF,American Athletic,5,7,18.058,7.105,65,0.417,0.524,-0.107,-0.680,207.407,189.349,336,320,162,169,-23.338,83
57,Army,FBS Independents,6,5,17.117,-52.685,88,0.545,0.344,0.201,1.493,240.541,223.423,267,248,111,111,-62.694,120
58,NC State,ACC,6,6,15.356,64.599,34,0.500,0.692,-0.192,-1.278,203.356,188.000,303,282,149,150,39.284,37
59,TCU,Big 12,5,7,15.072,25.722,52,0.417,0.586,-0.169,-1.114,208.485,193.413,344,323,165,167,26.755,57
60,Wyoming,Mountain West,7,6,8.084,7.552,62,0.538,0.520,0.018,0.204,272.619,264.535,458,455,168,172,0.104,69
61,Northern Illinois,Mid-American,5,6,3.229,-19.075,74,0.455,0.453,0.002,0.087,238.194,234.965,343,336,144,143,-32.960,90
62,UTSA,Conference USA,5,7,0.323,-44.956,86,0.417,0.359,0.058,0.485,255.797,255.474,353,350,138,137,-48.131,105
63,Middle Tennessee,Conference USA,7,5,-2.353,-76.422,100,0.583,0.330,0.253,1.856,271.176,273.529,461,465,170,170,-71.829,126
64,Georgia,SEC,7,5,-2.908,30.375,49,0.583,0.597,-0.014,-0.019,187.821,190.728,293,288,156,151,30.847,49
65,Texas,Big 12,5,7,-5.560,12.113,60,0.417,0.539,-0.122,-0.783,210.440,216.000,383,378,182,175,18.892,62
66,Southern Miss,Conference USA,6,6,-10.413,-73.744,97,0.500,0.303,0.197,1.461,219.527,229.940,371,384,169,167,-64.768,122
67,Miami (OH),Mid-American,6,6,-10.811,-63.644,93,0.500,0.313,0.187,1.394,189.189,200.000,280,288,148,144,-54.382,113
68,Indiana,Big Ten,6,7,-13.160,15.263,56,0.462,0.548,-0.086,-0.529,178.191,191.351,335,354,188,185,26.523,58
69,UCLA,Pac-12,4,8,-18.235,25.103,53,0.333,0.587,-0.254,-1.710,175.882,194.118,299,330,170,170,47.968,30
70,Louisiana,Sun Belt,5,7,-19.481,-68.179,95,0.417,0.292,0.124,0.950,179.870,199.351,277,307,154,154,-56.557,116
71,Vanderbilt,SEC,5,7,-21.530,7.109,64,0.417,0.525,-0.109,-0.689,172.549,194.079,264,295,153,152,33.120,45
72,Idaho,Sun Belt,8,4,-21.924,-33.725,81,0.667,0.411,0.256,1.877,290.076,312.000,380,390,131,125,-34.045,91
73,Wake Forest,ACC,6,6,-22.810,3.046,67,0.500,0.512,-0.012,-0.005,140.994,163.804,227,267,161,163,23.397,60
74,Mississippi State,SEC,5,7,-26.228,15.233,57,0.417,0.541,-0.124,-0.798,220.130,246.358,339,372,154,151,34.539,43
75,Ole Miss,SEC,4,7,-29.767,43.367,42,0.364,0.604,-0.240,-1.614,235.333,265.101,353,395,150,149,67.274,10
76,Texas Tech,Big 12,4,7,-33.113,1.599,68,0.364,0.503,-0.140,-0.907,301.325,334.437,455,505,151,151,30.882,48
77,Eastern Michigan,Mid-American,6,6,-33.374,-60.773,92,0.500,0.329,0.171,1.282,206.369,239.744,324,374,157,156,-34.888,94
78,South Alabama,Sun Belt,4,7,-35.479,-86.188,102,0.364,0.259,0.104,0.812,189.706,225.185,258,304,136,135,-46.748,102
79,Michigan State,Big Ten,2,9,-35.849,14.532,58,0.182,0.541,-0.359,-2.450,197.727,233.577,261,320,132,137,66.035,12
80,Iowa State,Big 12,3,8,-36.173,-17.676,73,0.273,0.452,-0.180,-1.188,227.737,263.910,312,351,137,133,29.575,51
81,Arkansas,SEC,6,6,-36.177,32.077,47,0.500,0.582,-0.082,-0.500,226.490,262.667,342,394,151,150,52.593,24
82,Georgia Southern,Sun Belt,4,7,-38.686,-64.897,94,0.364,0.321,0.043,0.379,193.431,232.117,265,318,137,137,-27.179,86
83,Kentucky,SEC,6,6,-40.021,-9.812,72,0.500,0.474,0.026,0.258,215.823,255.844,341,394,158,154,31.525,47
84,California,Pac-12,5,7,-43.800,29.439,50,0.417,0.564,-0.148,-0.963,269.697,313.497,445,511,165,163,56.538,19
85,Ball State,Mid-American,3,8,-44.444,-97.265,109,0.273,0.238,0.035,0.319,196.528,240.972,283,347,144,144,-50.895,107
86,Nevada,Mountain West,4,7,-50.590,-114.035,112,0.364,0.209,0.155,1.167,241.228,291.818,275,321,114,110,-73.556,127
87,Missouri,SEC,3,8,-50.955,-26.931,79,0.273,0.423,-0.150,-0.982,189.809,240.764,298,378,157,157,28.038,55
88,Boston College,ACC,6,6,-54.559,-3.444,70,0.500,0.485,0.015,0.179,129.651,184.211,223,315,172,171,10.914,64
89,Akron,Mid-American,4,7,-54.587,-77.232,101,0.364,0.301,0.062,0.516,210.448,265.035,282,379,134,143,-34.564,92
90,South Carolina,SEC,5,7,-56.494,-25.484,78,0.417,0.402,0.014,0.178,146.753,203.247,226,313,154,154,20.862,61
91,Maryland,Big Ten,5,7,-56.815,0.170,69,0.417,0.501,-0.084,-0.514,173.620,230.435,283,371,163,161,33.304,44
92,Oregon,Pac-12,3,8,-59.971,26.530,51,0.273,0.559,-0.287,-1.941,254.795,314.765,372,469,146,149,73.095,3
93,Arizona State,Pac-12,4,7,-61.370,-6.074,71,0.364,0.484,-0.120,-0.771,217.073,278.443,356,465,164,167,57.843,17
94,Tulane,American Athletic,3,8,-62.528,-90.411,106,0.273,0.207,0.066,0.537,144.805,207.333,223,311,154,150,-20.650,80
95,Oregon State,Pac-12,3,8,-63.091,31.311,48,0.273,0.587,-0.314,-2.137,189.726,252.817,277,359,146,142,70.829,4
96,Central Michigan,Mid-American,5,7,-69.653,-91.157,107,0.417,0.249,0.168,1.259,192.763,262.416,293,391,152,149,-20.412,79
97,Georgia State,Sun Belt,2,9,-69.698,-108.789,111,0.182,0.192,-0.010,0.005,150.725,220.423,208,313,138,142,-40.669,99
98,UNLV,Mountain West,3,8,-73.706,-121.922,114,0.273,0.227,0.046,0.398,219.444,293.151,316,428,144,146,-38.078,95
99,SMU,American Athletic,4,7,-74.454,-55.591,91,0.364,0.337,0.026,0.261,187.037,261.491,303,421,162,161,-7.656,71
100,Utah State,Mountain West,2,9,-75.362,-69.040,96,0.182,0.302,-0.120,-0.769,175.362,250.725,242,346,138,138,3.789,66
101,Cincinnati,American Athletic,3,8,-76.712,-90.274,104,0.273,0.207,0.066,0.542,139.726,216.438,204,316,146,146,-10.962,72
102,North Texas,Conference USA,4,8,-77.197,-132.433,121,0.333,0.163,0.171,1.277,180.128,257.325,281,404,156,157,-59.376,118
103,Florida International,Conference USA,4,8,-79.713,-132.291,120,0.333,0.165,0.168,1.258,188.235,267.949,288,418,153,156,-64.440,121
104,Hawai'i,Mountain West,6,7,-81.366,-76.109,99,0.462,0.298,0.163,1.224,220.497,301.863,355,486,161,161,-34.688,93
105,Duke,ACC,3,8,-83.039,-19.748,76,0.273,0.440,-0.168,-1.105,176.336,259.375,231,332,131,128,60.566,16
106,Virginia,ACC,2,9,-83.581,-47.226,87,0.182,0.355,-0.173,-1.140,163.399,246.980,250,368,153,149,29.233,52
107,Charlotte,Conference USA,3,8,-94.699,-117.125,113,0.273,0.183,0.090,0.709,191.729,286.429,255,401,133,140,-68.107,124
108,Kent State,Mid-American,2,8,-94.701,-90.309,105,0.200,0.272,-0.072,-0.430,160.000,254.701,184,298,115,117,-5.827,70
109,East Carolina,American Athletic,2,9,-106.012,-103.316,110,0.182,0.247,-0.065,-0.382,183.784,289.796,272,426,148,147,2.063,68
110,New Mexico State,Sun Belt,3,9,-106.460,-126.798,117,0.250,0.174,0.076,0.611,192.258,298.718,298,466,155,156,-51.426,109
111,Rice,Conference USA,2,9,-109.236,-143.272,123,0.182,0.134,0.048,0.412,161.905,271.141,238,404,147,149,-49.447,106
