Season,Week,Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
2022,1,1,USC,Pac-12,1,0,606.061,169.697,4,1.000,0.846,0.154,0.465,733.333,127.273,66,14,9,11,-169.697,96
2022,1,2,Georgia,SEC,1,0,511.111,155.556,5,1.000,0.881,0.119,0.353,544.444,33.333,49,3,9,9,-155.556,95
2022,1,3,Minnesota,Big Ten,1,0,475.000,244.015,1,1.000,0.966,0.034,0.082,475.000,0.000,38,0,8,8,-105.985,82
2022,1,4,Michigan,Big Ten,1,0,451.667,145.833,7,1.000,0.857,0.143,0.430,510.000,58.333,51,7,10,12,-145.833,91
2022,1,5,Alabama,SEC,1,0,423.077,169.780,3,1.000,1.000,0.000,-0.028,423.077,0.000,55,0,13,13,-45.604,65
2022,1,6,Vanderbilt,SEC,1,0,417.949,75.519,27,1.000,0.846,0.154,0.466,484.615,66.667,63,10,13,15,-150.122,93
2022,1,7,Texas,Big 12,1,0,395.804,134.266,11,1.000,0.834,0.166,0.506,472.727,76.923,52,10,11,13,-134.266,88
2022,1,8,Tennessee,SEC,1,0,344.505,97.253,21,1.000,0.779,0.221,0.680,421.429,76.923,59,10,14,13,-97.253,77
2022,1,9,SMU,American Athletic,1,0,302.564,181.503,2,1.000,0.917,0.083,0.237,369.231,66.667,48,10,13,15,-44.138,63
2022,1,10,TCU,Big 12,1,0,292.222,146.111,6,1.000,0.820,0.180,0.548,422.222,130.000,38,13,9,10,-146.111,92
2022,1,11,Oklahoma,Big 12,1,0,290.909,58.590,32,1.000,0.651,0.349,1.091,409.091,118.182,45,13,11,11,-195.956,97
2022,1,12,Washington,Pac-12,1,0,283.333,141.667,8,1.000,0.798,0.202,0.619,450.000,166.667,45,20,10,12,-141.667,90
2022,1,13,Tulane,American Athletic,1,0,281.818,122.727,12,1.000,0.806,0.194,0.594,381.818,100.000,42,10,11,10,-122.727,87
2022,1,14,BYU,FBS Independents,1,0,279.545,135.227,10,1.000,0.787,0.213,0.657,454.545,175.000,50,21,11,12,-135.227,89
2022,1,15,James Madison,Sun Belt,1,0,267.619,101.667,17,1.000,0.805,0.195,0.597,314.286,46.667,44,7,14,15,-101.667,81
2022,1,16,Western Kentucky,Conference USA,1,0,255.495,74.603,30,1.000,0.754,0.246,0.762,376.923,121.429,49,17,13,14,-150.122,93
2022,1,17,Duke,ACC,1,0,250.000,116.667,14,1.000,0.859,0.141,0.423,250.000,0.000,30,0,12,12,-116.667,84
2022,1,18,Kentucky,SEC,1,0,240.000,120.000,13,1.000,0.787,0.213,0.656,370.000,130.000,37,13,10,10,-120.000,86
2022,1,19,Syracuse,ACC,1,0,232.222,116.111,15,1.000,0.809,0.191,0.585,310.000,77.778,31,7,10,9,-116.111,83
2022,1,20,Clemson,ACC,1,0,221.429,100.000,18,1.000,0.787,0.213,0.655,292.857,71.429,41,10,14,14,-100.000,80
2022,1,21,UCLA,Pac-12,1,0,200.000,100.000,18,1.000,0.760,0.240,0.741,321.429,121.429,45,17,14,14,-100.000,79
2022,1,22,Missouri,SEC,1,0,196.667,98.333,20,1.000,0.744,0.256,0.794,346.667,150.000,52,24,15,16,-98.333,78
