Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Alabama,SEC,13,0,258.462,283.159,1,1.000,0.956,0.044,0.426,420.000,161.538,630,252,150,156,79.879,5
2,BYU,FBS Independents,10,1,231.742,157.602,5,0.909,0.857,0.052,0.477,367.742,136.000,456,170,124,125,-24.071,91
3,Buffalo,Mid-American,6,1,173.488,153.223,6,0.857,0.837,0.020,0.263,353.488,180.000,304,153,86,85,6.251,65
4,Clemson,ACC,9,2,151.912,149.449,8,0.818,0.844,-0.026,-0.044,313.245,161.333,473,242,151,150,34.964,40
5,Cincinnati,American Athletic,8,1,149.565,136.685,11,0.889,0.866,0.023,0.285,278.261,128.696,320,148,115,115,2.545,70
6,Oklahoma,Big 12,8,2,146.360,168.240,4,0.800,0.868,-0.068,-0.330,319.549,173.188,425,239,133,138,51.196,22
7,Coastal Carolina,Sun Belt,10,1,144.800,110.171,16,0.909,0.763,0.146,1.115,322.400,177.600,403,222,125,125,-11.857,82
8,Arizona State,Pac-12,2,2,143.154,66.076,27,0.500,0.693,-0.193,-1.171,322.000,178.846,161,93,50,52,1.933,73
9,Ohio,Mid-American,2,1,135.917,36.001,47,0.667,0.605,0.062,0.546,271.053,135.135,103,50,38,37,-65.970,117
10,Liberty,FBS Independents,8,1,134.457,10.095,60,0.889,0.525,0.364,2.586,324.272,189.815,334,205,103,108,-96.164,124
11,Ohio State,Big Ten,7,1,127.229,187.626,2,0.875,0.862,0.013,0.215,321.569,194.340,328,206,102,106,79.179,6
12,Notre Dame,ACC,10,2,124.383,107.178,18,0.833,0.789,0.045,0.430,290.580,166.197,401,236,138,142,18.348,53
13,Iowa,Big Ten,6,2,122.326,119.833,13,0.750,0.831,-0.081,-0.420,244.231,121.905,254,128,104,105,14.353,57
14,Texas,Big 12,7,3,107.631,107.667,17,0.700,0.757,-0.057,-0.259,302.837,195.205,427,285,141,146,29.332,43
