Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Florida State,ACC,13,0,305.032,216.940,1,1.000,0.953,0.047,0.377,398.214,93.182,669,164,168,176,15.882,61
2,Louisville,American Athletic,11,1,195.707,106.757,23,0.917,0.801,0.116,0.800,305.926,110.219,413,151,135,137,-48.426,98
3,Alabama,SEC,10,2,193.591,208.820,2,0.833,0.946,-0.113,-0.613,319.286,125.694,447,181,140,144,43.800,37
4,Baylor,Big 12,10,2,168.634,141.845,11,0.833,0.845,-0.012,0.012,327.273,158.639,612,303,187,191,35.466,44
5,Oregon,Pac-12,10,2,167.653,179.013,3,0.833,0.883,-0.050,-0.225,326.087,158.434,525,263,161,166,61.172,15
6,Ohio State,Big Ten,11,2,152.426,144.009,9,0.846,0.813,0.033,0.287,340.000,187.574,561,317,165,169,26.523,54
7,Bowling Green,Mid-American,9,4,138.170,29.970,49,0.692,0.593,0.099,0.697,279.618,141.447,439,215,157,152,-68.812,117
8,East Carolina,Conference USA,9,3,128.319,33.808,48,0.750,0.583,0.167,1.112,309.211,180.892,470,284,152,157,-68.772,116
9,Wisconsin,Big Ten,8,4,127.113,131.495,15,0.667,0.874,-0.207,-1.194,261.290,134.177,405,212,155,158,30.596,48
10,Northern Illinois,Mid-American,11,2,117.291,26.564,51,0.846,0.570,0.276,1.788,292.571,175.281,512,312,175,178,-79.244,119
11,Marshall,Conference USA,9,4,116.608,6.122,61,0.692,0.516,0.176,1.171,293.956,177.348,535,321,182,181,-79.619,121
12,Michigan State,Big Ten,12,1,111.905,126.397,16,0.923,0.907,0.016,0.180,211.905,100.000,356,168,168,168,18.707,60
13,Stanford,Pac-12,11,3,110.714,163.827,6,0.786,0.897,-0.111,-0.602,269.048,158.333,452,266,168,168,74.954,9
14,Missouri,SEC,11,2,106.428,171.094,4,0.846,0.901,-0.055,-0.254,275.281,168.852,490,309,178,183,60.928,17
15,LSU,SEC,9,3,103.613,143.335,10,0.750,0.824,-0.074,-0.375,297.857,194.245,417,270,140,139,55.184,25
16,UCLA,Pac-12,10,3,102.457,140.691,12,0.769,0.834,-0.065,-0.316,277.457,175.000,480,301,173,172,55.358,24
17,North Texas,Conference USA,9,4,99.139,2.176,65,0.692,0.508,0.184,1.220,227.473,128.333,414,231,182,180,-79.378,120
18,UCF,American Athletic,12,1,95.028,55.235,36,0.923,0.642,0.281,1.816,276.074,181.046,450,277,163,153,-20.626,74
19,South Carolina,SEC,10,2,93.901,149.594,7,0.833,0.844,-0.011,0.017,270.290,176.389,373,254,138,144,60.540,18
20,Clemson,ACC,9,2,91.502,110.510,22,0.818,0.804,0.014,0.170,259.627,168.125,418,269,161,160,54.685,29
21,Texas A&M,SEC,8,4,91.151,123.750,18,0.667,0.752,-0.086,-0.445,335.526,244.375,510,391,152,160,56.847,21
22,Oklahoma State,Big 12,9,3,91.128,139.455,13,0.750,0.858,-0.108,-0.581,241.398,150.270,449,278,186,185,54.334,31
23,Kansas State,Big 12,8,4,90.107,112.754,21,0.667,0.773,-0.106,-0.570,274.000,183.893,411,274,150,149,28.166,52
24,Oklahoma,Big 12,11,2,89.393,125.655,17,0.846,0.810,0.036,0.304,257.229,167.836,427,287,166,171,43.637,38
25,Fresno State,Mountain West,10,2,88.000,18.516,54,0.833,0.549,0.284,1.838,298.857,210.857,523,369,175,175,-48.910,100
26,Ball State,Mid-American,9,3,84.907,-21.199,75,0.750,0.443,0.307,1.975,272.727,187.821,450,293,165,156,-93.342,125
27,Washington,Pac-12,8,4,82.761,137.458,14,0.667,0.859,-0.193,-1.104,261.677,178.916,437,297,167,166,73.345,10
28,Auburn,SEC,11,2,82.306,164.664,5,0.846,0.861,-0.015,-0.006,280.571,198.266,491,343,175,173,82.247,6
29,Utah State,Mountain West,8,5,81.011,50.908,39,0.615,0.708,-0.093,-0.488,208.333,127.322,375,233,180,183,-23.779,78
30,Arizona State,Pac-12,9,4,65.391,147.125,8,0.692,0.832,-0.140,-0.778,273.770,208.380,501,373,183,179,99.846,3
31,USC,Pac-12,10,4,61.361,115.177,20,0.714,0.831,-0.116,-0.632,223.656,162.295,416,297,186,183,55.081,27
32,Arizona,Pac-12,7,5,58.688,116.204,19,0.583,0.808,-0.224,-1.299,248.447,189.759,400,315,161,166,55.131,26
33,Boise State,Mountain West,7,5,57.947,8.876,60,0.583,0.526,0.057,0.437,256.024,198.077,425,309,166,156,-28.518,82
34,Cincinnati,American Athletic,8,4,57.599,-2.296,68,0.667,0.493,0.173,1.153,227.922,170.323,351,264,154,155,-48.456,99
35,Houston,American Athletic,7,5,54.761,42.938,46,0.583,0.646,-0.062,-0.300,207.303,152.542,369,270,178,177,-11.718,71
36,Iowa,Big Ten,7,5,52.484,76.938,27,0.583,0.760,-0.176,-1.002,197.484,145.000,314,232,159,160,37.349,41
37,Navy,FBS Independents,8,4,50.122,13.077,58,0.667,0.533,0.134,0.911,296.154,246.032,385,310,130,126,-33.852,86
38,Michigan,Big Ten,7,6,47.354,70.371,31,0.538,0.685,-0.146,-0.817,247.929,200.575,419,349,169,174,30.257,49
39,Ole Miss,SEC,7,5,47.082,93.144,25,0.583,0.774,-0.190,-1.090,236.184,189.103,359,295,152,156,66.143,13
40,Buffalo,Mid-American,7,5,46.792,-2.090,67,0.583,0.493,0.090,0.641,227.160,180.368,368,294,162,163,-65.066,113
41,Notre Dame,FBS Independents,9,4,41.849,73.758,29,0.692,0.714,-0.022,-0.051,228.387,186.538,354,291,155,156,32.534,46
42,North Carolina,ACC,6,6,39.240,49.627,40,0.500,0.649,-0.149,-0.835,225.490,186.250,345,298,153,160,20.533,57
43,Nebraska,Big Ten,8,4,37.011,39.084,47,0.667,0.626,0.041,0.338,213.174,176.163,356,303,167,172,12.113,62
44,South Alabama,Sun Belt,6,5,36.364,-32.363,78,0.545,0.407,0.139,0.940,232.168,195.804,332,280,143,143,-62.843,111
45,Florida Atlantic,Conference USA,6,6,34.598,-32.348,77,0.500,0.383,0.117,0.806,194.479,159.880,317,267,163,167,-60.191,110
46,Rice,Conference USA,10,4,33.918,-24.757,76,0.714,0.423,0.291,1.880,213.918,180.000,415,342,194,190,-50.630,102
47,BYU,FBS Independents,7,5,33.619,72.984,30,0.583,0.731,-0.147,-0.823,185.000,151.381,333,274,180,181,39.317,40
48,Toledo,Mid-American,6,5,32.634,-10.310,70,0.545,0.474,0.071,0.522,272.932,240.299,363,322,133,134,-30.006,83
49,Western Kentucky,Sun Belt,7,4,32.242,-33.525,79,0.636,0.402,0.234,1.528,238.168,205.926,312,278,131,135,-66.145,115
50,Colorado State,Mountain West,7,6,32.079,-15.935,73,0.538,0.456,0.082,0.590,254.301,222.222,473,400,186,180,-43.834,96
