Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,ORtg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
1,Alabama,SEC,12,1,242.515,335.173,1,0.923,0.963,-0.040,0.012,332.515,90,542,153,163,170,37.760,1.382
2,Oregon,Pac-12,11,1,199.654,260.233,3,0.917,0.895,0.022,0.660,346.774,147.1204188,645,281,186,191,35.611,1.303
3,Florida State,ACC,10,2,190.386,153.821,11,0.833,0.925,-0.091,-0.526,300.546,110.1604278,550,206,183,187,22.074,0.808
4,Texas A&M,SEC,9,2,178.824,316.322,2,0.818,0.870,-0.052,-0.108,336.047,157.2222222,578,283,172,180,48.328,1.769
5,Northern Illinois,Mid-American,11,2,161.418,59.936,32,0.846,0.834,0.012,0.564,339.623,178.2051282,540,278,159,156,10.145,0.371
6,Utah State,Western Athletic,10,2,152.282,102.052,19,0.833,0.884,-0.051,-0.102,273.494,121.2121212,454,200,166,165,18.309,0.670
7,Kansas State,Big 12,10,2,143.528,191.571,5,0.833,0.810,0.023,0.675,325.806,182.278481,505,288,155,158,36.466,1.335
8,Georgia,SEC,11,2,133.534,175.059,7,0.846,0.833,0.013,0.569,281.383,147.8494624,529,275,188,186,35.817,1.311
9,Boise State,Mountain West,11,2,122.975,26.270,52,0.846,0.840,0.006,0.497,253.548,130.5732484,393,205,155,157,5.836,0.214
10,Notre Dame,FBS Independents,12,1,116.335,163.200,10,0.923,0.861,0.062,1.088,224.832,108.496732,335,166,149,153,38.327,1.403
11,Clemson,ACC,10,2,115.031,98.538,20,0.833,0.775,0.058,1.043,294.475,179.4444444,533,323,181,180,23.404,0.857
12,Oklahoma State,Big 12,7,5,114.829,124.519,14,0.583,0.757,-0.174,-1.390,314.286,199.4565217,594,367,189,184,29.627,1.084
13,BYU,FBS Independents,7,5,113.042,174.516,8,0.583,0.856,-0.272,-2.423,222.024,108.9820359,373,182,168,167,42.179,1.544
14,South Carolina,SEC,10,2,111.738,141.478,12,0.833,0.807,0.026,0.708,256.250,144.5121951,410,237,160,164,34.593,1.266
15,Ohio State,Big Ten,12,0,110.652,66.211,30,1.000,0.780,0.220,2.745,278.750,168.0981595,446,274,160,163,16.348,0.598
16,North Carolina,ACC,7,4,107.831,-2.064,72,0.636,0.759,-0.122,-0.850,293.373,185.5421687,487,308,166,166,-0.523,-0.019
17,UCF,Conference USA,10,4,106.857,46.708,39,0.714,0.766,-0.051,-0.104,283.429,176.5714286,496,309,175,175,11.942,0.437
18,Arizona State,Pac-12,7,5,105.999,81.777,23,0.583,0.777,-0.194,-1.598,269.730,163.7305699,499,316,185,193,21.078,0.771
19,Oklahoma,Big 12,9,3,105.008,174.303,9,0.750,0.750,0.000,0.433,295.238,190.2298851,496,331,168,174,45.350,1.660
20,San Jos̩ State,Western Athletic,10,2,104.152,106.944,18,0.833,0.783,0.051,0.966,259.770,155.6179775,452,277,174,178,28.053,1.027
21,Cincinnati,Big East,8,3,103.346,32.876,47,0.727,0.795,-0.068,-0.276,247.059,143.7125749,420,240,170,167,8.691,0.318
22,LSU,SEC,9,3,100.071,182.817,6,0.750,0.806,-0.056,-0.155,230.357,130.2857143,387,228,168,175,49.912,1.827
23,Fresno State,Mountain West,8,4,97.796,92.421,21,0.667,0.768,-0.102,-0.633,256.771,158.974359,493,310,192,195,25.819,0.945
24,Oregon State,Pac-12,8,4,90.831,133.157,13,0.667,0.763,-0.096,-0.578,243.103,152.2727273,423,268,174,176,40.052,1.466
25,Florida,SEC,10,2,88.488,201.534,4,0.833,0.803,0.031,0.755,205.988,117.5,344,188,167,160,62.224,2.278
26,Arkansas State,Sun Belt,9,3,87.342,73.824,28,0.750,0.712,0.038,0.831,287.342,200,454,318,158,159,23.093,0.845
27,Wisconsin,Big Ten,7,6,85.914,110.700,17,0.538,0.763,-0.225,-1.923,230.000,144.0860215,414,268,180,186,35.203,1.288
28,Louisiana Tech,Western Athletic,9,3,83.635,75.705,27,0.750,0.665,0.085,1.328,349.153,265.5172414,618,462,177,174,24.731,0.905
29,Stanford,Pac-12,12,2,82.136,112.192,16,0.857,0.772,0.086,1.332,213.115,130.9782609,390,241,183,184,37.318,1.366
30,Vanderbilt,SEC,8,4,81.197,66.879,29,0.667,0.755,-0.088,-0.492,224.138,142.9411765,390,243,174,170,22.503,0.824
31,Penn State,Big Ten,8,4,78.431,53.013,34,0.667,0.741,-0.075,-0.351,228.105,149.6732026,349,229,153,153,18.467,0.676
32,Michigan,Big Ten,8,5,73.979,121.468,15,0.615,0.709,-0.093,-0.546,247.134,173.1543624,388,258,157,149,44.859,1.642
33,Northwestern,Big Ten,9,3,73.191,44.764,40,0.750,0.704,0.046,0.915,249.697,176.5060241,412,293,165,166,16.710,0.612
34,Tulsa,Conference USA,10,3,71.959,33.601,46,0.769,0.718,0.051,0.967,230.332,158.3732057,486,331,211,209,12.758,0.467
35,Louisville,Big East,10,2,67.093,50.428,35,0.833,0.674,0.160,2.108,266.447,199.3548387,405,309,152,155,20.535,0.752
36,Kent State,Mid-American,10,3,66.112,40.756,43,0.769,0.685,0.084,1.318,247.594,181.4814815,463,343,187,189,16.842,0.616
37,San Diego State,Mountain West,8,4,65.455,43.791,41,0.667,0.671,-0.005,0.386,263.580,198.125,427,317,162,160,18.278,0.669
38,USC,Pac-12,7,6,59.783,77.438,26,0.538,0.670,-0.131,-0.946,242.442,182.6589595,417,316,172,173,35.389,1.295
39,Baylor,Big 12,7,5,59.150,77.891,24,0.583,0.622,-0.039,0.024,326.554,267.4033149,578,484,177,181,35.977,1.317
40,Texas,Big 12,9,4,59.103,63.955,31,0.692,0.637,0.055,1.015,293.671,234.5679012,464,380,158,162,29.564,1.082
41,Rutgers,Big East,8,4,59.095,26.223,53,0.667,0.750,-0.084,-0.443,166.071,106.9767442,279,184,168,172,12.123,0.444
42,Georgia Tech,ACC,6,7,58.533,77.571,25,0.462,0.643,-0.181,-1.467,279.762,221.2290503,470,396,168,179,36.207,1.325
43,Ohio,Mid-American,8,4,56.661,12.460,62,0.667,0.638,0.029,0.739,280.272,223.6111111,412,322,147,144,6.008,0.220
44,UCLA,Pac-12,9,5,54.527,46.763,38,0.643,0.655,-0.012,0.306,241.000,186.47343,482,386,200,207,23.431,0.858
45,Nebraska,Big Ten,9,4,53.520,85.643,22,0.692,0.647,0.045,0.908,248.469,194.9494949,487,386,196,198,43.719,1.600
46,Louisiana,Sun Belt,8,4,52.402,27.435,51,0.667,0.628,0.039,0.841,277.711,225.308642,461,365,166,162,14.304,0.524
47,TCU,Big 12,6,6,46.380,54.331,33,0.500,0.655,-0.155,-1.198,204.444,158.0645161,368,294,180,186,32.005,1.171
48,Bowling Green,Mid-American,7,5,45.510,24.190,55,0.583,0.683,-0.100,-0.611,172.254,126.744186,298,218,173,172,14.522,0.532
49,Pittsburgh,Big East,5,6,45.021,40.860,42,0.455,0.638,-0.184,-1.493,221.795,176.7741935,346,274,156,155,24.796,0.908
50,UL Monroe,Sun Belt,8,5,42.049,7.907,65,0.615,0.596,0.019,0.635,291.391,249.3421053,440,379,151,152,5.137,0.188
51,SMU,Conference USA,6,6,37.750,39.322,44,0.500,0.610,-0.110,-0.719,230.814,193.0635838,397,334,172,173,28.459,1.042
