Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,ORtg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
1,Ohio State,Big Ten,14,2,216.873,499.653,1,0.875,0.932,-0.057,-0.052,333.918,117.045,571,206,171,176,62.360,2.304
2,Indiana,Big Ten,10,2,212.317,172.094,9,0.833,0.909,-0.075,-0.232,353.289,140.972,537,203,152,144,21.939,0.811
3,Ole Miss,SEC,9,3,194.444,111.625,16,0.750,0.922,-0.172,-1.192,309.877,115.432,502,187,162,162,15.538,0.574
4,Notre Dame,FBS Independents,14,2,181.793,386.883,2,0.875,0.895,-0.020,0.318,315.847,134.054,578,248,183,185,57.603,2.128
5,Army,American Athletic,11,2,163.421,114.945,15,0.846,0.837,0.009,0.603,339.844,176.423,435,217,128,123,19.038,0.703
6,Miami,ACC,9,3,157.879,88.911,22,0.750,0.790,-0.040,0.115,383.221,225.342,571,329,149,146,15.243,0.563
7,Penn State,Big Ten,13,3,152.822,272.773,3,0.813,0.855,-0.042,0.099,301.136,148.315,530,264,176,178,48.312,1.785
8,Tennessee,SEC,9,3,151.178,180.914,7,0.750,0.877,-0.127,-0.745,277.844,126.667,464,209,167,165,32.391,1.197
9,Texas,SEC,13,3,146.632,189.546,6,0.813,0.872,-0.060,-0.076,273.575,126.943,528,245,193,193,34.989,1.293
10,Tulane,American Athletic,8,5,143.680,128.508,14,0.615,0.817,-0.202,-1.490,318.831,175.152,491,289,154,165,24.209,0.894
11,Alabama,SEC,8,4,140.112,178.336,8,0.667,0.850,-0.184,-1.310,279.618,139.506,439,226,157,162,34.451,1.273
12,Oregon,Big Ten,12,1,132.559,221.779,4,0.923,0.804,0.119,1.696,306.918,174.359,488,272,159,156,45.285,1.673
13,Boise State,Mountain West,11,2,127.562,139.562,12,0.846,0.781,0.065,1.166,320.245,192.683,522,316,163,164,29.613,1.094
14,SMU,ACC,10,3,121.282,138.735,13,0.769,0.793,-0.024,0.282,292.000,170.718,511,309,175,181,30.962,1.144
15,UNLV,Mountain West,10,3,117.505,62.635,33,0.769,0.788,-0.019,0.331,287.791,170.286,495,298,172,175,14.428,0.533
16,Louisville,ACC,8,4,110.937,169.635,10,0.667,0.754,-0.087,-0.347,307.792,196.855,474,313,154,159,41.388,1.529
17,BYU,Big 12,10,2,110.919,85.862,23,0.833,0.776,0.057,1.086,283.217,172.297,405,255,143,148,20.952,0.774
18,Arizona State,Big 12,11,3,109.396,100.532,19,0.786,0.749,0.037,0.886,309.396,200.000,461,316,149,158,24.874,0.919
19,South Carolina,SEC,8,4,104.165,156.703,11,0.667,0.789,-0.123,-0.702,253.846,149.682,396,235,156,157,40.719,1.504
20,Texas State,Sun Belt,7,5,103.315,38.546,44,0.583,0.733,-0.150,-0.974,310.458,207.143,475,319,153,154,10.098,0.373
21,James Madison,Sun Belt,8,4,100.590,-17.523,92,0.667,0.763,-0.097,-0.444,268.944,168.354,433,266,161,158,-4.715,-0.174
22,Memphis,American Athletic,10,2,97.436,20.628,62,0.833,0.730,0.104,1.548,297.436,200.000,464,310,156,155,5.730,0.212
23,Ohio,Mid-American,10,3,94.545,37.185,47,0.769,0.768,0.001,0.529,248.485,153.939,410,254,165,165,10.646,0.393
24,Minnesota,Big Ten,7,5,89.411,70.099,29,0.583,0.761,-0.178,-1.250,241.135,151.724,340,220,141,145,21.221,0.784
25,Navy,American Athletic,9,3,87.987,108.709,18,0.750,0.724,0.026,0.776,275.000,187.013,407,288,148,154,33.441,1.236
26,Colorado,Big 12,8,4,86.256,49.708,38,0.667,0.718,-0.052,0.003,276.129,189.873,428,300,155,158,15.598,0.576
27,Clemson,ACC,9,4,85.145,91.542,21,0.692,0.719,-0.027,0.249,271.508,186.364,486,328,179,176,29.101,1.075
28,South Alabama,Sun Belt,6,6,84.464,31.702,51,0.500,0.700,-0.200,-1.470,294.079,209.615,447,327,152,156,10.159,0.375
29,Georgia,SEC,10,3,84.401,204.656,5,0.769,0.729,0.040,0.913,257.895,173.494,441,288,171,166,65.632,2.425
30,Jacksonville State,Conference USA,9,5,83.176,23.901,60,0.643,0.696,-0.053,-0.013,294.737,211.561,504,366,171,173,7.778,0.287
31,Iowa,Big Ten,7,5,80.624,69.249,30,0.583,0.744,-0.160,-1.079,232.258,151.634,360,232,155,153,23.248,0.859
32,Marshall,Sun Belt,9,3,76.523,54.910,36,0.750,0.698,0.052,1.034,268.831,192.308,414,300,154,156,19.422,0.718
33,Missouri,SEC,9,3,74.275,79.076,25,0.750,0.702,0.048,0.992,255.782,181.507,376,265,147,146,28.816,1.065
34,TCU,Big 12,8,4,71.495,28.272,53,0.667,0.676,-0.009,0.424,280.645,209.150,435,320,155,153,10.703,0.395
35,Texas A&M,SEC,7,5,67.176,111.009,17,0.583,0.682,-0.099,-0.469,254.839,187.662,395,289,155,154,44.728,1.653
36,UConn,FBS Independents,8,4,66.474,-9.081,87,0.667,0.692,-0.026,0.261,239.884,173.410,415,300,173,173,-3.697,-0.137
37,Kansas State,Big 12,8,4,64.261,65.730,32,0.667,0.670,-0.003,0.482,260.390,196.129,401,304,154,155,27.686,1.023
38,Iowa State,Big 12,10,3,64.257,56.052,35,0.769,0.668,0.101,1.524,263.636,199.379,435,321,165,161,23.611,0.872
39,Illinois,Big Ten,9,3,63.789,73.644,28,0.750,0.665,0.085,1.366,266.667,202.878,368,282,138,139,31.249,1.154
40,LSU,SEC,8,4,63.410,96.362,20,0.667,0.657,0.010,0.612,276.923,213.514,396,316,143,148,41.133,1.520
41,Washington State,Pac-12,7,5,62.190,12.310,67,0.583,0.635,-0.052,0.003,313.158,250.968,476,389,152,155,5.358,0.198
42,Bowling Green,Mid-American,6,6,55.003,24.295,59,0.500,0.656,-0.156,-1.038,241.096,186.093,352,281,146,151,11.955,0.442
43,Louisiana,Sun Belt,9,4,54.936,27.072,55,0.692,0.631,0.062,1.128,284.868,229.932,433,338,152,147,13.338,0.493
44,Auburn,SEC,4,7,50.634,46.151,40,0.364,0.651,-0.287,-2.338,229.655,179.021,333,256,145,143,24.671,0.911
45,USC,Big Ten,7,6,49.536,58.022,34,0.538,0.629,-0.091,-0.387,259.603,210.067,392,313,151,149,31.704,1.171
46,Arkansas,SEC,6,6,49.045,78.517,26,0.500,0.630,-0.130,-0.774,256.051,207.006,402,325,157,157,43.332,1.601
47,Northern Illinois,Mid-American,7,5,48.590,26.453,57,0.583,0.661,-0.078,-0.257,207.143,158.553,319,241,154,152,14.735,0.544
48,Liberty,Conference USA,7,4,46.773,1.920,75,0.636,0.628,0.009,0.603,248.201,201.429,345,282,139,140,1.111,0.041
49,Nebraska,Big Ten,6,6,45.661,74.106,27,0.500,0.641,-0.141,-0.888,220.144,174.483,306,253,139,145,43.928,1.623
50,Baylor,Big 12,7,5,44.754,36.622,48,0.583,0.608,-0.025,0.270,277.640,232.886,447,347,161,149,22.149,0.818
51,Toledo,Mid-American,7,5,44.332,18.116,64,0.583,0.635,-0.052,0.002,223.030,178.698,368,302,165,169,11.061,0.409
52,Vanderbilt,SEC,6,6,44.258,68.693,31,0.500,0.613,-0.113,-0.609,262.963,218.705,355,304,135,139,42.011,1.552
53,Pittsburgh,ACC,6,6,40.773,37.303,46,0.500,0.606,-0.106,-0.537,257.831,217.059,428,369,166,170,24.764,0.915
