Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,ORtg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
1,Alabama,SEC,13,1,232.981,443.457,1,0.929,0.917,0.012,0.660,377.901,144.9197861,684,271,181,187,51.977,1.903
2,Clemson,ACC,14,0,231.925,332.463,2,1.000,0.956,0.044,1.023,327.094,95.16908213,664,197,203,207,39.145,1.433
3,Utah State,Mountain West,10,2,184.313,39.231,45,0.833,0.881,-0.048,-0.030,334.054,149.7409326,618,289,185,193,5.812,0.213
4,App State,Sun Belt,10,2,179.311,52.678,35,0.833,0.909,-0.076,-0.352,297.546,118.2352941,485,201,163,170,8.022,0.294
5,Georgia,SEC,10,3,168.303,276.161,3,0.769,0.853,-0.084,-0.438,333.333,165.0306748,530,269,159,163,44.807,1.641
6,Fresno State,Mountain West,11,2,165.907,87.094,20,0.846,0.907,-0.061,-0.181,277.143,111.2359551,485,198,175,178,14.335,0.525
7,Army,FBS Independents,9,2,163.802,99.609,18,0.818,0.832,-0.014,0.361,346.341,182.5396825,426,230,123,126,16.606,0.608
8,UCF,American Athletic,11,1,153.756,104.544,17,0.917,0.825,0.092,1.572,332.544,178.7878788,562,295,169,165,18.567,0.680
9,Ohio,Mid-American,8,4,133.089,39.172,46,0.667,0.783,-0.116,-0.810,331.847,198.757764,521,320,157,161,8.037,0.294
10,Cincinnati,American Athletic,10,2,132.184,77.258,22,0.833,0.854,-0.021,0.285,260.920,128.7356322,454,224,174,174,15.960,0.584
11,Michigan,Big Ten,10,3,131.202,134.052,12,0.769,0.813,-0.044,0.016,294.839,163.6363636,457,252,155,154,27.900,1.022
12,Ohio State,Big Ten,13,1,127.636,66.558,26,0.929,0.791,0.137,2.097,308.854,181.2182741,593,357,192,197,14.240,0.521
13,Mississippi State,SEC,7,5,126.110,226.677,4,0.583,0.867,-0.283,-2.728,239.355,113.2450331,371,171,155,151,49.084,1.797
14,Oklahoma,Big 12,12,2,123.934,158.135,10,0.857,0.715,0.142,2.155,402.976,279.0419162,677,466,168,167,34.843,1.276
15,Washington State,Pac-12,10,2,121.845,64.612,28,0.833,0.773,0.061,1.218,314.839,192.9936306,488,303,155,157,14.481,0.530
16,Florida,SEC,8,3,119.632,174.112,7,0.727,0.802,-0.075,-0.336,279.141,159.5092025,455,260,163,163,39.743,1.455
17,Iowa,Big Ten,8,4,117.962,54.728,33,0.667,0.822,-0.155,-1.257,257.962,140,405,231,157,165,12.669,0.464
18,Boise State,Mountain West,10,3,117.399,167.433,8,0.769,0.779,-0.010,0.412,296.774,179.375,460,287,155,160,38.945,1.426
19,Notre Dame,FBS Independents,12,1,105.795,108.966,16,0.923,0.798,0.125,1.958,250.307,144.5121951,408,237,163,164,28.126,1.030
20,UAB,Conference USA,10,3,102.658,10.616,64,0.769,0.801,-0.032,0.155,240.230,137.5722543,418,238,174,173,2.824,0.103
21,West Virginia,Big 12,7,4,100.564,71.680,24,0.636,0.724,-0.088,-0.489,313.636,213.0718954,483,326,154,153,19.464,0.713
22,Penn State,Big Ten,9,4,97.186,133.048,13,0.692,0.781,-0.089,-0.494,243.889,146.7032967,439,267,180,182,37.384,1.369
23,Auburn,SEC,7,5,94.248,165.560,9,0.583,0.776,-0.193,-1.688,240.719,146.4705882,402,249,167,170,47.969,1.757
24,Missouri,SEC,7,5,92.004,156.825,11,0.583,0.727,-0.144,-1.132,283.333,191.3294798,476,331,168,173,46.546,1.705
25,Kentucky,SEC,9,3,88.459,124.142,14,0.750,0.770,-0.020,0.291,230.667,142.2077922,346,219,150,154,38.323,1.403
26,Washington,Pac-12,9,4,86.068,109.404,15,0.692,0.764,-0.072,-0.306,229.193,143.125,369,229,161,160,34.711,1.271
27,Oregon,Pac-12,8,4,83.690,48.708,38,0.667,0.718,-0.052,-0.070,268.047,184.3575419,453,330,169,179,15.893,0.582
28,LSU,SEC,9,3,83.140,195.857,5,0.750,0.733,0.017,0.722,250.595,167.4556213,421,283,168,169,64.329,2.356
29,Toledo,Mid-American,6,6,82.126,61.161,29,0.500,0.695,-0.195,-1.710,293.296,211.1702128,525,397,179,188,20.336,0.745
30,North Texas,Conference USA,8,4,80.263,38.971,47,0.667,0.719,-0.053,-0.084,255.682,175.4189944,450,314,176,179,13.259,0.486
31,Syracuse,ACC,9,3,78.911,97.935,19,0.750,0.713,0.037,0.949,258.911,180,523,351,202,195,33.891,1.241
32,Florida International,Conference USA,8,4,77.847,-1.035,73,0.667,0.677,-0.010,0.405,304.054,226.2068966,450,328,148,145,-0.363,-0.013
33,Texas A&M,SEC,8,4,77.529,192.072,6,0.667,0.694,-0.028,0.203,276.923,199.3939394,468,329,169,165,67.651,2.477
34,Temple,American Athletic,8,4,75.754,67.754,25,0.667,0.697,-0.031,0.172,267.059,191.3043478,454,352,170,184,24.423,0.894
35,Miami,ACC,6,6,75.429,57.020,32,0.500,0.741,-0.241,-2.240,220.000,144.5714286,374,253,170,175,20.643,0.756
36,NC State,ACC,8,4,74.230,80.807,21,0.667,0.686,-0.019,0.302,276.730,202.5,440,324,159,160,29.727,1.089
37,Buffalo,Mid-American,9,4,73.778,65.903,27,0.692,0.685,0.008,0.609,276.571,202.7932961,484,363,175,179,24.392,0.893
38,Memphis,American Athletic,7,6,72.362,51.646,37,0.538,0.660,-0.121,-0.867,311.399,239.0374332,601,447,193,187,19.490,0.714
39,Georgia Southern,Sun Belt,9,3,71.775,74.699,23,0.750,0.690,0.060,1.212,262.252,190.4761905,396,280,151,147,28.420,1.041
40,Virginia,ACC,7,5,70.573,33.965,52,0.583,0.702,-0.118,-0.838,243.421,172.8476821,370,261,152,151,13.142,0.481
41,Utah,Pac-12,8,5,69.675,60.704,30,0.615,0.721,-0.105,-0.687,220.787,151.1111111,393,272,178,180,23.791,0.871
42,Troy,Sun Belt,9,3,64.837,45.865,40,0.750,0.691,0.059,1.204,236.095,171.257485,399,286,169,167,19.317,0.707
43,Wisconsin,Big Ten,8,5,59.398,42.016,44,0.615,0.667,-0.052,-0.075,244.304,184.9056604,386,294,158,159,19.316,0.707
44,Oklahoma State,Big 12,6,6,53.275,53.205,34,0.500,0.626,-0.126,-0.929,285.143,231.8681319,499,422,175,182,27.271,0.999
45,Texas Tech,Big 12,4,7,48.472,37.906,48,0.364,0.620,-0.256,-2.417,273.171,224.6987952,448,373,164,166,21.355,0.782
46,Marshall,Conference USA,8,4,48.351,7.491,65,0.667,0.658,0.008,0.619,209.714,161.3636364,367,284,175,176,4.231,0.155
47,Boston College,ACC,6,5,47.102,57.531,31,0.545,0.641,-0.096,-0.577,227.219,180.1169591,384,308,169,171,33.354,1.221
48,Southern Miss,Conference USA,5,5,46.479,22.414,56,0.500,0.660,-0.160,-1.309,200.000,153.5211268,288,218,144,142,13.168,0.482
49,Stanford,Pac-12,8,4,43.204,43.654,42,0.667,0.627,0.040,0.979,230.625,187.4213836,369,298,160,159,27.592,1.010
50,Houston,American Athletic,7,5,42.561,18.053,63,0.583,0.597,-0.014,0.366,292.821,250.2590674,571,483,195,193,11.583,0.424
51,Texas,Big 12,10,4,40.980,45.736,41,0.714,0.609,0.105,1.726,251.445,210.4651163,435,362,173,172,30.477,1.116
52,Air Force,Mountain West,4,7,40.966,42.241,43,0.364,0.606,-0.243,-2.261,258.571,217.6056338,362,309,140,142,28.157,1.031
53,Georgia Tech,ACC,6,6,39.437,46.812,39,0.500,0.585,-0.085,-0.452,307.746,268.3098592,437,381,142,142,32.414,1.187
54,Arkansas State,Sun Belt,7,5,36.805,35.493,50,0.583,0.607,-0.024,0.249,230.409,193.6046512,394,333,171,172,26.334,0.964
