Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,TCU,Mountain West,12,0,225.324,180.454,5,1.000,0.935,0.065,0.451,328.082,102.759,479,149,146,145,-0.068,68
2,Oregon,Pac-10,11,1,200.418,221.647,2,0.917,0.942,-0.026,-0.119,340.881,140.462,542,243,159,173,69.479,10
3,Stanford,Pac-10,11,1,195.240,241.785,1,0.917,0.944,-0.027,-0.129,344.526,149.286,472,209,137,140,77.755,8
4,Ohio State,Big Ten,12,1,188.800,135.278,8,0.923,0.879,0.044,0.322,303.614,114.815,504,186,166,162,0.316,67
5,Wisconsin,Big Ten,9,2,160.937,137.718,7,0.818,0.794,0.024,0.194,359.350,198.413,442,250,123,126,30.422,35
6,Northern Illinois,Mid-American,9,3,160.476,24.871,45,0.750,0.571,0.179,1.173,308.553,148.077,469,231,152,156,-84.685,107
7,Alabama,SEC,8,3,151.691,185.064,3,0.727,0.937,-0.210,-1.281,282.400,130.709,353,166,125,127,64.751,13
8,UCF,Conference USA,10,3,137.063,59.207,35,0.769,0.682,0.088,0.595,300.000,162.937,411,233,137,143,-70.566,100
9,Oklahoma State,Big 12,11,2,132.165,130.389,11,0.846,0.809,0.037,0.276,310.811,178.646,575,343,185,192,11.310,55
10,Virginia Tech,ACC,11,1,129.496,148.957,6,0.917,0.862,0.055,0.389,283.444,153.947,428,234,151,152,24.573,43
11,Auburn,SEC,13,0,128.193,180.899,4,1.000,0.862,0.138,0.915,330.128,201.935,515,313,156,155,68.426,11
12,Nebraska,Big 12,8,4,105.430,114.661,17,0.667,0.829,-0.162,-0.978,244.805,139.375,377,223,154,160,23.345,44
13,Utah,Mountain West,9,2,104.505,79.728,26,0.818,0.736,0.082,0.558,268.841,164.336,371,235,138,143,4.046,63
14,Oklahoma,Big 12,11,2,104.418,127.729,12,0.846,0.850,-0.004,0.017,253.886,149.468,490,281,193,188,41.164,23
15,LSU,SEC,10,2,95.772,134.822,9,0.833,0.852,-0.019,-0.077,244.138,148.366,354,227,145,153,51.712,18
16,Missouri,Big 12,9,3,91.978,116.788,14,0.750,0.858,-0.108,-0.635,218.065,126.087,338,203,155,161,27.486,39
17,Iowa,Big Ten,7,5,91.028,94.381,20,0.583,0.784,-0.201,-1.222,243.885,152.857,339,214,139,140,23.118,45
18,Arkansas,SEC,9,3,83.379,127.580,13,0.750,0.794,-0.044,-0.237,273.885,190.506,430,301,157,158,51.330,19
19,West Virginia,Big East,8,4,81.916,80.062,25,0.667,0.776,-0.109,-0.647,194.737,112.821,296,176,152,156,1.126,66
20,Florida State,ACC,9,4,69.344,131.484,10,0.692,0.823,-0.131,-0.782,245.161,175.817,380,269,155,153,58.151,15
21,Navy,FBS Independents,7,4,69.117,38.387,43,0.636,0.599,0.037,0.278,294.737,225.620,336,273,114,121,-15.917,77
22,BYU,Mountain West,7,4,66.904,47.726,41,0.636,0.657,-0.021,-0.089,232.090,165.185,311,223,134,135,2.467,64
23,South Carolina,SEC,8,5,60.981,115.936,16,0.615,0.808,-0.193,-1.174,256.494,195.513,395,305,154,156,67.360,12
24,Illinois,Big Ten,6,5,60.690,68.107,32,0.545,0.693,-0.148,-0.888,251.724,191.034,365,277,145,145,14.670,51
25,Tulsa,Conference USA,8,3,58.137,5.135,52,0.727,0.513,0.214,1.392,306.338,248.201,435,345,142,139,-60.219,91
26,Louisville,Big East,6,6,58.105,25.035,44,0.500,0.587,-0.087,-0.505,220.690,162.585,320,239,145,147,-14.415,76
27,Georgia,SEC,5,7,57.343,50.386,39,0.417,0.647,-0.231,-1.412,253.147,195.804,362,280,143,143,26.479,41
28,Western Michigan,Mid-American,5,5,57.122,-29.971,65,0.500,0.408,0.092,0.625,232.857,175.735,326,239,140,136,-75.311,102
29,Florida,SEC,7,5,56.603,73.995,27,0.583,0.712,-0.129,-0.771,226.667,170.064,340,267,150,157,40.162,24
30,Pittsburgh,Big East,7,5,55.711,67.393,33,0.583,0.699,-0.115,-0.685,221.898,166.187,304,231,137,139,10.775,58
31,Southern Miss,Conference USA,6,5,50.000,-6.597,57,0.545,0.485,0.060,0.420,322.388,272.388,432,365,134,134,-60.521,92
32,San Diego State,Mountain West,6,4,49.859,63.197,34,0.600,0.652,-0.052,-0.287,258.730,208.871,326,259,126,124,8.853,59
33,Air Force,Mountain West,8,4,48.599,47.890,40,0.667,0.626,0.041,0.299,252.632,204.032,336,253,133,124,4.617,62
34,NC State,ACC,8,4,46.757,85.014,22,0.667,0.757,-0.090,-0.526,216.568,169.811,366,270,169,159,37.202,27
35,Temple,Mid-American,7,4,45.070,-59.544,80,0.636,0.300,0.336,2.163,189.437,144.366,269,205,142,142,-89.203,109
36,Maryland,ACC,8,4,43.880,44.972,42,0.667,0.643,0.024,0.191,223.125,179.245,357,285,160,159,20.306,46
