Season,Week,GameId,Team,Conference,Opponent,OpponentConference,Location,StartDate,Completed,Live,TeamPoints,OpponentPoints,Result,OpponentRk,OpponentAdjRk,OpponentAdjRtg
2013,2,332502005,Air Force,Mountain West,Utah State,Mountain West,Home,2013-09-07T19:30:00.000Z,True,False,20,52,L,29,39,50.908
2013,3,332560068,Air Force,Mountain West,Boise State,Mountain West,Away,2013-09-14T00:00:00.000Z,True,False,20,42,L,33,60,8.876
2013,4,332642005,Air Force,Mountain West,Wyoming,Mountain West,Home,2013-09-22T02:15:00.000Z,True,False,23,56,L,89,105,-102.944
2013,5,332712440,Air Force,Mountain West,Nevada,Mountain West,Away,2013-09-29T00:00:00.000Z,True,False,42,45,L,105,90,-60.726
2013,6,332782426,Air Force,Mountain West,Navy,FBS Independents,Away,2013-10-05T15:30:00.000Z,True,False,10,28,L,37,58,13.077
2013,7,332832005,Air Force,Mountain West,San Diego State,Mountain West,Home,2013-10-11T01:00:00.000Z,True,False,20,27,L,65,82,-41.615
2013,9,332992005,Air Force,Mountain West,Notre Dame,FBS Independents,Home,2013-10-26T21:00:00.000Z,True,False,10,45,L,41,29,73.758
2013,10,333062005,Air Force,Mountain West,Army,FBS Independents,Home,2013-11-02T16:00:00.000Z,True,False,42,28,W,100,110,-123.131
2013,11,333120167,Air Force,Mountain West,New Mexico,Mountain West,Away,2013-11-09T02:00:00.000Z,True,False,37,45,L,98,112,-132.084
2013,13,333252005,Air Force,Mountain West,UNLV,Mountain West,Home,2013-11-22T02:30:00.000Z,True,False,21,41,L,81,96,-71.211
2013,14,333340036,Air Force,Mountain West,Colorado State,Mountain West,Away,2013-11-30T19:00:00.000Z,True,False,13,58,L,50,73,-15.935
2013,1,332412116,Akron,Mid-American,UCF,American Athletic,Away,2013-08-29T23:00:00.000Z,True,False,7,38,L,18,36,55.235
2013,3,332570130,Akron,Mid-American,Michigan,Big Ten,Away,2013-09-14T16:00:00.000Z,True,False,24,28,L,38,31,70.371
2013,4,332642006,Akron,Mid-American,Louisiana,Sun Belt,Home,2013-09-21T22:00:00.000Z,True,False,30,35,L,54,80,-38.200
2013,5,332710189,Akron,Mid-American,Bowling Green,Mid-American,Away,2013-09-28T18:30:00.000Z,True,False,14,31,L,7,49,29.970
2013,6,332782006,Akron,Mid-American,Ohio,Mid-American,Home,2013-10-05T18:00:00.000Z,True,False,3,43,L,75,98,-73.281
2013,7,332852459,Akron,Mid-American,Northern Illinois,Mid-American,Away,2013-10-12T21:00:00.000Z,True,False,20,27,L,10,51,26.564
2013,8,332920193,Akron,Mid-American,Miami (OH),Mid-American,Away,2013-10-19T17:00:00.000Z,True,False,24,17,W,121,124,-214.695
2013,9,332992006,Akron,Mid-American,Ball State,Mid-American,Home,2013-10-26T16:00:00.000Z,True,False,24,42,L,26,75,-21.199
