Season,Week,GameId,Team,Conference,Opponent,OpponentConference,Location,StartDate,Completed,Live,TeamPoints,OpponentPoints,Result,OpponentRk,OpponentAdjRk,OpponentAdjRtg
2009,1,293652005,Air Force,Mountain West,Houston,Conference USA,Home,2009-12-31T17:00:00.000Z,True,False,47,20,W,27,53,20.776
2009,2,292550135,Air Force,Mountain West,Minnesota,Big Ten,Away,2009-09-12T23:00:00.000Z,True,False,13,20,L,75,61,2.269
2009,3,292620167,Air Force,Mountain West,New Mexico,Mountain West,Away,2009-09-19T23:30:00.000Z,True,False,37,13,W,111,107,-125.389
2009,4,292692005,Air Force,Mountain West,San Diego State,Mountain West,Home,2009-09-26T18:00:00.000Z,True,False,26,14,W,100,96,-85.275
2009,5,292762426,Air Force,Mountain West,Navy,FBS Independents,Away,2009-10-03T19:30:00.000Z,True,False,13,16,L,24,45,36.562
2009,6,292832005,Air Force,Mountain West,TCU,Mountain West,Home,2009-10-10T23:30:00.000Z,True,False,17,20,L,2,6,130.465
2009,7,292902005,Air Force,Mountain West,Wyoming,Mountain West,Home,2009-10-17T18:00:00.000Z,True,False,10,0,W,105,92,-59.759
2009,8,292970254,Air Force,Mountain West,Utah,Mountain West,Away,2009-10-24T20:00:00.000Z,True,False,16,23,L,23,38,48.121
2009,9,293040036,Air Force,Mountain West,Colorado State,Mountain West,Away,2009-10-31T20:00:00.000Z,True,False,34,16,W,94,95,-71.462
2009,10,293112005,Air Force,Mountain West,Army,FBS Independents,Home,2009-11-07T20:30:00.000Z,True,False,35,7,W,93,106,-124.682
2009,11,293182005,Air Force,Mountain West,UNLV,Mountain West,Home,2009-11-14T23:00:00.000Z,True,False,45,17,W,108,94,-71.099
2009,12,293250252,Air Force,Mountain West,BYU,Mountain West,Away,2009-11-21T20:30:00.000Z,True,False,21,38,L,11,31,61.631
2009,1,292480213,Akron,Mid-American,Penn State,Big Ten,Away,2009-09-05T16:00:00.000Z,True,False,7,31,L,10,7,121.566
2009,3,292622006,Akron,Mid-American,Indiana,Big Ten,Home,2009-09-19T19:30:00.000Z,True,False,21,38,L,92,81,-36.766
2009,4,292692117,Akron,Mid-American,Central Michigan,Mid-American,Away,2009-09-26T19:30:00.000Z,True,False,21,48,L,9,43,40.886
