Season,Week,GameId,Team,Conference,Opponent,OpponentConference,Location,StartDate,Completed,Live,TeamPoints,OpponentPoints,Result,OpponentRk,OpponentAdjRk,OpponentAdjRtg
2020,5,401212557,Air Force,Mountain West,Navy,American Athletic,Home,2020-10-03T22:00:00.000Z,True,False,40,7,W,115,107,-97.121
2020,8,401248993,Air Force,Mountain West,San José State,Mountain West,Away,2020-10-25T02:30:00.000Z,True,False,6,17,L,32,31,60.508
2020,9,401248999,Air Force,Mountain West,Boise State,Mountain West,Home,2020-10-31T22:00:00.000Z,True,False,30,49,L,25,29,61.319
2020,12,401249018,Air Force,Mountain West,New Mexico,Mountain West,Home,2020-11-21T02:30:00.000Z,True,False,28,0,W,97,109,-109.586
2020,14,401249029,Air Force,Mountain West,Utah State,Mountain West,Away,2020-12-04T02:30:00.000Z,True,False,35,7,W,120,125,-191.781
2020,16,401265699,Air Force,Mountain West,Army,FBS Independents,Away,2020-12-19T20:00:00.000Z,True,False,7,10,L,30,45,39.383
2020,10,401249857,Akron,Mid-American,Western Michigan,Mid-American,Home,2020-11-04T23:00:00.000Z,True,False,13,58,L,31,21,94.107
2020,11,401249861,Akron,Mid-American,Ohio,Mid-American,Away,2020-11-11T00:00:00.000Z,True,False,10,24,L,9,47,36.001
2020,12,401249867,Akron,Mid-American,Kent State,Mid-American,Away,2020-11-18T01:00:00.000Z,True,False,35,69,L,20,39,48.949
2020,13,401249892,Akron,Mid-American,Miami (OH),Mid-American,Home,2020-11-28T18:00:00.000Z,True,False,7,38,L,50,14,114.677
2020,14,401249881,Akron,Mid-American,Bowling Green,Mid-American,Home,2020-12-05T19:00:00.000Z,True,False,31,3,W,126,123,-174.660
2020,15,401249886,Akron,Mid-American,Buffalo,Mid-American,Away,2020-12-12T19:30:00.000Z,True,False,7,56,L,3,6,153.223
2020,1,401240152,Alabama,SEC,Notre Dame,ACC,Home,2021-01-01T21:00:00.000Z,True,False,31,14,W,12,18,107.178
2020,1,401240174,Alabama,SEC,Ohio State,Big Ten,Home,2021-01-12T01:00:00.000Z,True,False,52,24,W,11,2,187.626
2020,4,401236951,Alabama,SEC,Missouri,SEC,Away,2020-09-26T23:00:00.000Z,True,False,38,19,W,87,62,6.666
2020,5,401237093,Alabama,SEC,Texas A&M,SEC,Home,2020-10-03T19:30:00.000Z,True,False,52,24,W,21,9,143.149
2020,6,401237100,Alabama,SEC,Ole Miss,SEC,Away,2020-10-10T23:30:00.000Z,True,False,63,48,W,70,43,43.635
2020,7,401237107,Alabama,SEC,Georgia,SEC,Home,2020-10-18T00:00:00.000Z,True,False,41,24,W,16,3,180.189
2020,8,401237114,Alabama,SEC,Tennessee,SEC,Away,2020-10-24T19:30:00.000Z,True,False,48,17,W,101,80,-14.560
2020,9,401237119,Alabama,SEC,Mississippi State,SEC,Home,2020-10-31T23:00:00.000Z,True,False,41,0,W,89,51,30.082
2020,12,401237135,Alabama,SEC,Kentucky,SEC,Home,2020-11-21T21:00:00.000Z,True,False,63,3,W,79,49,33.539
2020,13,401237142,Alabama,SEC,Auburn,SEC,Home,2020-11-28T20:30:00.000Z,True,False,42,13,W,61,25,75.778
2020,14,401265817,Alabama,SEC,LSU,SEC,Away,2020-12-06T01:00:00.000Z,True,False,55,17,W,73,30,60.569
2020,15,401267164,Alabama,SEC,Arkansas,SEC,Away,2020-12-12T17:00:00.000Z,True,False,52,3,W,96,44,41.796
2020,16,401237074,Alabama,SEC,Florida,SEC,Away,2020-12-20T01:00:00.000Z,True,False,52,46,W,28,10,142.779
