Season,Week,Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
2013,1,1,Michigan,Big Ten,1,0,427.381,122.024,7,1.000,0.841,0.159,0.497,491.667,64.286,59,9,12,14,-122.024,82
2013,1,2,Wisconsin,Big Ten,1,0,409.091,127.273,5,1.000,0.891,0.109,0.340,409.091,0.000,45,0,11,11,-127.273,85
2013,1,3,Cincinnati,American Athletic,1,0,366.154,148.077,2,1.000,0.878,0.122,0.383,420.000,53.846,42,7,10,13,-148.077,87
2013,1,4,Louisville,American Athletic,1,0,350.000,116.667,9,1.000,0.838,0.162,0.508,408.333,58.333,49,7,12,12,-116.667,81
2013,1,5,Texas,Big 12,1,0,329.583,94.792,13,1.000,0.813,0.187,0.585,373.333,43.750,56,7,15,16,-94.792,76
2013,1,6,UCLA,Pac-12,1,0,316.667,116.667,8,1.000,0.777,0.223,0.697,483.333,166.667,58,20,12,12,-116.667,80
2013,1,7,Minnesota,Big Ten,1,0,299.351,149.675,1,1.000,0.821,0.179,0.561,463.636,164.286,51,23,11,14,-149.675,88
2013,1,8,Washington,Pac-12,1,0,290.909,127.273,4,1.000,0.854,0.146,0.456,345.455,54.545,38,6,11,11,-127.273,84
2013,1,9,Florida State,ACC,1,0,280.000,140.000,3,1.000,0.827,0.173,0.543,410.000,130.000,41,13,10,10,-140.000,86
2013,1,10,UCF,American Athletic,1,0,275.455,124.091,6,1.000,0.840,0.160,0.499,345.455,70.000,38,7,11,10,-124.091,83
2013,1,11,North Texas,Conference USA,1,0,264.835,109.341,10,1.000,0.838,0.162,0.508,307.692,42.857,40,6,13,14,-109.341,79
2013,1,12,Marshall,Conference USA,1,0,259.167,96.250,12,1.000,0.787,0.213,0.667,346.667,87.500,52,14,15,16,-96.250,77
2013,1,13,Oklahoma,Big 12,1,0,242.857,100.000,11,1.000,0.856,0.144,0.452,242.857,0.000,34,0,14,15,-100.000,78
2013,1,14,Maryland,ACC,1,0,215.238,90.952,15,1.000,0.787,0.213,0.666,286.667,71.429,43,10,15,14,-90.952,74
2013,1,15,Miami,ACC,1,0,183.810,91.905,14,1.000,0.809,0.191,0.599,226.667,42.857,34,6,15,14,-91.905,75
2013,1,16,Notre Dame,FBS Independents,1,0,178.788,89.394,16,1.000,0.796,0.204,0.640,233.333,54.545,28,6,12,11,-89.394,73
2013,1,17,Bowling Green,Mid-American,1,0,172.821,86.410,17,1.000,0.790,0.210,0.656,226.667,53.846,34,7,15,13,-86.410,72
2013,1,18,Alabama,SEC,1,0,170.833,85.417,18,1.000,0.783,0.217,0.681,233.333,62.500,35,10,15,16,-85.417,71
2013,1,19,Florida,SEC,1,0,163.636,81.818,19,1.000,0.781,0.219,0.687,218.182,54.545,24,6,11,11,-81.818,70
2013,1,20,Texas Tech,Big 12,1,0,162.051,81.026,20,1.000,0.723,0.277,0.867,315.385,153.333,41,23,13,15,-81.026,69
2013,1,21,Texas A&M,SEC,1,0,161.538,80.769,21,1.000,0.689,0.311,0.974,400.000,238.462,52,31,13,13,-80.769,68
2013,1,22,NC State,ACC,1,0,158.974,79.487,22,1.000,0.743,0.257,0.805,266.667,107.692,40,14,15,13,-79.487,67
2013,1,23,Arkansas,SEC,1,0,156.061,78.030,23,1.000,0.730,0.270,0.846,283.333,127.273,34,14,12,11,-78.030,66
2013,1,24,Northwestern,Big Ten,1,0,150.962,75.481,24,1.000,0.698,0.302,0.947,338.462,187.500,44,30,13,16,-75.481,65
2013,1,25,Oklahoma State,Big 12,1,0,150.000,75.000,25,1.000,0.787,0.213,0.665,175.000,25.000,21,3,12,12,-75.000,64
2013,1,26,South Carolina,SEC,1,0,145.455,72.727,26,1.000,0.733,0.267,0.837,245.455,100.000,27,10,11,10,-72.727,63
2013,1,27,Ohio State,Big Ten,1,0,141.026,70.513,27,1.000,0.696,0.304,0.952,307.692,166.667,40,20,13,12,-70.513,62
2013,1,28,USC,Pac-12,1,0,118.750,59.375,28,1.000,0.711,0.289,0.905,200.000,81.250,30,13,15,16,-59.375,61
2013,1,29,Michigan State,Big Ten,1,0,90.278,45.139,29,1.000,0.675,0.325,1.016,162.500,72.222,26,13,16,18,-45.139,60
2013,1,30,Western Kentucky,Sun Belt,1,0,69.231,34.615,30,1.000,0.600,0.400,1.252,269.231,200.000,35,26,13,13,-34.615,59
2013,1,31,Colorado,Pac-12,1,0,63.393,31.696,31,1.000,0.594,0.406,1.271,256.250,192.857,41,27,16,14,-31.696,58
2013,1,32,UTSA,Conference USA,1,0,53.205,26.603,32,1.000,0.600,0.400,1.251,161.538,108.333,21,13,13,12,-26.603,57
2013,1,33,Nebraska,Big Ten,1,0,41.758,20.879,33,1.000,0.557,0.443,1.387,284.615,242.857,37,34,13,14,-20.879,56
2013,1,34,LSU,SEC,1,0,38.333,19.167,34,1.000,0.550,0.450,1.410,308.333,270.000,37,27,12,10,-19.167,55
2013,1,35,Clemson,ACC,1,0,38.095,19.048,35,1.000,0.553,0.447,1.398,271.429,233.333,38,35,14,15,-19.048,54
2013,1,36,Penn State,Big Ten,1,0,35.294,17.647,36,1.000,0.571,0.429,1.344,135.294,100.000,23,17,17,17,-17.647,53
2013,1,37,Auburn,SEC,1,0,35.238,17.619,37,1.000,0.557,0.443,1.385,206.667,171.429,31,24,15,14,-17.619,52
2013,1,38,Ole Miss,SEC,1,0,30.769,15.385,38,1.000,0.540,0.460,1.439,300.000,269.231,39,35,13,13,-15.385,51
2013,1,39,Rutgers,American Athletic,0,1,26.316,13.158,39,0.000,0.534,-0.534,-1.672,300.000,273.684,51,52,17,19,-13.158,50
2013,1,40,Troy,Sun Belt,1,0,25.000,12.500,40,1.000,0.534,0.466,1.460,283.333,258.333,34,31,12,12,-12.500,49
2013,1,41,Virginia,ACC,1,0,22.876,11.438,41,1.000,0.549,0.451,1.413,111.765,88.889,19,16,17,18,-11.438,48
2013,1,42,Texas State,Sun Belt,1,0,22.039,11.020,42,1.000,0.546,0.454,1.421,115.789,93.750,22,15,19,16,-11.020,47
2013,1,43,Northern Illinois,Mid-American,1,0,17.647,8.824,43,1.000,0.531,0.469,1.469,176.471,158.824,30,27,17,17,-8.824,46
