Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,TCU,Big 12,11,1,190.844,174.747,5,0.917,0.918,-0.001,0.038,314.124,123.280,556,233,177,189,39.222,45
2,Marshall,Conference USA,12,1,181.368,158.438,9,0.923,0.804,0.119,0.822,351.190,169.822,590,287,168,169,-52.410,110
3,Ohio State,Big Ten,14,1,178.555,178.156,4,0.933,0.874,0.059,0.430,341.117,162.562,672,330,197,203,39.929,42
4,Georgia,SEC,9,3,161.389,196.631,2,0.750,0.897,-0.147,-0.905,334.722,173.333,482,260,144,150,63.880,12
5,Oregon,Pac-12,12,2,157.412,201.918,1,0.857,0.891,-0.034,-0.171,345.810,188.398,619,341,179,181,59.419,14
6,Michigan State,Big Ten,10,2,139.489,123.720,14,0.833,0.805,0.029,0.234,305.952,166.463,514,273,168,164,25.745,58
7,Alabama,SEC,11,2,134.731,190.683,3,0.846,0.928,-0.082,-0.486,280.838,146.108,469,244,167,167,84.002,4
8,Baylor,Big 12,10,2,123.578,125.330,13,0.833,0.788,0.045,0.341,316.477,192.899,557,326,176,169,27.562,56
9,Georgia Tech,ACC,10,3,111.288,161.485,8,0.769,0.797,-0.028,-0.134,351.429,240.141,492,341,140,142,50.011,29
10,Louisiana Tech,Conference USA,9,4,104.651,67.100,34,0.692,0.717,-0.025,-0.115,288.372,183.721,496,316,172,172,-6.420,70
11,Boise State,Mountain West,12,2,101.706,56.214,39,0.857,0.640,0.217,1.458,291.099,189.394,556,375,191,198,-19.427,77
12,Mississippi State,SEC,9,3,100.595,135.597,11,0.750,0.875,-0.125,-0.761,258.929,158.333,435,266,168,168,59.918,13
13,Kansas State,Big 12,8,4,92.863,134.156,12,0.667,0.813,-0.146,-0.902,290.780,197.917,410,285,141,144,55.250,22
14,Georgia Southern,Sun Belt,8,3,90.862,5.442,59,0.727,0.515,0.212,1.425,296.923,206.061,386,272,130,132,-80.050,126
15,Wisconsin,Big Ten,10,3,90.857,102.815,21,0.769,0.799,-0.030,-0.149,255.429,164.571,447,288,175,175,28.572,53
16,Nebraska,Big Ten,8,4,85.670,104.207,20,0.667,0.765,-0.098,-0.591,265.896,180.226,460,319,173,177,25.452,59
17,Memphis,American Athletic,9,3,83.729,31.927,47,0.750,0.601,0.149,1.013,226.667,142.938,408,253,180,177,-45.271,98
18,USC,Pac-12,9,4,82.021,120.330,15,0.692,0.813,-0.121,-0.737,267.816,185.795,466,327,174,176,45.657,37
19,Auburn,SEC,7,5,77.832,167.936,6,0.583,0.841,-0.257,-1.623,298.611,220.779,430,340,144,154,104.299,1
20,Oklahoma,Big 12,8,5,76.161,99.323,22,0.615,0.755,-0.140,-0.858,261.326,185.165,473,337,181,182,47.063,35
21,Clemson,ACC,9,3,72.252,92.931,24,0.750,0.862,-0.112,-0.680,192.941,120.690,328,210,170,174,36.106,47
22,Ole Miss,SEC,8,4,70.935,167.529,7,0.667,0.936,-0.269,-1.701,205.128,134.194,320,208,156,155,89.083,3
23,Stanford,Pac-12,7,5,67.516,114.050,16,0.583,0.867,-0.284,-1.796,212.414,144.898,308,213,145,147,52.452,25
24,Duke,ACC,8,4,67.438,59.312,37,0.667,0.660,0.007,0.092,242.763,175.325,369,270,152,154,3.584,67
25,Arkansas,SEC,6,6,66.373,157.554,10,0.500,0.878,-0.378,-2.404,237.500,171.127,342,243,144,142,94.987,2
26,Colorado State,Mountain West,9,3,66.201,32.305,46,0.750,0.592,0.158,1.076,284.058,217.857,392,305,138,140,-24.415,81
27,Cincinnati,American Athletic,9,4,61.653,11.540,55,0.692,0.529,0.163,1.107,281.529,219.876,442,354,157,161,-23.832,79
28,Arizona State,Pac-12,9,3,55.844,109.796,17,0.750,0.780,-0.030,-0.149,282.468,226.623,435,349,154,154,41.174,40
29,Western Michigan,Mid-American,7,5,54.096,-19.984,75,0.583,0.448,0.135,0.924,275.524,221.429,394,310,143,140,-73.689,123
30,Florida State,ACC,12,1,52.047,108.072,18,0.923,0.767,0.156,1.059,254.386,202.339,435,346,171,171,55.707,21
31,UCF,American Athletic,8,4,50.894,-15.279,68,0.667,0.448,0.219,1.466,197.561,146.667,324,242,164,165,-53.109,111
32,Utah State,Mountain West,9,4,50.661,15.862,52,0.692,0.560,0.133,0.908,193.678,143.017,337,256,174,179,-43.200,96
