Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
5,Stanford,Pac-12,11,1,197.208,187.145,4,0.917,0.893,0.023,0.140,363.194,165.986,523,244,144,147,23.396,43
43,Florida,SEC,5,6,29.762,55.351,33,0.455,0.698,-0.244,-1.684,183.333,153.571,253,215,138,140,42.606,23
11,Michigan,Big Ten,10,2,134.723,156.759,8,0.833,0.883,-0.049,-0.356,280.822,146.099,410,206,146,141,34.942,34
38,Ohio State,Big Ten,6,6,37.921,64.007,29,0.500,0.697,-0.197,-1.367,206.164,168.243,301,249,146,148,34.293,35
47,Mississippi State,SEC,5,6,24.238,47.165,35,0.455,0.663,-0.209,-1.444,180.576,156.338,251,222,139,142,36.508,31
14,Florida State,ACC,7,4,118.052,108.504,14,0.636,0.820,-0.184,-1.274,240.909,122.857,318,172,132,140,-0.675,61
3,Wisconsin,Big Ten,10,2,214.690,175.507,6,0.833,0.864,-0.031,-0.217,364.336,149.645,521,211,143,141,15.519,51
17,Texas A&M,Big 12,6,6,91.627,135.054,9,0.500,0.827,-0.327,-2.254,282.738,191.111,475,344,168,180,47.744,18
1,Alabama,SEC,10,1,240.214,273.653,1,0.909,0.970,-0.061,-0.433,307.143,66.929,387,85,126,127,32.069,37
12,Oklahoma,Big 12,9,3,119.004,151.894,8,0.750,0.899,-0.149,-1.020,269.832,150.829,483,273,179,181,58.434,12
36,West Virginia,Big East,8,3,39.311,40.304,40,0.727,0.605,0.123,0.823,242.667,203.356,364,303,150,149,10.608,54
106,Maryland,ACC,1,10,-95.404,-62.805,93,0.091,0.334,-0.243,-1.681,176.596,272.000,249,408,141,150,29.655,39
46,Texas,Big 12,7,5,28.587,87.334,23,0.583,0.776,-0.193,-1.316,209.756,181.169,344,279,164,154,50.710,17
28,Florida International,Sun Belt,8,4,55.186,-39.801,79,0.667,0.366,0.301,2.032,204.545,149.359,315,233,154,156,-90.128,120
18,South Carolina,SEC,9,2,89.521,90.230,21,0.818,0.782,0.036,0.225,233.577,144.056,320,206,137,143,21.677,46
67,Illinois,Big Ten,5,6,-7.295,35.429,42,0.455,0.647,-0.193,-1.336,154.610,161.905,218,238,141,147,43.137,22
39,Northern Illinois,Mid-American,9,3,37.105,-4.583,60,0.750,0.488,0.262,1.766,278.395,241.290,451,374,162,155,-42.593,98
52,Pittsburgh,Big East,5,6,20.263,40.961,38,0.455,0.638,-0.183,-1.250,180.263,160.000,274,240,152,150,16.767,49
31,Clemson,ACC,9,3,50.712,53.412,34,0.750,0.642,0.108,0.724,245.122,194.410,402,313,164,161,7.214,57
69,Hawai'i,Western Athletic,5,7,-14.557,-50.033,85,0.417,0.366,0.051,0.337,241.781,256.338,353,364,146,142,-44.526,103
32,Ohio,Mid-American,8,4,47.749,-27.099,73,0.667,0.423,0.243,1.641,234.591,186.842,373,284,159,152,-68.007,114
7,Oklahoma State,Big 12,11,1,163.179,179.050,5,0.917,0.893,0.024,0.155,336.364,173.184,592,310,176,179,47.794,21
79,Bowling Green,Mid-American,4,7,-45.690,-69.429,97,0.364,0.290,0.073,0.481,179.310,225.000,260,333,145,148,-29.493,86
4,Boise State,Mountain West,11,1,197.368,126.273,11,0.917,0.805,0.111,0.746,341.447,144.079,519,219,152,152,-33.933,89
61,California,Pac-12,6,5,8.456,59.121,31,0.545,0.681,-0.136,-0.946,207.746,199.291,295,281,142,141,43.699,21
55,Missouri,Big 12,6,5,15.402,77.936,24,0.545,0.743,-0.197,-1.367,208.553,193.151,317,282,152,146,65.177,6
103,Kentucky,SEC,4,7,-88.631,-39.609,78,0.364,0.357,0.006,0.023,108.571,197.203,152,282,140,143,31.584,38
2,LSU,SEC,12,0,225.825,251.697,2,1.000,0.980,0.020,0.130,317.606,91.781,451,134,142,146,53.165,16
63,Northwestern,Big Ten,5,6,2.892,97.547,18,0.455,0.674,-0.220,-1.521,276.106,273.214,312,306,113,112,13.460,51
94,Ball State,Mid-American,6,6,-73.515,-58.315,91,0.500,0.332,0.168,1.124,194.872,268.387,304,416,156,155,-23.259,83
15,Southern Miss,Conference USA,10,2,110.646,36.425,41,0.833,0.606,0.228,1.536,268.293,157.647,440,268,164,170,-68.349,115
86,Auburn,SEC,6,5,-53.491,16.241,51,0.545,0.546,-0.001,-0.025,188.235,241.727,256,336,136,139,62.487,9
6,Houston,Conference USA,11,1,191.822,73.303,25,0.917,0.679,0.237,1.602,368.293,176.471,604,300,164,170,-72.574,117
102,Colorado State,Mountain West,2,9,-83.919,-116.212,107,0.182,0.168,0.013,0.083,160.000,243.919,224,361,140,148,-45.107,105
76,Purdue,Big Ten,5,6,-38.945,-4.921,59,0.455,0.485,-0.030,-0.226,182.734,221.678,254,317,139,143,24.780,42
76,Syracuse,Big East,4,7,-37.228,-26.980,72,0.364,0.425,-0.061,-0.425,192.143,229.371,269,328,140,143,11.120,53
55,South Florida,Big East,4,7,16.192,24.864,48,0.364,0.585,-0.221,-1.508,187.333,171.141,281,255,150,149,10.049,55
9,TCU,Mountain West,9,2,147.287,68.432,27,0.818,0.688,0.130,0.876,320.144,172.857,445,242,139,140,-40.007,96
113,Ole Miss,SEC,1,10,-151.519,-55.066,89,0.091,0.313,-0.223,-1.538,106.338,257.857,151,361,142,140,74.683,2
16,USC,Pac-12,10,2,95.309,129.991,11,0.833,0.817,0.016,0.089,291.837,196.528,429,283,147,144,42.308,24
109,Minnesota,Big Ten,3,8,-123.023,-62.656,92,0.273,0.343,-0.070,-0.499,162.810,285.833,197,343,121,120,66.105,5
27,BYU,FBS Independents,8,3,57.554,45.256,37,0.727,0.633,0.094,0.631,237.405,179.851,311,241,131,134,-24.704,81
38,Baylor,Big 12,8,3,37.707,93.971,19,0.727,0.685,0.042,0.277,326.897,289.189,474,428,145,148,57.521,13
23,Notre Dame,FBS Independents,8,4,81.063,112.049,13,0.667,0.796,-0.129,-0.900,254.167,173.103,366,251,144,145,39.763,29
77,Wake Forest,ACC,5,6,-41.095,-19.691,69,0.455,0.441,0.013,0.069,188.276,229.371,273,328,145,143,17.345,49
107,Middle Tennessee,Sun Belt,2,10,-109.434,-165.084,114,0.167,0.097,0.070,0.464,167.925,277.358,267,441,159,159,-64.875,113
120,New Mexico,Mountain West,1,10,-259.970,-184.655,116,0.091,0.027,0.064,0.423,77.344,337.313,99,452,128,134,-18.517,78
41,Utah State,Western Athletic,6,5,34.771,-15.592,68,0.545,0.460,0.086,0.574,255.319,220.548,360,322,141,146,-41.467,97
91,UCLA,Pac-12,6,7,-64.541,-7.672,66,0.462,0.478,-0.016,-0.119,200.649,265.190,309,419,154,158,49.187,19
26,Louisiana Tech,Western Athletic,7,4,58.613,16.077,52,0.636,0.560,0.077,0.504,212.667,154.054,319,228,150,148,-15.194,70
114,Indiana,Big Ten,0,11,-162.071,-82.223,99,0.000,0.295,-0.295,-2.031,154.225,316.296,219,427,142,135,41.616,26
91,Boston College,ACC,3,8,-67.153,-43.840,82,0.273,0.318,-0.045,-0.327,126.277,193.431,173,265,137,137,23.302,44
8,Oregon,Pac-12,10,2,157.283,182.922,4,0.833,0.890,-0.057,-0.396,329.697,172.414,544,300,165,174,49.966,18
64,Western Kentucky,Sun Belt,7,4,2.253,-44.489,83,0.636,0.353,0.283,1.911,182.394,180.142,259,254,142,141,-52.720,108
68,Miami (OH),Mid-American,4,8,-10.150,-49.190,85,0.333,0.337,-0.004,-0.047,168.421,178.571,256,275,152,154,-38.620,98
78,Fresno State,Western Athletic,3,9,-41.044,-32.241,74,0.250,0.416,-0.166,-1.132,216.352,257.396,344,435,159,169,-9.032,66
24,Georgia,SEC,9,3,58.853,90.978,21,0.750,0.775,-0.025,-0.181,220.245,161.392,359,255,163,158,36.787,33
108,Idaho,Western Athletic,1,10,-122.438,-126.358,109,0.091,0.138,-0.047,-0.325,125.949,248.387,199,385,158,155,-14.302,70
59,Louisiana,Sun Belt,7,4,10.809,-52.790,87,0.636,0.358,0.278,1.878,220.126,209.317,350,337,159,161,-61.500,111
105,New Mexico State,Western Athletic,4,9,-98.739,-101.778,106,0.308,0.235,0.073,0.484,194.512,293.252,319,478,164,163,-42.822,99
