Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Stanford,Pac-12,6,0,305.599,218.739,3,1.000,0.949,0.051,0.283,428.788,123.188,283,85,66,69,-32.663,94
2,Alabama,SEC,8,0,286.371,279.944,1,1.000,0.951,0.049,0.276,346.154,59.783,315,55,91,92,-7.479,68
3,Wisconsin,Big Ten,5,1,277.597,178.249,6,0.833,0.914,-0.080,-0.526,395.652,118.056,273,85,69,72,-21.449,79
4,LSU,SEC,7,0,205.841,220.868,2,1.000,0.960,0.040,0.215,308.140,102.299,265,89,86,87,26.519,33
5,Houston,Conference USA,5,0,199.905,71.137,27,1.000,0.662,0.338,2.060,396.875,196.970,254,130,64,66,-78.491,111
6,Boise State,Mountain West,5,0,187.500,141.287,10,1.000,0.839,0.161,0.966,337.500,150.000,216,96,64,64,-19.348,76
7,Oklahoma,Big 12,6,1,173.868,166.809,7,0.857,0.927,-0.070,-0.462,300.971,127.103,310,136,103,107,35.861,25
8,Michigan,Big Ten,6,1,173.156,147.420,9,0.857,0.865,-0.007,-0.076,298.765,125.610,242,103,81,82,-5.802,63
9,Temple,Mid-American,4,3,161.111,64.844,31,0.571,0.755,-0.184,-1.166,261.111,100.000,188,73,72,73,-22.127,83
10,TCU,Mountain West,4,2,153.947,74.660,24,0.667,0.727,-0.060,-0.402,328.947,175.000,250,140,76,80,-34.371,96
11,Oregon,Pac-12,4,1,151.841,185.106,4,0.800,0.912,-0.112,-0.719,307.246,155.405,212,115,69,74,56.582,13
12,Oklahoma State,Big 12,7,0,141.707,161.962,8,1.000,0.880,0.120,0.710,320.755,179.048,340,188,106,105,34.580,26
13,Kansas State,Big 12,6,0,124.602,131.908,11,1.000,0.848,0.152,0.909,304.054,179.452,225,131,74,73,32.866,28
14,Michigan State,Big Ten,5,1,122.306,124.538,12,0.833,0.867,-0.033,-0.235,239.189,116.883,177,90,74,77,29.749,32
15,Clemson,ACC,7,0,115.710,108.111,15,1.000,0.747,0.253,1.532,295.918,180.208,290,173,98,96,-4.255,59
16,Southern Miss,Conference USA,4,1,111.364,82.003,21,0.800,0.742,0.058,0.327,264.789,153.425,188,112,71,73,-41.833,97
17,Cincinnati,Big East,5,1,110.843,17.654,48,0.833,0.560,0.273,1.658,259.036,148.193,215,123,83,83,-61.858,103
18,South Carolina,SEC,6,1,108.595,70.058,29,0.857,0.713,0.144,0.862,246.739,138.144,227,134,92,97,-6.105,64
19,Texas A&M,Big 12,4,2,105.731,182.337,5,0.667,0.893,-0.226,-1.425,319.481,213.750,246,171,77,80,71.343,7
20,Florida State,ACC,3,3,101.723,116.296,13,0.500,0.825,-0.325,-2.035,266.197,164.474,189,125,71,76,16.761,41
21,Georgia Tech,ACC,5,2,92.654,56.167,34,0.714,0.651,0.063,0.359,305.000,212.346,244,172,80,81,-13.281,72
22,Virginia Tech,ACC,6,1,74.312,53.926,35,0.857,0.681,0.176,1.060,209.195,134.884,182,116,87,86,-24.757,86
23,Florida,SEC,4,3,71.037,47.633,36,0.571,0.686,-0.114,-0.737,216.092,145.055,188,132,87,91,8.214,47
24,Arkansas,SEC,5,1,70.845,76.490,23,0.833,0.711,0.122,0.724,247.674,176.829,213,145,86,82,33.477,27
25,Notre Dame,FBS Independents,4,3,65.060,105.253,16,0.571,0.779,-0.208,-1.315,254.217,189.157,211,157,83,83,44.694,20
26,Iowa,Big Ten,4,2,62.473,44.933,37,0.667,0.605,0.061,0.349,282.192,219.718,206,156,73,71,-26.841,87
27,Ohio,Mid-American,3,3,59.899,-33.615,65,0.500,0.413,0.087,0.509,232.051,172.152,181,136,78,79,-84.439,112
28,Penn State,Big Ten,6,1,59.225,83.284,20,0.857,0.842,0.015,0.066,170.588,111.364,145,98,85,88,22.939,37
29,Nebraska,Big Ten,4,1,57.738,86.483,19,0.800,0.687,0.113,0.670,296.721,238.983,181,141,61,59,31.319,31
30,Toledo,Mid-American,4,3,55.458,44.240,38,0.571,0.616,-0.045,-0.308,248.936,193.478,234,178,94,92,2.560,51
31,USC,Pac-12,6,1,53.690,77.050,22,0.857,0.700,0.157,0.943,251.190,197.500,211,158,84,80,23.358,36
32,Ohio State,Big Ten,4,3,52.112,57.117,33,0.571,0.744,-0.173,-1.099,183.146,131.034,163,114,89,87,20.763,39
33,Arizona State,Pac-12,4,2,50.664,113.322,14,0.667,0.801,-0.135,-0.861,222.093,171.429,191,144,86,84,58.074,11
34,Rutgers,Big East,4,2,49.070,35.621,41,0.667,0.642,0.025,0.126,187.342,138.272,148,112,79,81,-5.114,61
35,SMU,Conference USA,4,2,49.020,29.209,42,0.667,0.566,0.101,0.594,323.529,274.510,165,140,51,51,38.079,24
36,Texas Tech,Big 12,3,2,47.714,92.257,17,0.600,0.709,-0.109,-0.706,292.000,244.286,219,171,75,70,63.894,9
37,Arkansas State,Sun Belt,4,2,46.137,-27.031,64,0.667,0.413,0.253,1.537,198.701,152.564,153,119,77,78,-52.026,98
38,Baylor,Big 12,3,2,43.655,90.189,18,0.600,0.665,-0.065,-0.430,340.625,296.970,218,196,64,66,57.262,12
39,Illinois,Big Ten,5,2,42.243,35.769,40,0.714,0.626,0.088,0.514,196.591,154.348,173,142,88,92,-4.091,58
40,West Virginia,Big East,4,2,42.223,37.667,39,0.667,0.593,0.074,0.427,269.620,227.397,213,166,79,73,7.336,48
41,Mississippi State,SEC,2,4,40.666,13.674,51,0.333,0.552,-0.219,-1.383,184.416,143.750,142,115,77,80,3.758,50
42,Miami,ACC,3,3,29.950,70.987,28,0.500,0.671,-0.171,-1.084,247.692,217.742,161,135,65,62,54.388,14
43,Georgia,SEC,4,2,27.115,58.381,32,0.667,0.682,-0.015,-0.124,203.659,176.543,167,143,82,81,24.707,34
44,Florida International,Sun Belt,4,3,26.729,-50.183,74,0.571,0.345,0.226,1.370,205.618,178.889,183,161,89,90,-73.114,108
