Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Alabama,SEC,10,1,238.230,233.710,1,0.909,0.983,-0.074,-0.451,319.847,81.618,419,111,131,136,45.534,27
2,Northern Illinois,Mid-American,10,1,210.470,18.277,51,0.909,0.539,0.370,2.226,385.470,175.000,451,203,117,116,-96.994,117
3,Oregon,Pac-12,10,1,193.128,198.464,2,0.909,0.899,0.010,0.055,348.408,155.280,547,250,157,161,52.260,25
4,Texas A&M,SEC,7,2,167.225,197.496,3,0.778,0.909,-0.131,-0.798,308.547,141.322,361,171,117,121,74.903,9
5,Kansas State,Big 12,9,1,151.412,171.601,4,0.900,0.874,0.026,0.151,334.746,183.333,395,220,118,120,44.400,29
6,Notre Dame,FBS Independents,12,0,145.895,166.446,5,1.000,0.953,0.047,0.280,232.609,86.713,321,124,138,143,35.631,34
7,Florida State,ACC,8,2,144.118,88.964,22,0.800,0.761,0.039,0.230,275.000,130.882,374,178,136,136,-14.145,68
8,Georgia,SEC,10,1,141.114,127.893,11,0.909,0.842,0.067,0.398,274.000,132.886,411,198,150,149,19.084,42
9,Boise State,Mountain West,9,2,140.105,73.268,28,0.818,0.722,0.096,0.577,258.015,117.910,338,158,131,134,-59.359,109
10,Fresno State,Mountain West,8,3,119.880,62.314,31,0.727,0.693,0.035,0.205,271.951,152.071,446,257,164,169,-36.508,88
11,Clemson,ACC,9,2,113.859,88.833,23,0.818,0.707,0.111,0.668,307.237,193.377,467,292,152,151,-12.472,66
12,South Carolina,SEC,9,2,112.535,137.374,10,0.818,0.867,-0.049,-0.301,255.797,143.262,353,202,138,141,38.410,32
13,UCF,Conference USA,9,3,111.305,38.481,42,0.750,0.608,0.142,0.854,281.699,170.395,431,259,153,152,-62.008,112
14,Ohio State,Big Ten,12,0,110.652,101.087,16,1.000,0.760,0.240,1.444,278.750,168.098,446,274,160,163,-1.091,54
15,Oklahoma,Big 12,8,2,110.117,152.181,7,0.800,0.852,-0.052,-0.318,307.087,196.970,390,260,127,132,66.758,15
16,Stanford,Pac-12,9,2,96.549,142.274,9,0.818,0.908,-0.089,-0.544,219.728,123.179,323,186,147,151,61.621,19
17,San Diego State,Mountain West,8,2,95.630,27.662,48,0.800,0.581,0.219,1.313,274.797,179.167,338,215,123,120,-55.723,103
18,Florida,SEC,10,1,93.198,150.218,8,0.909,0.924,-0.015,-0.098,205.517,112.319,298,155,145,138,67.964,14
19,Wisconsin,Big Ten,5,5,87.435,81.830,26,0.500,0.755,-0.255,-1.541,223.256,135.821,288,182,129,134,12.885,45
20,Michigan,Big Ten,8,4,85.766,76.828,27,0.667,0.708,-0.041,-0.253,250.000,164.234,360,225,144,137,17.847,43
21,LSU,SEC,8,2,81.138,159.568,6,0.800,0.908,-0.108,-0.657,209.600,128.462,262,167,125,130,78.414,7
22,Kent State,Mid-American,10,1,79.641,-6.830,60,0.909,0.480,0.429,2.585,251.351,171.711,372,261,148,152,-87.601,116
23,Texas,Big 12,8,3,79.478,117.059,14,0.727,0.782,-0.054,-0.333,309.848,230.370,409,311,132,135,33.241,36
24,Penn State,Big Ten,8,4,78.431,67.977,29,0.667,0.712,-0.045,-0.277,228.105,149.673,349,229,153,153,-13.018,67
25,Cincinnati,Big East,6,3,78.188,49.080,36,0.667,0.671,-0.005,-0.033,221.667,143.478,266,165,120,115,-21.500,72
26,BYU,FBS Independents,3,4,76.559,94.324,20,0.429,0.808,-0.379,-2.291,207.955,131.395,183,113,88,86,34.895,35
27,UCLA,Pac-12,9,3,76.527,97.239,18,0.750,0.769,-0.019,-0.120,249.711,173.184,432,310,173,179,40.834,31
28,USC,Pac-12,7,5,75.612,114.765,15,0.583,0.788,-0.204,-1.238,261.146,185.535,410,295,157,159,55.385,23
29,UL Monroe,Sun Belt,8,4,68.408,-0.743,58,0.667,0.498,0.169,1.012,308.696,240.288,426,334,138,139,-31.965,84
30,Arizona State,Pac-12,6,5,63.870,98.476,17,0.545,0.777,-0.231,-1.400,233.750,169.880,374,282,160,166,42.854,30
31,Oklahoma State,Big 12,6,4,63.444,119.148,13,0.600,0.785,-0.185,-1.121,286.301,222.857,418,312,146,140,71.929,10
32,Oregon State,Pac-12,8,3,59.541,125.514,12,0.727,0.849,-0.122,-0.740,215.541,156.000,319,234,148,150,78.241,8
33,Rutgers,Big East,8,2,58.594,34.147,45,0.800,0.642,0.158,0.946,176.562,117.969,226,151,128,128,-32.498,85
34,Nebraska,Big Ten,9,2,58.278,93.680,21,0.818,0.753,0.066,0.390,233.113,174.834,352,264,151,151,29.959,37
35,Northwestern,Big Ten,8,3,52.482,63.818,30,0.727,0.667,0.060,0.357,241.135,188.652,340,266,141,141,4.627,48
36,Louisville,Big East,8,2,52.115,11.835,54,0.800,0.529,0.271,1.628,268.644,216.529,317,262,118,121,-42.182,91
37,Tulsa,Conference USA,8,3,51.205,17.370,52,0.727,0.560,0.168,1.006,214.458,163.253,356,271,166,166,-29.531,80
38,Toledo,Mid-American,8,3,50.066,-7.167,61,0.727,0.479,0.248,1.491,251.408,201.342,357,300,142,149,-56.416,104
39,Vanderbilt,SEC,7,4,48.223,56.556,33,0.636,0.698,-0.062,-0.377,201.370,153.147,294,219,146,143,20.364,40
40,North Carolina,ACC,6,4,34.347,2.126,57,0.600,0.505,0.095,0.565,265.926,231.579,359,308,135,133,-34.832,86
41,Baylor,Big 12,5,5,34.080,82.081,25,0.500,0.663,-0.163,-0.988,333.333,299.254,440,401,132,134,60.713,20
42,Pittsburgh,Big East,4,5,32.944,34.325,44,0.444,0.596,-0.152,-0.921,209.091,176.147,230,192,110,109,1.998,51
43,Michigan State,Big Ten,6,6,29.501,53.606,34,0.500,0.719,-0.219,-1.324,156.774,127.273,243,196,155,154,24.853,39
44,Arkansas State,Sun Belt,7,3,28.904,13.097,53,0.700,0.532,0.168,1.006,270.968,242.063,336,305,124,126,-16.730,70
45,Bowling Green,Mid-American,6,4,28.697,-32.529,69,0.600,0.373,0.227,1.364,155.970,127.273,209,168,134,132,-70.960,113
46,Georgia Tech,ACC,5,6,26.545,24.922,49,0.455,0.556,-0.101,-0.616,292.969,266.423,375,365,128,137,-3.163,57
47,TCU,Big 12,6,4,24.803,82.833,24,0.600,0.780,-0.180,-1.088,199.286,174.483,279,253,140,145,49.839,26
48,Mississippi State,SEC,7,4,22.242,42.475,38,0.636,0.627,0.009,0.049,217.730,195.489,307,260,141,133,38.246,33
49,Nevada,Mountain West,5,4,21.350,-51.564,81,0.556,0.387,0.168,1.011,291.525,270.175,344,308,118,114,-58.011,106
50,Ball State,Mid-American,9,3,20.457,-32.488,68,0.750,0.413,0.337,2.026,267.516,247.059,420,378,157,153,-58.124,107
51,Louisiana,Sun Belt,6,4,15.419,3.637,56,0.600,0.510,0.090,0.540,246.763,231.343,343,310,139,134,-19.417,71
