Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Alabama,SEC,8,0,265.976,250.746,1,1.000,0.987,0.013,0.092,331.633,65.657,325,65,98,99,28.404,34
2,Kansas State,Big 12,7,0,241.975,224.102,2,1.000,0.908,0.092,0.511,400.000,158.025,304,128,76,81,35.584,28
3,Oregon,Pac-12,7,0,230.981,195.753,3,1.000,0.918,0.082,0.459,364.000,133.019,364,141,100,106,20.360,43
4,Florida State,ACC,6,1,184.309,96.941,18,0.857,0.816,0.041,0.242,293.684,109.375,279,105,95,96,-29.658,83
5,Northern Illinois,Mid-American,7,1,170.000,8.685,54,0.875,0.516,0.359,1.933,385.000,215.000,308,172,80,80,-81.961,116
6,Texas A&M,SEC,4,2,167.244,169.022,6,0.667,0.895,-0.228,-1.195,293.750,126.506,235,105,80,83,63.290,14
7,Notre Dame,FBS Independents,8,0,145.305,185.491,4,1.000,0.964,0.036,0.215,229.348,84.043,211,79,92,94,55.050,22
8,Oklahoma,Big 12,4,2,141.108,182.937,5,0.667,0.925,-0.258,-1.353,282.667,141.558,212,109,75,77,88.304,5
9,Boise State,Mountain West,7,1,125.263,90.631,20,0.875,0.777,0.098,0.543,240.000,114.737,228,109,95,95,-37.147,89
10,UCF,Conference USA,6,2,118.693,11.699,50,0.750,0.534,0.216,1.172,288.000,169.307,288,171,100,101,-84.215,117
11,USC,Pac-12,6,2,118.357,106.972,16,0.750,0.801,-0.051,-0.249,264.151,145.794,280,156,106,107,9.815,50
12,Ohio State,Big Ten,9,0,114.555,99.874,17,1.000,0.767,0.233,1.264,286.777,172.222,347,217,121,126,-4.097,62
13,South Carolina,SEC,7,2,112.801,117.233,12,0.778,0.836,-0.058,-0.286,252.632,139.831,288,165,114,118,20.085,44
14,UL Monroe,Sun Belt,6,2,110.112,24.988,44,0.750,0.563,0.187,1.016,352.809,242.697,314,216,89,89,-29.476,82
15,Florida,SEC,7,1,105.442,147.854,7,0.875,0.924,-0.049,-0.240,209.524,104.082,220,102,105,98,58.312,17
16,Clemson,ACC,6,1,103.169,79.420,24,0.857,0.681,0.176,0.958,302.105,198.936,287,187,95,94,-24.030,77
17,Georgia,SEC,7,1,103.047,79.041,25,0.875,0.713,0.162,0.882,264.865,161.818,294,178,111,110,10.561,48
18,LSU,SEC,5,1,93.468,146.019,8,0.833,0.913,-0.079,-0.401,196.000,102.532,147,81,75,79,61.618,15
