Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
14,USC,Big Ten,9,3,133.465,146.404,14,0.750,0.801,-0.051,-0.301,350.400,216.935,438,269,125,124,47.096,42
17,Ole Miss,SEC,10,1,126.564,132.311,17,0.909,0.785,0.124,0.655,313.386,186.822,398,241,127,129,39.009,52
6,Utah,Big 12,9,2,180.108,231.202,3,0.818,0.926,-0.108,-0.612,346.774,166.667,430,215,124,129,60.919,28
51,TCU,Big 12,7,4,32.007,94.723,29,0.636,0.741,-0.105,-0.595,251.538,219.531,327,281,130,128,64.399,23
127,Purdue,Big Ten,1,10,-140.014,-9.373,72,0.091,0.472,-0.381,-2.104,159.167,299.180,191,365,120,122,99.845,3
25,Virginia,ACC,9,3,81.335,72.253,36,0.750,0.708,0.042,0.229,252.083,170.748,363,251,144,147,-0.892,68
33,Penn State,Big Ten,5,6,71.626,115.636,19,0.455,0.755,-0.301,-1.663,293.750,222.124,329,251,112,113,60.670,29
11,Georgia,SEC,11,1,138.705,173.616,9,0.917,0.892,0.025,0.132,290.977,152.273,387,201,133,132,50.284,40
21,Arizona,Big 12,8,3,89.368,135.649,15,0.727,0.854,-0.127,-0.713,254.074,164.706,343,224,135,136,59.988,30
97,Temple,American Athletic,4,7,-58.253,-69.531,92,0.364,0.342,0.022,0.096,242.609,300.862,279,349,115,116,-33.478,86
79,Kansas,Big 12,4,7,-21.564,59.631,42,0.364,0.631,-0.267,-1.483,244.538,266.102,291,314,119,118,78.477,12
88,California,ACC,6,5,-39.695,-37.253,84,0.545,0.397,0.148,0.788,200.763,240.458,263,315,131,131,-6.388,72
12,South Florida,American Athletic,8,3,135.507,99.423,27,0.727,0.749,-0.022,-0.141,328.261,192.754,453,266,138,138,-22.401,77
89,Maryland,Big Ten,3,8,-40.131,-15.481,75,0.273,0.451,-0.178,-0.995,184.496,224.627,238,301,129,134,30.529,58
46,Texas State,Sun Belt,5,6,40.115,-12.171,73,0.455,0.475,-0.020,-0.133,315.873,275.758,398,364,126,132,-60.889,111
92,App State,Sun Belt,4,7,-49.028,-94.696,105,0.364,0.267,0.097,0.505,210.370,259.398,284,345,135,133,-71.519,118
29,UNLV,Mountain West,9,3,79.286,30.832,53,0.750,0.566,0.184,1.013,325.000,245.714,429,344,132,140,-55.310,102
54,Auburn,SEC,4,7,24.071,81.610,30,0.364,0.753,-0.390,-2.150,208.871,184.800,259,231,124,125,61.345,27
31,Michigan,Big Ten,9,3,77.318,102.492,22,0.750,0.780,-0.030,-0.187,247.015,169.697,331,224,134,132,55.030,34
30,Tennessee,SEC,7,4,79.165,101.911,24,0.636,0.716,-0.080,-0.457,325.781,246.617,417,328,128,133,33.930,55
108,Wisconsin,Big Ten,4,8,-79.144,28.958,55,0.333,0.608,-0.275,-1.524,123.200,202.344,154,259,125,128,95.734,4
37,Tulane,American Athletic,11,2,54.685,29.847,56,0.846,0.589,0.257,1.416,252.000,197.315,378,294,150,149,-26.899,81
86,Mississippi State,SEC,4,7,-39.367,27.814,57,0.364,0.575,-0.211,-1.175,217.986,257.353,303,350,139,136,62.873,25
37,Florida State,ACC,4,7,54.133,64.276,41,0.364,0.666,-0.302,-1.671,268.067,213.934,319,261,119,122,41.044,48
75,South Carolina,SEC,3,8,-13.341,56.951,43,0.273,0.683,-0.410,-2.261,182.812,196.154,234,255,128,130,74.112,15
19,Washington,Big Ten,7,4,102.547,135.223,16,0.636,0.797,-0.161,-0.900,296.460,193.913,335,223,113,115,56.005,33
1,Indiana,Big Ten,12,0,251.561,238.554,2,1.000,0.967,0.033,0.179,357.576,106.015,472,141,132,133,66.754,21
102,Michigan State,Big Ten,3,8,-62.192,-18.042,78,0.273,0.454,-0.181,-1.013,201.587,263.780,254,335,126,127,54.789,35
23,Texas A&M,SEC,10,1,89.189,155.128,12,0.909,0.830,0.079,0.408,281.159,191.971,388,263,138,137,63.576,24
58,Western Kentucky,Conference USA,7,4,18.355,-73.379,97,0.636,0.311,0.326,1.756,222.059,203.704,302,275,136,135,-88.395,131
98,Minnesota,Big Ten,6,5,-58.634,5.472,68,0.545,0.516,0.029,0.137,177.500,236.134,213,281,120,119,48.573,39
38,Ohio,Mid-American,7,4,52.346,-14.137,74,0.636,0.462,0.174,0.929,241.322,188.976,292,240,121,127,-71.433,117
69,Utah State,Mountain West,5,6,0.709,-17.454,77,0.455,0.450,0.005,0.002,236.170,235.461,333,332,141,141,-12.570,75
100,Wyoming,Mountain West,3,8,-60.000,-93.907,104,0.273,0.177,0.095,0.499,123.846,183.846,161,239,130,130,-28.067,81
49,Georgia Tech,ACC,8,3,33.391,50.126,44,0.727,0.619,0.108,0.568,281.667,248.276,338,288,120,116,12.935,62
