Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Alabama,SEC,8,0,278.741,224.975,1,1.000,0.981,0.019,0.116,358.333,79.592,344,78,96,98,28.198,44
2,Ohio State,Big Ten,6,1,250.562,184.629,6,0.857,0.948,-0.091,-0.520,371.910,121.348,331,108,89,89,6.735,61
3,UCF,American Athletic,6,0,245.626,180.933,7,1.000,0.895,0.105,0.613,383.784,138.158,284,105,74,76,-36.710,101
4,Penn State,Big Ten,7,0,225.829,197.514,4,1.000,0.956,0.044,0.257,297.872,72.043,280,67,94,93,31.567,39
5,Wisconsin,Big Ten,7,0,206.585,175.168,8,1.000,0.910,0.090,0.524,320.000,113.415,256,93,80,82,-8.769,75
6,Washington,Pac-12,5,1,199.698,167.197,10,0.833,0.928,-0.094,-0.541,292.754,93.056,202,67,69,72,-10.473,78
7,Georgia,SEC,6,0,180.146,209.064,2,1.000,0.962,0.038,0.225,276.250,96.104,221,74,80,77,41.736,30
8,Oklahoma State,Big 12,6,1,179.985,158.427,11,0.857,0.846,0.011,0.071,347.727,167.742,306,156,88,93,19.822,54
9,Notre Dame,FBS Independents,6,1,176.919,207.666,3,0.857,0.932,-0.075,-0.429,291.919,115.000,289,115,99,100,42.901,29
10,Virginia Tech,ACC,5,1,176.190,118.929,18,0.833,0.888,-0.054,-0.310,276.190,100.000,232,89,84,89,3.547,64
11,Auburn,SEC,5,2,164.130,153.336,12,0.714,0.918,-0.204,-1.172,289.130,125.000,266,115,92,92,20.943,52
12,Oklahoma,Big 12,6,1,164.099,142.657,15,0.857,0.783,0.074,0.436,362.963,198.864,294,175,81,88,26.628,46
13,South Florida,American Athletic,6,0,162.222,67.437,30,1.000,0.691,0.309,1.793,288.889,126.667,260,114,90,90,-89.285,123
14,Clemson,ACC,6,1,157.849,184.734,5,0.857,0.939,-0.082,-0.468,260.000,102.151,234,95,90,93,55.300,19
15,TCU,Big 12,6,0,148.067,151.939,13,1.000,0.924,0.076,0.444,288.608,140.541,228,104,79,74,20.733,53
16,Stanford,Pac-12,5,2,138.353,83.424,25,0.714,0.708,0.006,0.041,321.687,183.333,267,154,83,84,1.707,67
17,Marshall,Conference USA,6,1,122.164,38.478,47,0.857,0.628,0.229,1.332,234.524,112.360,197,100,84,89,-77.474,120
