Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Ohio State,Big Ten,10,1,254.209,229.346,1,0.909,0.961,-0.052,-0.300,352.542,98.333,416,118,118,120,36.397,49
2,Army,American Athletic,8,1,233.524,79.418,32,0.889,0.713,0.176,1.039,380.263,146.739,289,135,76,92,-78.208,124
3,Notre Dame,FBS Independents,10,1,231.538,183.420,3,0.909,0.930,-0.021,-0.117,330.000,98.462,429,128,130,130,14.631,63
4,Texas,SEC,10,1,202.173,177.451,5,0.909,0.943,-0.034,-0.196,299.254,97.080,401,133,134,137,27.476,57
5,Tulane,American Athletic,8,2,182.619,111.180,18,0.800,0.786,0.014,0.086,335.897,153.279,393,187,117,122,-31.913,91
6,Penn State,Big Ten,10,1,174.674,178.576,4,0.909,0.904,0.005,0.036,312.281,137.607,356,161,114,117,35.922,50
7,Oregon,Big Ten,10,0,172.727,201.953,2,1.000,0.922,0.078,0.467,317.273,144.545,349,159,110,110,32.572,54
8,Indiana,Big Ten,9,1,171.946,148.827,12,0.900,0.824,0.076,0.452,333.628,161.682,377,173,113,107,13.092,65
9,Miami,ACC,9,1,167.013,152.995,11,0.900,0.801,0.099,0.588,375.862,208.850,436,236,116,113,16.729,62
10,Ole Miss,SEC,7,3,163.213,174.815,6,0.700,0.927,-0.227,-1.329,287.603,124.390,348,153,121,123,41.526,41
11,Tennessee,SEC,8,2,148.935,96.290,28,0.800,0.836,-0.036,-0.207,259.091,110.156,342,141,132,128,16.874,61
12,Alabama,SEC,7,3,134.807,156.140,9,0.700,0.866,-0.166,-0.967,283.607,148.800,346,186,122,125,69.796,11
13,Boise State,Mountain West,9,1,130.172,105.857,22,0.900,0.732,0.168,0.991,342.241,212.069,397,246,116,116,-31.354,90
14,SMU,ACC,9,1,129.609,154.941,10,0.900,0.840,0.060,0.356,303.252,173.643,373,224,123,129,24.899,58
15,Texas State,Sun Belt,5,5,121.295,26.191,60,0.500,0.570,-0.070,-0.406,312.821,191.525,366,226,117,118,-55.053,107
16,James Madison,Sun Belt,7,3,119.685,21.279,63,0.700,0.567,0.133,0.785,283.465,163.780,360,208,127,127,-69.923,121
17,Clemson,ACC,8,2,99.703,98.750,26,0.800,0.762,0.038,0.230,279.231,179.528,363,228,130,127,23.851,59
18,UNLV,Mountain West,8,2,97.482,48.068,44,0.800,0.636,0.164,0.969,287.805,190.323,354,236,123,124,-30.740,88
19,Georgia,SEC,8,2,95.368,160.051,7,0.800,0.858,-0.058,-0.336,268.644,173.276,317,201,118,116,67.864,12
20,South Carolina,SEC,7,3,93.187,156.894,8,0.700,0.884,-0.184,-1.076,244.800,151.613,306,188,125,124,73.919,10
21,Louisiana,Sun Belt,8,2,91.064,22.758,62,0.800,0.552,0.248,1.464,324.074,233.010,350,240,108,103,-60.653,111
22,Iowa State,Big 12,8,2,89.658,119.010,15,0.800,0.795,0.005,0.034,270.000,180.342,324,211,120,117,35.740,51
23,BYU,Big 12,8,2,88.300,131.967,13,0.800,0.811,-0.011,-0.060,270.909,182.609,298,210,110,115,42.180,39
24,Arizona State,Big 12,9,2,88.109,112.251,17,0.818,0.765,0.053,0.320,292.174,204.065,336,251,115,123,30.937,55
25,Jacksonville State,Conference USA,8,3,80.841,-44.765,87,0.727,0.393,0.334,1.970,306.767,225.926,408,305,133,135,-110.986,133
26,Colorado,Big 12,7,3,78.472,105.335,23,0.700,0.744,-0.044,-0.255,273.554,195.082,331,238,121,122,42.141,40
