Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
8,Nebraska,Big 12,5,3,137.667,79.819,20,0.625,0.831,-0.206,-1.321,221.000,83.333,221,90,100,108,-14.848,72
16,Tennessee,SEC,4,4,84.041,72.669,23,0.500,0.749,-0.249,-1.610,221.905,137.864,233,142,105,103,26.280,31
31,California,Pac-10,5,2,40.816,59.343,31,0.714,0.687,0.027,0.222,214.286,173.469,210,170,98,98,26.768,30
32,Texas A&M,Big 12,4,3,40.426,66.524,27,0.571,0.681,-0.110,-0.685,263.830,223.404,248,210,94,94,-8.655,65
67,Missouri,Big 12,3,3,-18.969,20.577,49,0.500,0.570,-0.070,-0.424,158.140,177.108,136,147,86,83,26.277,32
3,Cincinnati,Big East,6,0,176.228,163.410,3,1.000,0.900,0.100,0.705,282.895,106.667,215,80,76,75,-11.006,69
1,Texas,Big 12,8,0,192.308,163.211,4,1.000,0.917,0.083,0.589,285.470,93.162,334,109,117,117,8.370,49
20,Ole Miss,SEC,4,3,70.468,58.052,32,0.571,0.709,-0.138,-0.873,198.889,128.421,179,122,90,95,-5.267,59
27,Stanford,Pac-10,4,3,61.344,79.792,21,0.571,0.694,-0.123,-0.714,280.263,218.919,213,162,76,74,18.952,39
57,Michigan,Big Ten,4,4,4.554,-3.695,62,0.500,0.488,0.012,0.118,202.752,198.198,221,220,109,111,-5.692,61
7,Penn State,Big Ten,7,1,143.308,128.088,8,0.875,0.893,-0.018,-0.078,228.571,85.263,224,81,98,95,-18.267,76
92,UAB,Conference USA,3,5,-79.084,-99.466,100,0.375,0.232,0.143,0.987,217.582,296.667,198,267,91,90,-25.923,85
50,Tulsa,Conference USA,3,3,12.255,-61.428,85,0.500,0.270,0.230,1.562,170.588,158.333,145,133,85,84,-87.377,111
68,Purdue,Big Ten,3,6,-20.581,20.496,51,0.333,0.569,-0.236,-1.521,182.645,203.226,221,252,121,124,31.986,26
23,Clemson,ACC,4,3,67.527,101.970,15,0.571,0.850,-0.279,-1.691,190.385,122.857,198,129,104,105,44.907,16
62,Bowling Green,Mid-American,3,4,-3.226,-40.301,75,0.429,0.375,0.053,0.391,188.172,191.398,175,178,93,93,-37.466,93
28,Oklahoma State,Big 12,5,2,51.513,70.035,25,0.714,0.706,0.009,0.098,243.820,192.308,217,175,89,91,12.543,48
74,UCLA,Pac-10,3,5,-25.495,32.915,39,0.375,0.634,-0.259,-1.675,151.429,176.923,159,184,105,104,59.441,5
80,Army,FBS Independents,3,5,-44.493,-131.924,103,0.375,0.132,0.243,1.579,142.105,186.598,135,181,95,97,-76.552,109
10,LSU,SEC,7,1,122.754,90.308,15,0.875,0.811,0.064,0.463,229.348,106.593,211,97,92,91,-19.604,80
40,Arizona,Pac-10,4,2,25.905,90.636,19,0.667,0.754,-0.087,-0.491,228.571,202.667,176,152,77,75,59.271,10
86,North Texas,Sun Belt,2,6,-57.133,-105.696,101,0.250,0.257,-0.007,-0.004,264.516,321.649,246,312,93,97,-70.946,108
36,Wisconsin,Big Ten,4,2,37.991,70.486,24,0.667,0.716,-0.049,-0.287,201.282,163.291,157,129,78,79,50.453,11
90,Baylor,Big 12,2,5,-70.548,-39.587,73,0.286,0.369,-0.083,-0.509,130.588,201.136,111,177,85,88,35.418,24
47,UConn,Big East,3,4,14.591,23.815,44,0.429,0.576,-0.148,-0.937,186.813,172.222,170,155,91,90,3.789,53
100,Colorado State,Mountain West,1,5,-122.147,-90.295,95,0.167,0.276,-0.110,-0.686,163.768,285.915,113,203,69,71,19.870,39
5,Alabama,SEC,8,0,153.231,159.992,2,1.000,0.942,0.058,0.422,244.231,91.000,254,91,104,100,23.748,34
92,Buffalo,Mid-American,2,5,-81.022,-86.990,93,0.286,0.254,0.032,0.255,188.312,269.333,145,202,77,75,-24.216,84
59,South Carolina,SEC,5,3,-2.704,16.258,55,0.625,0.566,0.059,0.430,155.882,158.586,159,157,102,99,19.370,42
10,Ohio State,Big Ten,6,2,126.471,115.899,12,0.750,0.893,-0.143,-0.839,229.412,102.941,234,105,102,102,1.743,53
55,Miami,ACC,5,2,7.548,89.573,16,0.714,0.759,-0.045,-0.257,214.607,207.059,191,176,89,85,70.286,2
72,Minnesota,Big Ten,5,4,-23.546,14.285,58,0.556,0.542,0.013,0.128,190.090,213.636,211,235,111,110,40.443,21
21,BYU,Mountain West,5,2,72.941,26.006,48,0.714,0.575,0.139,0.931,284.706,211.765,242,180,85,85,-12.505,69
