Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
45,Texas State,Sun Belt,5,6,58.099,15.822,62,0.455,0.623328969,-0.169,-1.075,318.382,260.284,433,367,136,141,8.144,0.272
46,Auburn,SEC,4,7,58.068,76.999,33,0.364,0.668182941,-0.305,-2.320,237.778,179.710,321,248,135,138,39.654,1.326
47,Navy,American Athletic,9,2,56.957,61.026,36,0.818,0.625711674,0.192,2.238,306.557,249.600,374,312,122,125,32.041,1.071
48,Duke,ACC,8,5,54.356,44.788,45,0.615,0.618107866,-0.003,0.448,310.256,255.901,484,412,156,161,24.640,0.824
49,UTSA,American Athletic,6,6,52.582,55.013,38,0.500,0.623873192,-0.124,-0.663,286.957,234.375,462,375,161,160,31.287,1.046
50,Louisiana Tech,Conference USA,7,5,52.469,-4.625,89,0.583,0.664684269,-0.081,-0.273,219.136,166.667,355,270,162,162,-2.636,-0.088
51,Fresno State,Mountain West,8,4,51.499,6.677,71,0.667,0.667215841,-0.001,0.468,212.025,160.526,335,244,158,152,3.877,0.130
52,Western Kentucky,Conference USA,8,4,50.519,7.455,70,0.667,0.648348527,0.018,0.641,232.727,182.209,384,297,165,163,4.413,0.148
53,Boise State,Mountain West,8,5,48.753,69.711,34,0.615,0.638086355,-0.023,0.264,240.230,191.477,418,337,174,176,42.760,1.430
54,Illinois,Big Ten,8,4,48.307,105.500,23,0.667,0.615809643,0.051,0.939,280.882,232.576,382,307,136,132,65.311,2.184
55,Houston,Big 12,9,3,45.871,28.354,56,0.750,0.627365342,0.123,1.597,243.871,198.000,378,297,155,150,18.485,0.618
56,New Mexico,Mountain West,8,4,42.423,10.760,66,0.667,0.604919828,0.062,1.039,270.769,228.346,352,290,130,127,7.585,0.254
57,TCU,Big 12,8,4,41.941,37.713,53,0.667,0.606372692,0.060,1.026,264.238,222.297,399,329,151,148,26.890,0.899
58,Hawai'i,Mountain West,8,4,40.742,14.917,63,0.667,0.610307101,0.056,0.989,248.026,207.285,377,313,152,151,10.949,0.366
59,Wake Forest,ACC,7,4,38.878,26.424,57,0.636,0.627550197,0.009,0.553,206.410,167.532,322,258,156,154,20.325,0.680
60,Northwestern,Big Ten,6,6,37.766,38.491,52,0.500,0.610107708,-0.110,-0.537,230.303,192.537,304,258,132,134,30.479,1.019
61,Nebraska,Big Ten,6,6,34.323,39.857,49,0.500,0.585993899,-0.086,-0.316,264.539,230.216,373,320,141,139,34.726,1.161
62,Kansas State,Big 12,5,6,31.453,48.065,43,0.455,0.582512479,-0.128,-0.701,252.143,220.690,353,320,140,145,45.699,1.528
63,Tulane,American Athletic,11,3,31.432,41.860,46,0.786,0.587031483,0.199,2.295,239.506,208.075,388,335,162,161,39.826,1.332
64,NC State,ACC,7,5,28.225,51.549,40,0.583,0.570763097,0.013,0.588,262.000,233.775,393,353,150,151,54.616,1.826
65,LSU,SEC,6,6,27.139,45.082,44,0.500,0.591106807,-0.091,-0.363,198.000,170.861,297,258,150,151,49.676,1.661
66,Army,American Athletic,7,5,23.387,19.186,58,0.583,0.561079443,0.022,0.677,250.000,226.613,310,281,124,124,24.532,0.820
67,Jacksonville State,Conference USA,8,5,22.223,-1.890,86,0.615,0.560753079,0.055,0.974,238.788,216.564,394,353,165,163,-2.543,-0.085
68,Washington State,Pac-12,6,6,19.061,38.545,51,0.500,0.562938686,-0.063,-0.105,197.973,178.912,293,263,148,147,60.471,2.022
69,Utah State,Mountain West,5,7,17.470,15.847,61,0.417,0.546659884,-0.130,-0.720,242.169,224.699,402,373,166,166,27.126,0.907
70,Southern Miss,Sun Belt,6,6,13.893,0.132,81,0.500,0.538468143,-0.038,0.120,232.298,218.405,374,356,161,163,0.285,0.010
71,Miami (OH),Mid-American,6,7,11.943,5.942,75,0.462,0.537567018,-0.076,-0.225,204.348,192.405,329,304,161,158,14.878,0.498
72,South Carolina,SEC,3,8,10.482,16.102,60,0.273,0.534100489,-0.261,-1.924,197.101,186.620,272,265,138,142,45.939,1.536
73,Kansas,Big 12,4,7,10.265,18.611,59,0.364,0.525625782,-0.162,-1.013,255.303,245.038,337,321,132,131,54.218,1.813
74,UCF,Big 12,4,7,9.451,9.866,67,0.364,0.528528757,-0.165,-1.040,211.594,202.143,292,283,138,140,31.217,1.044
75,Kennesaw State,Conference USA,9,4,8.802,8.106,69,0.692,0.525344061,0.167,2.004,221.302,212.500,374,357,169,168,27.539,0.921
76,Marshall,Sun Belt,4,7,8.657,5.847,76,0.364,0.52252635,-0.159,-0.985,244.371,235.714,369,363,151,154,20.198,0.675
77,Arizona State,Big 12,7,5,8.006,12.422,64,0.583,0.524812921,0.059,1.009,205.521,197.516,335,318,163,161,46.400,1.552
78,Mississippi State,SEC,4,7,4.303,6.660,73,0.364,0.511268049,-0.148,-0.881,240.789,236.486,366,350,152,148,46.284,1.548
79,Buffalo,Mid-American,4,7,3.797,0.105,82,0.364,0.513155344,-0.150,-0.899,182.278,178.481,288,282,158,158,0.828,0.028
80,Arkansas,SEC,1,10,2.997,5.971,74,0.091,0.50624353,-0.415,-3.336,301.527,298.529,395,406,131,136,59.570,1.992
81,Minnesota,Big Ten,7,5,2.487,3.351,77,0.583,0.506846251,0.076,1.174,228.244,225.758,299,298,131,132,40.294,1.347
82,Liberty,Conference USA,3,8,0.459,0.281,80,0.273,0.501234603,-0.229,-1.623,232.576,232.117,307,318,132,137,18.287,0.612
