Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
44,Clemson,ACC,6,6,59.518,39.963,51.000,0.500,0.676514774,-0.177,-1.146,232.895,173.377,354,267,152,154,20.700,0.671
45,Georgia Tech,ACC,8,4,58.859,50.406,40.000,0.667,0.635921864,0.031,0.747,294.366,235.507,418,325,142,138,26.401,0.856
46,Texas State,Sun Belt,5,6,58.099,15.742,63.000,0.455,0.623328969,-0.169,-1.076,318.382,260.284,433,367,136,141,8.353,0.271
47,Auburn,SEC,4,7,58.068,87.284,31.000,0.364,0.668182941,-0.305,-2.316,237.778,179.710,321,248,135,138,46.340,1.503
48,Duke,ACC,7,5,57.996,49.641,43.000,0.583,0.625145269,-0.042,0.084,313.475,255.479,442,373,141,146,26.387,0.856
49,Navy,American Athletic,9,2,56.957,59.196,36.000,0.818,0.625711674,0.192,2.224,306.557,249.600,374,312,122,125,32.041,1.039
50,Nebraska,Big Ten,6,5,54.375,44.759,46.000,0.545,0.636962102,-0.092,-0.370,270.000,215.625,351,276,130,128,25.377,0.823
51,UTSA,American Athletic,6,6,52.582,53.364,38.000,0.500,0.623873192,-0.124,-0.665,286.957,234.375,462,375,161,160,31.287,1.015
52,Illinois,Big Ten,7,4,52.165,119.132,21.000,0.636,0.627448119,0.009,0.547,277.165,225.000,352,279,127,124,70.404,2.284
53,Houston,Big 12,8,3,51.947,38.516,52.000,0.727,0.64937451,0.078,1.177,237.762,185.816,340,262,143,141,22.858,0.741
54,Fresno State,Mountain West,8,4,51.499,5.717,76.000,0.667,0.667215841,-0.001,0.461,212.025,160.526,335,244,158,152,3.422,0.111
55,Western Kentucky,Conference USA,8,4,50.519,7.818,69.000,0.667,0.648348527,0.018,0.633,232.727,182.209,384,297,165,163,4.771,0.155
56,Boise State,Mountain West,8,5,48.753,67.885,34.000,0.615,0.638086355,-0.023,0.259,240.230,191.477,418,337,174,176,42.927,1.392
57,TCU,Big 12,7,4,45.030,32.381,55.000,0.636,0.61412655,0.022,0.669,265.468,220.438,369,302,139,137,22.169,0.719
58,New Mexico,Mountain West,8,4,42.423,12.465,65.000,0.667,0.604919828,0.062,1.030,270.769,228.346,352,290,130,127,9.058,0.294
59,Hawai'i,Mountain West,8,4,40.742,14.470,64.000,0.667,0.610307101,0.056,0.981,248.026,207.285,377,313,152,151,10.949,0.355
60,Wake Forest,ACC,7,4,38.878,25.676,57.000,0.636,0.627550197,0.009,0.546,206.410,167.532,322,258,156,154,20.360,0.660
61,Northwestern,Big Ten,6,6,37.766,42.369,47.000,0.500,0.610107708,-0.110,-0.540,230.303,192.537,304,258,132,134,34.586,1.122
62,Kansas State,Big 12,5,6,31.453,50.147,42.000,0.455,0.582512479,-0.128,-0.703,252.143,220.690,353,320,140,145,49.151,1.594
63,Tulane,American Athletic,11,3,31.432,41.900,48.000,0.786,0.587031483,0.199,2.281,239.506,208.075,388,335,162,161,41.096,1.333
64,NC State,ACC,7,5,28.225,50.170,41.000,0.583,0.570763097,0.013,0.581,262.000,233.775,393,353,150,151,54.797,1.777
65,LSU,SEC,6,5,27.542,50.794,39.000,0.545,0.598946514,-0.053,-0.023,185.816,158.273,262,220,141,139,56.855,1.844
66,Army,American Athletic,7,5,23.387,18.611,59.000,0.583,0.561079443,0.022,0.669,250.000,226.613,310,281,124,124,24.532,0.796
