Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac1,Indiana,Big Ten,15,0,273.3529111,532.1097709,1,1,0.960973335,0.039026665,0.837410001,378.4090909,105.0561798,666,187,176,178,57.26084701,1.946603637
32,Texas,SEC,10,3,84.61538462,118.9540227,19,0.769230769,0.733736347,0.035494422,0.804892495,253.8461538,169.2307692,396,264,156,156,41.35328723,1.405820268
33,Pittsburgh,ACC,7,5,81.45454545,94.84825827,26,0.583333333,0.714281414,-0.130948081,-0.727361807,265.4545455,184,438,322,165,175,34.25265759,1.164431742
34,Memphis,American Athletic,7,5,79.31991051,33.62789687,55,0.583333333,0.695935081,-0.112601748,-0.558467156,281.3333333,202.0134228,422,301,150,149,12.47089805,0.423952784
35,Texas State,Sun Belt,6,6,71.19480519,10.34025219,66,0.5,0.65434614,-0.15434614,-0.942762173,316,244.8051948,474,377,150,154,4.272312999,0.145238858
36,Navy,American Athletic,10,2,70.29251962,74.21709074,33,0.833333333,0.656740993,0.176592341,2.103826895,307.518797,237.2262774,409,325,133,137,31.05811209,1.055831988
37,Western Michigan,Mid-American,9,4,70.25316456,42.64298186,46,0.692307692,0.723193046,-0.030885354,0.193806415,220.2531646,150,348,243,158,162,17.85508456,0.606990192
38,UNLV,Mountain West,9,4,67.25113794,11.54785244,64,0.692307692,0.649410576,0.042897117,0.873041017,307.7419355,240.4907975,477,392,155,163,5.051051843,0.171712372
39,UConn,FBS Independents,8,4,67.13089542,-21.08355151,103,0.666666667,0.654296641,0.012370026,0.592011444,298.0519481,230.9210526,459,351,154,152,-9.238502206,-0.314066294
40,Iowa State,Big 12,7,4,65.90909091,61.94623141,36,0.636363636,0.683044811,-0.046681174,0.048391547,249.2424242,183.3333333,329,242,132,132,27.64711421,0.939873856
41,Louisville,ACC,8,4,65.69433191,90.88062515,27,0.666666667,0.691022861,-0.024356195,0.253913249,238.6503067,172.9559748,389,275,163,159,40.69336866,1.383386093
42,Ohio,Mid-American,8,4,61.65778455,36.10677635,53,0.666666667,0.666952784,-0.000286117,0.475500155,254.2253521,192.5675676,361,285,142,148,17.22586493,0.585599639
43,Louisiana Tech,Conference USA,7,5,59.63407662,-5.746431585,88,0.583333333,0.684999257,-0.101665924,-0.457792971,223.2704403,163.6363636,355,270,159,165,-2.834549066,-0.096361542
44,Clemson,ACC,6,6,59.51811347,41.76479446,47,0.5,0.676514774,-0.176514774,-1.146844568,232.8947368,173.3766234,354,267,152,154,20.64150832,0.701715697
45,Michigan,Big Ten,9,4,59.50963719,81.68492312,31,0.692307692,0.668289682,0.02401801,0.69924171,243.537415,184.0277778,358,265,147,144,40.37707361,1.372633526
46,Georgia Tech,ACC,8,4,58.85895081,49.6920169,41,0.666666667,0.635921864,0.030744803,0.761167943,294.3661972,235.5072464,418,325,142,138,24.83443851,0.844255907
