Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,TCU,Mountain West,11,0,236.994,176.015,3,1.000,0.933,0.067,0.413,331.884,94.891,458,130,138,137,-18.645,75
2,Oregon,Pac-10,11,0,217.657,221.449,2,1.000,0.934,0.066,0.405,355.782,138.125,523,221,147,160,54.457,14
3,Ohio State,Big Ten,11,1,203.076,140.693,8,0.917,0.886,0.031,0.190,311.184,108.108,473,160,152,148,-2.540,66
4,Stanford,Pac-10,10,1,189.251,225.071,1,0.909,0.928,-0.019,-0.121,345.600,156.349,432,197,125,126,68.641,9
5,Wisconsin,Big Ten,9,1,173.758,141.629,7,0.900,0.800,0.100,0.618,367.826,194.068,423,229,115,118,21.104,44
6,Virginia Tech,ACC,11,0,165.078,167.228,5,1.000,0.887,0.113,0.701,303.650,138.571,416,194,137,140,9.025,54
7,Northern Illinois,Mid-American,9,3,160.476,29.236,46,0.750,0.583,0.167,1.035,308.553,148.077,469,231,152,156,-80.321,107
8,UCF,Conference USA,9,3,143.778,58.293,33,0.750,0.670,0.080,0.497,315.748,171.970,401,227,127,132,-79.146,106
9,Auburn,SEC,12,0,139.161,171.411,4,1.000,0.840,0.160,0.992,344.755,205.594,493,294,143,143,50.473,16
10,Alabama,SEC,7,3,130.769,165.428,6,0.700,0.915,-0.215,-1.345,266.667,135.897,304,159,114,117,57.902,11
11,Oklahoma State,Big 12,10,2,126.561,115.280,16,0.833,0.775,0.059,0.361,311.561,185.000,539,333,173,180,4.333,59
12,Nebraska,Big 12,8,3,122.726,129.008,9,0.727,0.847,-0.119,-0.748,260.563,137.838,370,204,142,148,20.299,45
13,Utah,Mountain West,9,2,104.505,71.390,29,0.818,0.715,0.103,0.636,268.841,164.336,371,235,138,143,-4.292,67
14,Missouri,Big 12,9,2,100.722,121.626,14,0.818,0.875,-0.057,-0.359,218.056,117.333,314,176,144,150,21.726,42
15,West Virginia,Big East,8,3,100.167,84.938,24,0.727,0.782,-0.055,-0.348,207.914,107.746,289,153,139,142,-11.214,70
16,Iowa,Big Ten,6,5,96.463,97.925,20,0.545,0.802,-0.257,-1.604,243.750,147.287,312,190,128,129,22.662,41
17,Oklahoma,Big 12,10,2,96.060,124.867,11,0.833,0.854,-0.021,-0.132,246.927,150.867,442,261,179,173,48.548,17
18,Arkansas,SEC,9,2,95.017,123.866,12,0.818,0.786,0.033,0.199,282.517,187.500,404,270,143,144,37.437,29
19,LSU,SEC,9,2,92.381,122.590,13,0.818,0.844,-0.026,-0.164,235.338,142.958,313,203,133,142,43.150,24
20,Navy,FBS Independents,6,3,86.342,52.694,36,0.667,0.630,0.036,0.223,309.574,223.232,291,221,94,99,-19.710,76
21,Michigan State,Big Ten,10,1,74.245,86.049,23,0.909,0.740,0.169,1.047,248.872,174.627,331,234,133,134,8.404,56
22,South Carolina,SEC,8,4,72.447,115.097,17,0.667,0.805,-0.138,-0.865,266.197,193.750,378,279,142,144,56.223,12
23,Florida State,ACC,8,4,68.829,128.514,10,0.667,0.812,-0.145,-0.908,247.552,178.723,354,252,143,141,55.319,13
24,Georgia,SEC,5,6,66.689,49.503,37,0.455,0.640,-0.185,-1.159,269.697,203.008,356,270,132,133,19.291,46
25,Louisville,Big East,5,6,61.964,23.178,47,0.455,0.578,-0.124,-0.775,220.611,158.647,289,211,131,133,-17.910,74
26,Southern Miss,Conference USA,6,4,58.333,-6.250,57,0.600,0.486,0.114,0.703,336.667,278.333,404,334,120,120,-68.547,97
27,Tulsa,Conference USA,8,3,58.137,5.225,53,0.727,0.514,0.214,1.328,306.338,248.201,435,345,142,139,-60.129,90
28,Western Michigan,Mid-American,5,5,57.122,-24.613,63,0.500,0.424,0.076,0.470,232.857,175.735,326,239,140,136,-69.953,99
29,Florida,SEC,6,5,52.548,66.460,30,0.545,0.691,-0.146,-0.912,226.119,173.571,303,243,134,140,37.740,28
30,Air Force,Mountain West,7,4,52.203,43.400,38,0.636,0.609,0.028,0.168,266.116,213.913,322,246,121,115,-0.271,63
31,BYU,Mountain West,6,4,51.371,34.222,43,0.600,0.622,-0.022,-0.141,215.833,164.463,259,199,120,121,4.437,58
32,Illinois,Big Ten,5,5,48.485,64.726,32,0.500,0.680,-0.180,-1.128,247.727,199.242,327,263,132,132,24.408,38
33,Pittsburgh,Big East,6,5,46.792,56.597,35,0.545,0.664,-0.118,-0.741,218.110,171.318,277,221,127,129,10.286,53
34,Temple,Mid-American,7,4,45.070,-53.637,77,0.636,0.318,0.318,1.981,189.437,144.366,269,205,142,142,-83.296,108
35,Arizona,Pac-10,6,5,44.279,119.568,15,0.545,0.817,-0.272,-1.697,227.612,183.333,305,253,134,138,83.092,6
36,Ohio,Mid-American,7,4,42.838,-56.142,81,0.636,0.339,0.298,1.851,240.476,197.638,303,251,126,127,-95.730,111
37,NC State,ACC,7,4,41.153,79.247,28,0.636,0.741,-0.105,-0.659,221.290,180.137,343,263,155,146,37.129,30
38,Texas A&M,Big 12,7,3,39.297,79.406,27,0.700,0.771,-0.071,-0.445,190.667,151.370,286,221,150,146,47.857,18
39,San Diego State,Mountain West,5,4,37.819,38.396,40,0.556,0.592,-0.037,-0.234,250.862,213.043,291,245,116,115,-0.382,64
40,Miami,ACC,6,5,36.518,94.294,21,0.545,0.796,-0.251,-1.566,191.781,155.263,280,236,146,152,53.755,15
41,USC,Pac-10,7,5,30.251,103.444,19,0.583,0.761,-0.178,-1.112,237.584,207.333,354,311,149,150,72.375,8
42,Clemson,ACC,5,6,30.003,83.272,25,0.455,0.796,-0.341,-2.129,170.149,140.146,228,192,134,137,46.548,19
43,Notre Dame,FBS Independents,7,5,28.786,65.163,31,0.583,0.725,-0.142,-0.886,189.571,160.784,309,246,163,153,44.250,20
44,Kansas State,Big 12,6,5,27.622,31.171,45,0.545,0.584,-0.038,-0.241,250.000,222.378,355,318,142,143,16.113,50
45,Maryland,ACC,7,4,25.720,40.992,39,0.636,0.628,0.008,0.049,211.034,185.315,306,265,145,143,31.811,31
46,Houston,Conference USA,4,7,25.487,-34.450,70,0.364,0.426,-0.062,-0.391,288.722,263.235,384,358,133,136,-43.833,82
47,Troy,Sun Belt,7,5,23.542,-53.929,78,0.583,0.337,0.246,1.530,265.101,241.558,395,372,149,154,-70.768,100
48,Toledo,Mid-American,8,3,22.979,-40.332,74,0.727,0.373,0.354,2.204,207.190,184.211,317,280,153,152,-64.163,95
49,North Carolina,ACC,6,5,20.900,58.264,34,0.545,0.681,-0.135,-0.847,210.606,189.706,278,258,132,136,43.307,22
50,Mississippi State,SEC,7,4,17.622,32.790,44,0.636,0.627,0.010,0.056,193.007,175.385,276,228,143,130,30.741,32
51,California,Pac-10,4,6,14.158,79.677,26,0.400,0.782,-0.382,-2.383,181.600,167.442,227,216,125,129,85.940,5
52,Florida International,Sun Belt,6,6,13.178,-59.266,83,0.500,0.339,0.161,0.998,263.566,250.388,340,323,129,129,-54.368,89
53,Arizona State,Pac-10,4,6,12.128,112.791,18,0.400,0.828,-0.428,-2.671,207.092,194.964,292,271,141,139,100.482,1
54,UConn,Big East,7,4,11.889,-28.036,65,0.636,0.406,0.230,1.430,172.848,160.959,261,235,151,146,-23.658,77
55,Michigan,Big Ten,6,5,11.239,34.683,42,0.545,0.584,-0.039,-0.245,260.563,249.324,370,369,142,148,29.127,35
56,Army,FBS Independents,5,4,7.676,-50.472,76,0.556,0.373,0.182,1.131,269.474,261.798,256,233,95,89,-50.033,87
57,Arkansas State,Sun Belt,4,8,4.664,-55.592,79,0.333,0.351,-0.017,-0.113,297.521,292.857,360,369,121,126,-44.522,84
58,Kentucky,SEC,5,6,4.602,-7.188,58,0.455,0.482,-0.027,-0.175,249.640,245.038,347,321,139,131,0.930,61
59,Texas,Big 12,5,7,1.727,12.397,50,0.417,0.544,-0.127,-0.799,178.125,176.398,285,284,160,161,8.214,57
60,Baylor,Big 12,6,5,1.389,5.559,52,0.545,0.514,0.031,0.190,247.917,246.528,357,355,144,144,8.467,55
61,SMU,Conference USA,7,6,-2.303,-38.208,73,0.538,0.382,0.156,0.971,218.987,221.290,346,343,158,155,-29.363,79
62,Texas Tech,Big 12,6,5,-7.270,13.986,48,0.545,0.543,0.002,0.008,204.459,211.728,321,343,157,162,17.169,48
63,Oregon State,Pac-10,5,6,-8.813,90.244,22,0.455,0.754,-0.299,-1.870,200.746,209.559,269,285,134,136,98.630,2
64,Georgia Tech,ACC,5,6,-10.526,-3.911,54,0.455,0.490,-0.035,-0.222,218.045,228.571,290,304,133,133,17.099,49
65,South Florida,Big East,6,5,-12.029,-16.278,61,0.545,0.445,0.100,0.620,163.971,176.000,223,220,136,125,-12.911,71
66,Cincinnati,Big East,3,7,-12.908,-18.784,62,0.300,0.450,-0.150,-0.936,211.719,224.627,271,301,128,134,13.506,51
67,Syracuse,Big East,5,5,-16.963,-28.395,66,0.500,0.391,0.109,0.677,139.837,156.800,172,196,123,125,-12.914,72
68,Tennessee,SEC,5,6,-17.235,-5.702,56,0.455,0.482,-0.027,-0.175,195.714,212.950,274,296,140,139,30.023,34
69,Penn State,Big Ten,6,5,-21.332,-5.242,55,0.545,0.484,0.061,0.378,185.926,207.258,251,257,135,124,28.578,36
70,Middle Tennessee,Sun Belt,5,6,-21.429,-109.874,97,0.455,0.171,0.284,1.763,190.714,212.143,267,297,140,140,-93.180,110
71,Boston College,ACC,6,5,-25.420,11.318,51,0.545,0.546,-0.001,-0.008,133.099,158.519,189,214,142,135,28.363,37
72,Kent State,Mid-American,4,7,-27.361,-98.930,91,0.364,0.184,0.179,1.114,149.306,176.667,215,265,144,150,-71.719,102
73,Miami (OH),Mid-American,9,4,-30.363,-86.004,87,0.692,0.225,0.467,2.908,156.140,186.503,267,304,171,163,-69.594,98
74,UTEP,Conference USA,4,6,-32.773,-101.614,92,0.400,0.207,0.193,1.201,200.833,233.607,241,285,120,122,-76.213,105
75,Central Michigan,Mid-American,2,9,-43.410,-87.618,88,0.182,0.235,-0.054,-0.338,191.176,234.586,260,312,136,133,-40.475,81
76,East Carolina,Conference USA,6,6,-46.357,-55.740,80,0.500,0.382,0.118,0.733,279.268,325.625,458,521,164,160,-13.498,73
77,UAB,Conference USA,4,8,-47.509,-106.528,95,0.333,0.231,0.102,0.633,212.081,259.589,316,379,149,146,-64.824,96
78,Ole Miss,SEC,3,7,-47.661,-13.487,60,0.300,0.461,-0.161,-1.007,189.928,237.589,264,335,139,141,22.919,40
79,Northwestern,Big Ten,6,5,-49.680,-31.961,68,0.545,0.401,0.144,0.894,209.375,259.055,268,329,128,127,4.001,60
80,Marshall,Conference USA,5,7,-58.036,-102.029,93,0.417,0.178,0.239,1.483,156.250,214.286,250,345,160,161,-46.309,86
81,Rutgers,Big East,3,8,-62.388,-75.055,85,0.273,0.267,0.006,0.034,151.034,213.423,219,318,145,149,-9.867,68
82,Washington,Pac-10,6,6,-67.666,36.755,41,0.500,0.610,-0.110,-0.692,172.078,239.744,265,374,154,156,89.505,4
83,North Texas,Sun Belt,3,9,-73.868,-122.168,98,0.250,0.175,0.075,0.464,241.176,315.044,287,356,119,113,-86.599,109
84,Ball State,Mid-American,3,7,-79.715,-134.608,102,0.300,0.153,0.147,0.909,159.701,239.416,214,328,134,137,-72.167,103
85,Iowa State,Big 12,4,7,-82.369,-10.911,59,0.364,0.464,-0.101,-0.633,159.589,241.958,233,346,146,143,44.177,21
86,Virginia,ACC,2,8,-82.443,-35.306,71,0.200,0.399,-0.199,-1.244,179.032,261.475,222,319,124,122,40.208,26
87,Rice,Conference USA,4,8,-82.584,-130.457,101,0.333,0.204,0.129,0.802,223.377,305.960,344,462,154,151,-44.956,85
88,Purdue,Big Ten,3,8,-82.639,-40.388,75,0.273,0.350,-0.078,-0.489,142.361,225.000,205,324,144,144,21.402,43
89,UCLA,Pac-10,4,8,-83.345,13.818,49,0.333,0.548,-0.215,-1.344,156.129,239.474,242,364,155,152,80.940,7
90,Wyoming,Mountain West,2,8,-83.511,-97.581,89,0.200,0.217,-0.017,-0.113,160.656,244.167,196,293,122,120,-1.703,65
91,Minnesota,Big Ten,3,8,-84.101,-33.898,69,0.273,0.408,-0.135,-0.847,188.976,273.077,240,355,127,130,43.294,23
92,Colorado,Big 12,4,7,-84.367,-36.905,72,0.364,0.399,-0.035,-0.223,177.397,261.765,259,356,146,136,30.105,33
93,Duke,ACC,2,9,-92.538,-28.757,67,0.182,0.418,-0.236,-1.477,181.944,274.483,262,398,144,145,39.955,27
94,Indiana,Big Ten,4,7,-93.255,-56.722,82,0.364,0.351,0.013,0.075,200.730,293.985,275,391,137,133,0.096,62
95,Western Kentucky,Sun Belt,2,10,-97.896,-141.640,103,0.167,0.161,0.006,0.034,228.333,326.230,274,398,120,122,-63.377,93
96,Tulane,Conference USA,3,8,-98.272,-130.282,100,0.273,0.161,0.112,0.695,181.333,279.605,272,425,150,152,-44.410,83
97,Vanderbilt,SEC,2,10,-102.588,-83.610,86,0.167,0.186,-0.019,-0.123,118.713,221.302,203,374,171,169,13.400,52
98,Bowling Green,Mid-American,2,10,-103.730,-145.405,104,0.167,0.137,0.030,0.182,172.297,276.027,255,403,148,146,-62.823,92
99,Louisiana,Sun Belt,3,9,-111.650,-160.108,106,0.250,0.118,0.132,0.817,162.424,274.074,268,444,165,162,-62.383,91
100,UL Monroe,Sun Belt,4,7,-118.048,-125.704,99,0.364,0.148,0.216,1.343,174.809,292.857,229,369,131,126,-31.865,80
101,Florida Atlantic,Sun Belt,4,8,-121.138,-175.582,108,0.333,0.081,0.253,1.571,164.228,285.366,202,351,123,123,-73.778,104
102,Buffalo,Mid-American,1,10,-122.479,-183.871,109,0.091,0.025,0.066,0.405,90.260,212.739,139,334,154,157,-71.257,101
103,Colorado State,Mountain West,2,8,-130.495,-104.578,94,0.200,0.181,0.019,0.116,132.203,262.698,156,331,118,126,-10.500,69
104,Wake Forest,ACC,2,9,-141.727,-61.029,84,0.182,0.325,-0.143,-0.896,158.273,300.000,220,417,139,139,61.096,10
105,UNLV,Mountain West,2,8,-152.381,-98.131,90,0.200,0.227,-0.027,-0.175,149.194,301.575,185,383,124,127,23.803,39
106,Washington State,Pac-10,1,10,-157.017,-26.833,64,0.091,0.421,-0.330,-2.062,145.205,302.222,212,408,146,135,98.172,3
107,Akron,Mid-American,1,10,-159.589,-203.771,111,0.091,0.045,0.046,0.280,106.383,265.972,150,383,141,144,-63.716,94
108,Kansas,Big 12,2,8,-194.508,-108.754,96,0.200,0.185,0.015,0.091,125.984,320.492,160,391,127,122,42.407,25
109,Eastern Michigan,Mid-American,2,10,-195.358,-169.310,107,0.167,0.118,0.049,0.301,158.333,353.691,228,527,144,149,-51.107,88
110,Memphis,Conference USA,1,11,-219.410,-199.459,110,0.083,0.048,0.035,0.216,132.061,351.471,173,478,131,136,-26.621,78
111,New Mexico,Mountain West,1,10,-228.173,-149.806,105,0.091,0.124,-0.033,-0.209,113.548,341.722,176,516,155,151,17.905,47
