Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,TCU,Mountain West,9,0,263.462,215.473,2,1.000,0.969,0.031,0.159,338.462,75.000,352,78,104,104,-2.306,62
2,Oregon,Pac-10,8,0,256.320,226.450,1,1.000,0.944,0.056,0.315,384.545,128.226,423,159,110,124,31.430,33
3,Ohio State,Big Ten,8,1,209.682,104.884,20,0.889,0.818,0.071,0.412,317.647,107.965,378,122,119,113,-29.569,82
4,Stanford,Pac-10,7,1,180.773,206.086,3,0.875,0.895,-0.020,-0.164,365.556,184.783,329,170,90,92,57.084,10
5,Virginia Tech,ACC,7,0,177.866,147.452,6,1.000,0.854,0.146,0.886,315.909,138.043,278,127,88,92,-20.474,72
6,Utah,Mountain West,7,1,158.750,116.050,15,0.875,0.820,0.055,0.311,306.863,148.113,313,157,102,106,-5.250,65
7,Nebraska,Big 12,6,1,153.605,158.423,5,0.857,0.857,0.000,-0.034,317.045,163.441,279,152,88,93,34.591,29
8,Alabama,SEC,6,2,146.006,160.501,4,0.750,0.910,-0.160,-1.046,277.528,131.522,247,121,89,92,44.523,18
9,Iowa,Big Ten,6,2,134.796,133.926,8,0.750,0.883,-0.133,-0.876,264.583,129.787,254,122,96,94,26.080,39
10,UCF,Conference USA,6,2,130.043,86.479,29,0.750,0.731,0.019,0.087,288.043,158.000,265,158,92,100,-47.534,90
11,Oklahoma State,Big 12,8,1,126.673,117.626,14,0.889,0.788,0.101,0.599,313.534,186.861,417,256,133,137,11.962,50
12,Auburn,SEC,9,0,123.407,136.485,7,1.000,0.800,0.200,1.223,324.324,200.917,360,219,111,109,30.911,34
13,Northern Illinois,Mid-American,6,2,112.542,27.416,42,0.750,0.577,0.173,1.055,263.542,151.000,253,151,96,100,-68.160,100
14,Florida,SEC,6,3,102.330,93.357,23,0.667,0.754,-0.087,-0.585,254.054,151.724,282,176,111,116,15.916,47
15,Arkansas,SEC,6,2,90.295,121.195,12,0.750,0.784,-0.034,-0.248,274.257,183.962,277,195,101,106,37.337,24
16,Wisconsin,Big Ten,6,1,89.541,108.183,19,0.857,0.733,0.124,0.746,292.105,202.564,222,158,76,78,20.185,43
17,Oklahoma,Big 12,6,2,88.842,111.718,17,0.750,0.819,-0.069,-0.469,242.478,153.636,274,169,113,110,45.156,17
18,Missouri,Big 12,6,2,86.257,119.274,13,0.750,0.878,-0.128,-0.840,212.150,125.893,227,141,107,112,35.722,26
19,Georgia,SEC,4,5,85.713,47.981,38,0.444,0.652,-0.207,-1.342,257.273,171.560,283,187,110,109,2.960,59
20,Michigan State,Big Ten,8,1,82.808,92.838,24,0.889,0.775,0.114,0.683,245.872,163.063,268,181,109,111,5.210,58
21,Arizona,Pac-10,6,2,81.335,132.367,9,0.750,0.856,-0.106,-0.707,235.417,154.082,226,151,96,98,66.260,6
22,Navy,FBS Independents,4,3,80.309,48.158,37,0.571,0.628,-0.057,-0.394,294.595,214.286,218,165,74,77,-13.374,68
23,Temple,Mid-American,7,2,79.310,-26.934,64,0.778,0.409,0.368,2.287,209.483,130.172,243,151,116,116,-87.919,108
24,Tulsa,Conference USA,5,3,76.294,16.702,50,0.625,0.541,0.084,0.497,323.232,246.939,320,242,99,98,-67.436,99
25,Houston,Conference USA,4,4,70.418,4.171,55,0.500,0.510,-0.010,-0.095,304.082,233.663,298,236,98,101,-56.258,96
26,Florida State,ACC,5,3,70.263,112.263,16,0.625,0.785,-0.160,-1.047,244.000,173.737,244,172,100,99,32.622,32
27,LSU,SEC,7,1,69.735,128.388,10,0.875,0.857,0.018,0.076,208.511,138.776,196,136,94,98,52.576,13
28,Pittsburgh,Big East,4,3,69.048,89.861,25,0.571,0.742,-0.171,-1.113,230.952,161.905,194,136,84,84,18.870,44
29,USC,Pac-10,5,3,66.132,123.787,11,0.625,0.783,-0.158,-1.029,281.818,215.686,279,220,99,102,61.624,9
30,West Virginia,Big East,4,3,66.129,26.372,43,0.571,0.600,-0.029,-0.217,183.333,117.204,165,109,90,93,-27.713,81
31,Louisville,Big East,4,4,65.591,17.487,48,0.500,0.563,-0.063,-0.430,234.409,168.817,218,157,93,93,-15.076,69
32,Ohio,Mid-American,6,3,65.347,-46.188,75,0.667,0.366,0.300,1.858,263.366,198.020,266,200,101,101,-106.651,110
33,California,Pac-10,4,3,62.033,93.492,22,0.571,0.817,-0.246,-1.585,207.778,145.745,187,137,90,94,56.763,11
34,South Carolina,SEC,5,3,59.452,100.182,21,0.625,0.767,-0.142,-0.934,255.056,195.604,227,178,89,91,38.769,23
35,Mississippi State,SEC,6,2,56.377,39.360,40,0.750,0.654,0.096,0.573,210.309,153.933,204,137,97,89,10.995,51
36,Michigan,Big Ten,5,3,54.483,53.426,35,0.625,0.619,0.006,0.003,304.950,250.467,308,268,101,107,8.034,56
37,Illinois,Big Ten,4,4,50.000,76.001,31,0.500,0.721,-0.221,-1.428,233.333,183.333,245,198,105,108,34.406,31
38,Kansas State,Big 12,5,3,47.935,75.297,32,0.625,0.725,-0.100,-0.664,237.255,189.320,242,195,102,103,45.869,16
39,Clemson,ACC,4,4,46.788,85.238,30,0.500,0.785,-0.285,-1.834,179.798,133.010,178,137,99,103,35.077,27
40,Southern Miss,Conference USA,4,3,46.707,-39.671,72,0.571,0.396,0.175,1.070,269.388,222.680,264,216,98,97,-85.412,107
41,Toledo,Mid-American,6,2,38.843,-37.270,70,0.750,0.364,0.386,2.398,189.286,150.442,212,170,112,113,-72.441,101
42,NC State,ACC,5,3,37.435,89.309,28,0.625,0.774,-0.149,-0.976,214.912,177.477,245,197,114,111,52.488,14
43,Miami,ACC,5,3,35.871,89.777,26,0.625,0.785,-0.160,-1.047,190.826,154.955,208,172,109,111,52.364,15
44,North Carolina,ACC,5,3,35.714,71.274,33,0.625,0.707,-0.082,-0.554,223.469,187.755,219,184,98,98,42.544,21
45,Texas A&M,Big 12,4,3,33.578,66.506,34,0.571,0.733,-0.161,-1.053,193.578,160.000,211,168,109,105,42.576,20
46,Baylor,Big 12,6,3,33.137,20.913,47,0.667,0.555,0.112,0.669,261.207,228.070,303,260,116,114,-1.558,61
47,Arkansas State,Sun Belt,4,5,33.000,-39.395,71,0.444,0.397,0.048,0.267,300.000,267.000,282,267,94,100,-51.379,93
48,Troy,Sun Belt,5,3,32.692,-54.217,78,0.625,0.330,0.295,1.823,253.846,221.154,264,230,104,104,-81.491,104
49,San Diego State,Mountain West,4,2,27.632,11.069,53,0.667,0.527,0.139,0.844,228.947,201.316,174,153,76,76,-23.087,75
50,Army,FBS Independents,4,3,26.960,-29.645,65,0.571,0.424,0.147,0.894,284.932,257.971,208,178,73,69,-48.000,91
51,Oregon State,Pac-10,4,3,26.383,111.279,18,0.571,0.768,-0.196,-1.272,228.736,202.353,199,172,87,85,88.255,5
52,Air Force,Mountain West,5,4,25.457,50.872,36,0.556,0.632,-0.076,-0.515,241.414,215.957,239,203,99,94,34.841,28
53,Maryland,ACC,5,3,23.881,10.625,54,0.625,0.536,0.089,0.523,196.262,172.381,210,181,107,105,8.464,54
54,Cincinnati,Big East,2,4,17.468,16.019,51,0.333,0.545,-0.211,-1.367,220.000,202.532,165,160,75,79,17.115,46
55,Georgia Tech,ACC,4,4,16.144,13.051,52,0.500,0.536,-0.036,-0.262,227.368,211.224,216,207,95,98,8.150,55
56,Texas Tech,Big 12,5,4,10.662,22.676,45,0.556,0.564,-0.009,-0.091,219.685,209.023,279,278,127,133,15.084,48
57,Syracuse,Big East,4,3,4.371,0.821,56,0.571,0.503,0.068,0.396,165.909,161.538,146,147,88,91,-9.259,66
58,Western Michigan,Mid-American,2,5,2.970,-65.144,81,0.286,0.311,-0.025,-0.193,200.000,197.030,202,199,101,101,-54.507,95
59,Northwestern,Big Ten,5,3,0.875,-52.905,77,0.625,0.341,0.284,1.756,223.864,222.989,197,194,88,87,-45.963,86
60,Texas,Big 12,4,5,-1.792,31.194,41,0.444,0.617,-0.173,-1.124,170.339,172.131,201,210,118,122,25.485,40
61,South Florida,Big East,4,3,-3.167,-15.518,62,0.571,0.453,0.119,0.713,187.500,190.667,150,143,80,75,-27.222,79
62,UTEP,Conference USA,4,4,-4.167,-112.790,93,0.500,0.179,0.321,1.988,200.000,204.167,192,196,96,96,-108.972,111
63,Kentucky,SEC,4,5,-5.038,-9.598,60,0.444,0.477,-0.032,-0.240,258.772,263.810,295,277,114,105,6.528,57
64,Arizona State,Pac-10,2,5,-5.376,89.372,27,0.286,0.788,-0.502,-3.203,200.000,205.376,194,191,97,93,91.244,4
65,Notre Dame,FBS Independents,4,5,-5.739,16.907,49,0.444,0.557,-0.113,-0.745,185.714,191.453,234,224,126,117,40.069,22
66,Penn State,Big Ten,5,3,-9.516,-3.947,57,0.625,0.487,0.138,0.835,174.000,183.516,174,167,100,91,20.529,42
67,SMU,Conference USA,5,5,-10.260,-35.455,68,0.500,0.393,0.107,0.641,215.574,225.833,263,271,122,120,-22.118,73
68,Rutgers,Big East,3,4,-11.141,-33.832,66,0.429,0.366,0.062,0.358,154.839,165.979,144,161,93,97,-22.413,74
69,Kent State,Mid-American,3,5,-13.934,-101.159,90,0.375,0.168,0.207,1.270,141.818,155.752,156,176,110,113,-85.124,106
70,BYU,Mountain West,4,3,-16.860,-11.017,61,0.571,0.457,0.114,0.686,175.000,191.860,154,165,88,86,29.043,35
71,Ole Miss,SEC,3,4,-23.982,-6.106,59,0.429,0.482,-0.053,-0.369,203.191,227.174,191,209,94,92,10.505,53
72,UConn,Big East,3,4,-25.842,-80.108,87,0.429,0.256,0.173,1.056,151.000,176.842,151,168,100,95,-25.592,76
73,Florida International,Sun Belt,3,5,-28.468,-75.117,84,0.375,0.300,0.075,0.436,223.256,251.724,192,219,86,87,-26.052,78
74,Central Michigan,Mid-American,2,7,-39.481,-103.734,92,0.222,0.146,0.077,0.448,171.429,210.909,192,232,112,110,-60.836,98
75,Indiana,Big Ten,3,5,-45.328,-42.710,74,0.375,0.382,-0.007,-0.079,203.093,248.421,197,236,97,95,-11.757,67
76,Boston College,ACC,3,5,-47.816,-5.372,58,0.375,0.479,-0.104,-0.689,125.000,172.816,135,178,108,103,36.903,25
77,East Carolina,Conference USA,5,4,-50.205,-35.228,67,0.556,0.422,0.134,0.807,262.400,312.605,328,372,125,119,10.798,52
78,Virginia,ACC,2,5,-50.575,-19.303,63,0.286,0.443,-0.158,-1.030,205.747,256.322,179,223,87,87,27.234,38
79,Middle Tennessee,Sun Belt,2,5,-56.625,-124.020,97,0.286,0.148,0.138,0.834,186.905,243.529,157,207,84,85,-75.311,103
80,UAB,Conference USA,3,6,-58.253,-103.335,91,0.333,0.234,0.099,0.591,191.304,249.558,220,282,115,113,-46.129,87
81,UCLA,Pac-10,4,5,-64.567,47.049,39,0.444,0.661,-0.217,-1.402,166.964,231.532,187,257,112,111,92.590,3
82,Iowa State,Big 12,4,5,-70.042,24.614,44,0.444,0.576,-0.132,-0.865,182.500,252.542,219,298,120,118,61.929,8
83,Florida Atlantic,Sun Belt,3,5,-73.653,-144.878,102,0.375,0.127,0.248,1.526,208.955,282.609,140,195,67,69,-73.337,102
84,Miami (OH),Mid-American,5,4,-74.122,-101.129,89,0.556,0.205,0.351,2.178,144.628,218.750,175,245,121,112,-46.709,89
85,Colorado State,Mountain West,2,6,-80.324,-64.482,80,0.250,0.287,-0.037,-0.267,155.319,235.644,146,238,94,101,-5.218,64
86,Ball State,Mid-American,2,6,-81.633,-156.130,108,0.250,0.131,0.119,0.712,160.185,241.818,173,266,108,110,-81.810,105
87,Tulane,Conference USA,2,6,-88.940,-117.640,95,0.250,0.180,0.070,0.404,172.381,261.321,181,277,105,106,-29.578,83
88,Tennessee,SEC,2,6,-89.265,-40.954,73,0.250,0.382,-0.132,-0.868,174.000,263.265,174,258,100,98,55.504,12
89,Vanderbilt,SEC,2,7,-92.427,-65.788,83,0.222,0.235,-0.013,-0.118,123.077,215.504,160,278,130,129,18.711,45
90,Marshall,Conference USA,3,6,-93.641,-113.033,94,0.333,0.158,0.175,1.069,143.966,237.607,167,278,116,117,-27.568,80
91,Bowling Green,Mid-American,2,7,-94.099,-128.635,100,0.222,0.176,0.046,0.254,193.636,287.736,213,305,110,106,-59.853,97
92,North Texas,Sun Belt,2,7,-94.694,-124.535,98,0.222,0.117,0.106,0.631,235.443,330.137,186,241,79,73,-89.481,109
93,Purdue,Big Ten,3,5,-103.490,-75.937,85,0.375,0.228,0.147,0.891,124.510,228.000,127,228,102,100,-2.369,63
94,Minnesota,Big Ten,1,8,-110.286,-78.625,86,0.111,0.288,-0.176,-1.148,169.903,280.189,175,297,103,106,22.255,41
95,Duke,ACC,2,6,-111.961,-35.931,69,0.250,0.404,-0.154,-1.008,189.908,301.869,207,323,109,107,42.769,19
96,Western Kentucky,Sun Belt,1,8,-114.783,-148.411,104,0.111,0.148,-0.037,-0.266,220.000,334.783,198,308,90,92,-50.694,92
97,Colorado,Big 12,2,6,-115.801,-59.492,79,0.250,0.333,-0.083,-0.556,153.271,269.072,164,261,107,97,29.029,36
98,Washington,Pac-10,3,6,-116.812,22.542,46,0.333,0.568,-0.235,-1.514,166.667,283.478,190,326,114,115,115.285,1
99,Wyoming,Mountain West,1,7,-121.053,-83.752,88,0.125,0.262,-0.137,-0.897,143.158,264.211,136,251,95,95,28.369,37
100,UL Monroe,Sun Belt,3,5,-124.444,-141.062,101,0.375,0.109,0.266,1.643,175.556,300.000,158,258,90,86,-25.707,77
101,Rice,Conference USA,2,7,-126.125,-147.574,103,0.222,0.163,0.059,0.338,178.261,304.386,205,347,115,114,-18.470,70
102,Louisiana,Sun Belt,2,7,-128.683,-151.617,107,0.222,0.146,0.076,0.444,164.000,292.683,205,360,125,123,-41.919,85
103,Buffalo,Mid-American,1,7,-129.565,-149.879,106,0.125,0.051,0.074,0.434,88.983,218.548,105,271,118,124,-31.023,84
104,Wake Forest,ACC,1,7,-156.731,-65.410,82,0.125,0.313,-0.188,-1.220,166.346,323.077,173,336,104,104,62.041,7
105,UNLV,Mountain West,1,6,-188.172,-125.165,99,0.143,0.159,-0.016,-0.137,117.204,305.376,109,284,93,93,34.451,30
106,Washington State,Pac-10,0,9,-191.253,-47.023,76,0.000,0.361,-0.361,-2.313,126.446,317.699,153,359,121,113,111.197,2
107,Kansas,Big 12,2,5,-191.746,-119.343,96,0.286,0.189,0.096,0.572,151.111,342.857,136,288,90,84,14.460,49
108,Eastern Michigan,Mid-American,1,8,-192.338,-183.586,109,0.111,0.105,0.006,0.003,162.617,354.955,174,394,107,111,-53.082,94
109,Akron,Mid-American,0,9,-196.682,-221.579,111,0.000,0.029,-0.029,-0.221,97.436,294.118,114,350,117,119,-46.625,88
110,New Mexico,Mountain West,1,7,-211.040,-149.420,105,0.125,0.108,0.017,0.074,112.174,323.214,129,362,115,112,-1.243,60
111,Memphis,Conference USA,1,8,-250.218,-209.490,110,0.111,0.035,0.076,0.442,128.000,378.218,128,382,100,101,-18.865,71
