Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
1,Florida State,ACC,11,0,338.746,222.747,1,1.000,0.951,0.049,0.303,424.460,85.714,590,126,139,147,4.051,64
2,Alabama,SEC,10,1,221.309,216.020,2,0.909,0.955,-0.046,-0.263,327.559,106.250,416,136,127,128,32.108,42
3,Louisville,American Athletic,9,1,206.320,98.188,23,0.900,0.783,0.117,0.713,308.929,102.609,346,118,112,115,-59.470,105
4,Baylor,Big 12,9,1,196.815,144.384,10,0.900,0.843,0.057,0.353,348.387,151.572,540,241,155,159,24.474,53
5,Ohio State,Big Ten,11,0,188.811,158.956,5,1.000,0.842,0.158,0.959,361.151,172.340,502,243,139,141,13.350,59
6,Oregon,Pac-12,9,2,161.581,158.515,6,0.818,0.850,-0.031,-0.177,327.815,166.234,495,256,151,154,51.930,25
7,Bowling Green,Mid-American,8,3,151.955,26.609,53,0.727,0.588,0.139,0.844,274.436,122.481,365,158,133,129,-79.321,119
8,Northern Illinois,Mid-American,11,0,151.427,50.963,41,1.000,0.636,0.364,2.194,309.868,158.442,471,244,152,154,-93.574,125
9,Wisconsin,Big Ten,8,3,142.666,143.862,11,0.727,0.903,-0.175,-1.041,264.583,121.918,381,178,144,146,27.867,48
10,Marshall,Conference USA,8,3,141.935,21.914,54,0.727,0.558,0.169,1.027,309.677,167.742,480,260,155,155,-85.160,121
11,Missouri,SEC,10,1,128.898,169.256,4,0.909,0.909,0.000,0.012,276.871,147.973,407,219,147,148,41.051,32
12,East Carolina,Conference USA,8,3,126.534,37.110,46,0.727,0.590,0.137,0.834,313.768,187.234,433,264,138,141,-62.134,108
13,Oklahoma State,Big 12,9,1,125.903,146.663,9,0.900,0.872,0.028,0.181,257.516,131.613,394,204,153,155,28.237,47
14,Michigan State,Big Ten,10,1,123.146,117.576,16,0.909,0.904,0.005,0.038,209.859,86.713,298,124,142,143,-1.069,65
15,Fresno State,Mountain West,9,1,117.007,13.625,59,0.900,0.536,0.364,2.194,325.850,208.844,479,307,147,147,-80.188,120
16,Stanford,Pac-12,10,2,114.171,147.069,8,0.833,0.876,-0.042,-0.244,273.611,159.441,394,228,144,143,58.555,15
17,LSU,SEC,8,3,113.625,143.601,12,0.727,0.817,-0.089,-0.526,316.800,203.175,396,256,125,126,50.374,27
18,UCF,American Athletic,10,1,107.419,52.066,40,0.909,0.631,0.278,1.677,282.222,174.803,381,222,135,127,-31.413,82
19,Arizona State,Pac-12,9,2,102.035,174.190,3,0.818,0.867,-0.049,-0.281,295.541,193.506,464,298,157,154,89.194,3
20,Clemson,ACC,8,2,99.720,112.272,18,0.800,0.813,-0.013,-0.067,258.904,159.184,378,234,146,147,50.609,26
21,South Carolina,SEC,9,2,96.115,141.446,13,0.818,0.837,-0.018,-0.100,269.048,172.932,339,230,126,133,50.218,28
22,Ball State,Mid-American,9,2,94.839,-4.893,68,0.818,0.487,0.331,1.996,281.046,186.207,430,270,153,145,-87.451,123
23,Utah State,Mountain West,7,4,94.627,52.924,39,0.636,0.708,-0.071,-0.417,218.831,124.204,337,195,154,157,-34.510,89
24,North Texas,Conference USA,8,4,94.502,-0.966,66,0.667,0.496,0.170,1.032,223.669,129.167,378,217,169,168,-75.961,118
25,Auburn,SEC,10,1,94.334,153.545,7,0.909,0.853,0.056,0.345,278.472,184.138,401,267,144,145,58.472,16
26,Oklahoma,Big 12,9,2,92.507,98.150,24,0.818,0.759,0.059,0.365,254.745,162.238,349,232,137,143,13.642,58
27,Texas A&M,SEC,7,4,90.778,115.147,17,0.636,0.750,-0.113,-0.669,322.535,231.757,458,343,142,148,53.071,20
