Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOS rank
5,Oklahoma,Big 12,8,2,179.954,139.284,13,0.800,0.844,-0.044,-0.289,337.097,157.143,418,198,124,126,21.541,56
12,Notre Dame,FBS Independents,6,3,134.087,161.703,9,0.667,0.880,-0.213,-1.293,283.636,149.550,312,166,110,111,48.374,24
24,USC,Pac-12,7,4,87.241,124.506,16,0.636,0.737,-0.100,-0.639,351.825,264.583,482,381,137,144,59.655,15
50,UCF,Big 12,4,5,28.870,-4.064,66,0.444,0.489,-0.045,-0.299,275.472,246.602,292,254,106,103,17.896,63
34,Auburn,SEC,5,4,58.201,72.492,29,0.556,0.753,-0.198,-1.240,229.630,171.429,248,192,108,112,42.190,35
17,Texas A&M,SEC,6,4,113.036,106.106,20,0.600,0.772,-0.172,-1.081,287.395,174.359,342,204,119,117,23.636,52
14,Alabama,SEC,9,1,130.413,164.869,9,0.900,0.903,-0.003,-0.039,280.000,149.587,336,181,120,121,52.394,21
45,Kentucky,SEC,5,4,38.491,69.039,32,0.556,0.670,-0.114,-0.725,260.396,221.905,263,233,101,105,20.175,57
39,Miami,ACC,5,4,50.793,79.298,27,0.556,0.738,-0.182,-1.145,230.973,180.180,261,200,113,111,33.267,45
119,Vanderbilt,SEC,1,9,-120.197,-52.210,93,0.100,0.363,-0.263,-1.644,173.504,293.701,203,373,117,127,49.863,25
1,Michigan,Big Ten,10,0,303.247,263.389,1,1.000,0.978,0.022,0.117,371.429,68.182,390,75,105,110,11.898,66
6,Penn State,Big Ten,7,2,178.013,202.657,4,0.778,0.951,-0.174,-1.092,290.741,112.727,314,124,108,110,59.960,14
20,Tennessee,SEC,6,3,102.278,97.461,22,0.667,0.774,-0.107,-0.681,271.028,168.750,290,189,107,112,40.168,38
88,California,Pac-12,3,6,-47.327,29.811,46,0.333,0.576,-0.242,-1.516,242.017,289.344,288,353,119,122,82.220,2
15,Oregon State,Pac-12,7,2,121.607,120.587,17,0.778,0.770,0.008,0.030,317.647,196.040,324,198,102,101,19.299,61
8,Washington,Pac-12,10,0,160.688,186.505,5,1.000,0.854,0.146,0.882,356.522,195.833,410,235,115,120,41.124,36
